name,name_first,name_middle,name_last,nickname,name_prefix,name_suffix,image,party,office,title,state,status,district,ethnicity,race,gender,date_of_birth,date_of_death,education,occupation,bio,email_official,email_other,email_campaign,website_official,website_personal,website_campaign,twitter_official,twitter_personal,twitter_campaign,youtube_official,youtube_personal,youtube_campaign,instagram_official,instagram_personal,instagram_campaign,facebook_official,facebook_personal,facebook_campaign,linkedin,rumble,gab,rss,address_campaign,address_capitol,address_district,phone_campaign,phone_capitol,phone_district,fax_capitol,fax_district,contact_form_url,date_assumed_office,appointed_by,appointed_date,confirmed_date,term_end_date,congress_year,thomas ID,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,google_entity_id,Ballotpedia URL,propublica URL,ballotpedia Office ID,govpackpub_id,govpack_id,fec_id,usio_id,opensecrets_id,district_ocd_id,openstates_id,committee_id
Jerry Carl,Jerry,,Carl,,,,,Republican Party,U.S. House Alabama District 1,U.S. Representative,AL,Incumbent,Alabama Congressional District 1,,,Male,1958-06-17,,,,,,,,https://carl.house.gov,,,https://www.twitter.com/RepJerryCarl,,,,,,,,,,,,,,,,,1330 Longworth House Office Building,,,202-225-4931,,,,,,,,,,,,,,456799,,312193,,,,/g/11j2j1brnb,https://ballotpedia.org/Jerry_Carl,https://api.propublica.org/congress/v1/members/C001054.json,6833,,,H0AL01055,,,ocd-division/country:us/state:al/cd:1,,
Alexander Remrey,Alexander,M.,Remrey,,,,,Libertarian Party,U.S. House Alabama District 1,U.S. Representative,AL,Challenger,Alabama Congressional District 1,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370222,,,,,https://ballotpedia.org/Alexander_Remrey,,6833,,,,,,ocd-division/country:us/state:al/cd:1,,
Barry Moore,Barry,,Moore,,,,,Republican Party,U.S. House Alabama District 2,U.S. Representative,AL,Incumbent,Alabama Congressional District 2,,,Male,1966-09-26,,,,,,,,https://barrymoore.house.gov,,,https://www.twitter.com/RepBarryMoore,,,,,,,,,,,,,,,,,1504 Longworth House Office Building,,,202-225-2901,,,,,,,,,,,,,,456800,,3449,,,,/g/11fkw7vjdf,https://ballotpedia.org/Barry_Moore_(Alabama),https://api.propublica.org/congress/v1/members/M001212.json,3093,,,H8AL02171,,,ocd-division/country:us/state:al/cd:2,,
Phyllis Harvey-Hall,Phyllis,,Harvey-Hall,,,,https://secureservercdn.net/198.71.233.129/s47.f63.myftpupload.com/wp-content/uploads/2020/04/pil.png,Democratic Party,U.S. House Alabama District 2,U.S. Representative,AL,Challenger,Alabama Congressional District 2,,,Female,,,,,,,,harveyhallforcongress@gmail.com,,,https://harveyhall2congress.com/,,,https://www.twitter.com/PhyllisDHHall,,,https://www.youtube.com/channel/UCVJpeC84G40nryI-anFdcaw,,,https://www.instagram.com/phyllisharveyhall/,,https://www.facebook.com/campaignforphyllisharveyhall,https://www.facebook.com/PhyllisforHouse,,,,,"P.O. Box 11564, Montgomery, AL 36111",,,(334) 399-1809,,,,,,,,,,,,,,,,,44701,,,,,https://ballotpedia.org/Phyllis_Harvey-Hall,,3093,,,,,,ocd-division/country:us/state:al/cd:2,,
Jonathan Realz,Jonathan,,Realz,,,,,Libertarian Party,U.S. House Alabama District 2,U.S. Representative,AL,Challenger,Alabama Congressional District 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370029,,,,,https://ballotpedia.org/Jonathan_Realz,,3093,,,,,,ocd-division/country:us/state:al/cd:2,,
Douglas Bell,Douglas,A.,Bell,,,,,Independent,U.S. House Alabama District 3,U.S. Representative,AL,Challenger,Alabama Congressional District 3,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15627,,,,,https://ballotpedia.org/Douglas_Bell,,18554,,,,,,ocd-division/country:us/state:al/cd:3,,
Mike Rogers,Mike,D.,Rogers,,,,https://mikerogers.house.gov/uploadedphotos/highresolution/21809960-39ef-4d53-afda-fbca376b37b3.jpg,Republican Party,U.S. House Alabama District 3,U.S. Representative,AL,Incumbent,Alabama Congressional District 3,,,Male,1958-07-16,,,,,,,,https://mikerogers.house.gov,,http://www.mikerogersforcongress.com/,https://www.twitter.com/RepMikeRogersAL,,https://www.twitter.com/MikeRogersCamp,https://www.youtube.com/channel/UCH-WUWuY0_dlKwJDSqKTJsg,,,https://www.instagram.com/repmikerogersal/,,https://www.instagram.com/mikerogerscamp,https://www.facebook.com/CongressmanMikeDRogers,,https://www.facebook.com/MikeRogersforCongress,,,,,"P.O. Box 1113, Anniston, AL 36202",2469 Rayburn House Office Building,,(256) 235-2180,202-225-3261,,,,,,,,,,,,,1014740,400341,5705,40912,,20301,https://en.wikipedia.org/wiki/Mike_Rogers_(Alabama_politician),/m/024n_s,https://ballotpedia.org/Mike_Rogers_(Alabama),https://api.propublica.org/congress/v1/members/R000575.json,18554,,,H2AL03032,,,ocd-division/country:us/state:al/cd:3,,
Thomas Casson,Thomas,SickofDC,Casson,,,,,Libertarian Party,U.S. House Alabama District 3,U.S. Representative,AL,Challenger,Alabama Congressional District 3,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54597,,,,,https://ballotpedia.org/Thomas_Casson,,18554,,,,,,ocd-division/country:us/state:al/cd:3,,
Lin Veasey,Lin,,Veasey,,,,,Democratic Party,U.S. House Alabama District 3,U.S. Representative,AL,Challenger,Alabama Congressional District 3,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348451,,,,,https://ballotpedia.org/Lin_Veasey,,18554,,,,,,ocd-division/country:us/state:al/cd:3,,
Rick Neighbors,Rick,,Neighbors,,,,https://pbs.twimg.com/profile_images/1308460244910116872/qqVYLNV0_400x400.jpg,Democratic Party,U.S. House Alabama District 4,U.S. Representative,AL,Challenger,Alabama Congressional District 4,,,Male,,,,,,,,info@neighborsforcongress.com,,,https://neighborsforcongress.com/,,,https://www.twitter.com/VoteNeighbors,,,,,,https://www.instagram.com/Rickneighbors4congress/,,https://www.facebook.com/rick.neighbors.73,https://www.facebook.com/Neighbors4Congress/,,,,,"P.O. Box 876, Phil Campbell, AL 35881",,,,,,,,,,,,,,,,,,,,46819,,,,,https://ballotpedia.org/Rick_Neighbors,,7723,,,,,,ocd-division/country:us/state:al/cd:4,,
Robert Aderholt,Robert,B.,Aderholt,,,,,Republican Party,U.S. House Alabama District 4,U.S. Representative,AL,Incumbent,Alabama Congressional District 4,,,Male,1965-07-22,,,,,,,,https://aderholt.house.gov,,,https://www.twitter.com/Robert_Aderholt,,,https://www.youtube.com/c/RobertAderholt,,,,,,https://www.facebook.com/RobertAderholt,,,,,,https://aderholt.house.gov/rss.xml,,266 Cannon House Office Building,,,202-225-4876,,,,,,,,,,,,,45516,400004,441,47184,,29701,,/m/024p03,https://ballotpedia.org/Robert_Aderholt,https://api.propublica.org/congress/v1/members/A000055.json,7723,,,H6AL04098,,,ocd-division/country:us/state:al/cd:4,,
Johnny C. Cochran,Johnny,C.,Cochran,,,,,Libertarian Party,U.S. House Alabama District 4,U.S. Representative,AL,Challenger,Alabama Congressional District 4,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370030,,,,,https://ballotpedia.org/Johnny_C._Cochran,,7723,,,,,,ocd-division/country:us/state:al/cd:4,,
Dale Strong,Dale,,Strong,,,,https://pbs.twimg.com/profile_images/1260580648932249600/S3OjDZlq_400x400.jpg,Republican Party,U.S. House Alabama District 5,U.S. Representative,AL,Challenger,Alabama Congressional District 5,,,Male,,,,,,,,info@dalestrongforcongress.com,,,https://www.dalestrongforcongress.com/,,,https://www.twitter.com/strongcongress,,,https://www.youtube.com/channel/UCKqi9hHE2aF78UP639hTGXw,,,https://www.instagram.com/dalestrongforcongress/,,https://www.facebook.com/dale.strong.92,https://www.facebook.com/strongforalabama/,,,,,,,,(256) 325-3270,,,,,,,,,,,,,,,,,337672,,,,,https://ballotpedia.org/Dale_Strong,,11057,,,,,,ocd-division/country:us/state:al/cd:5,,
Kathy Warner-Stanton,Kathy,,Warner-Stanton,,,,https://images.squarespace-cdn.com/content/v1/61f020a182268b378f5f9fad/9c0b5923-a989-4f2c-8656-b078445a6427/6-9D5EA3F1-08C0-4C28-9D48-07D8505025B5.jpg?format=750w,Democratic Party,U.S. House Alabama District 5,U.S. Representative,AL,Challenger,Alabama Congressional District 5,,,Female,,,,,,,,contact@kathyforcongress.com,,,https://www.kathyforcongress.com/,,https://www.twitter.com/klws12,https://www.twitter.com/Kathy_Congress,,,,,https://www.instagram.com/klws12/,https://www.instagram.com/KathyForCongress/,,https://www.facebook.com/kathy.angel.stanton,https://www.facebook.com/KathyForCongress/,,,,,"P.O. Box 5040, Decatur, AL 35601",,,,,,,,,,,,,,,,,,,,348453,,,,,https://ballotpedia.org/Kathy_Warner-Stanton,,11057,,,,,,ocd-division/country:us/state:al/cd:5,,
