Pre-Filing ID,Candidate UUID,State,Level,Role,Jurisdiction,Jurisdiction OCDID,Electoral District,Electoral District OCDID,Office Category,Body Name,Office UUID,Office Name,Seat,Number Voting,Number Elected,Candidate Name,Candidate Party Registration,Candidate Party Roll Up,State Party FBID,State Party IG,Incumbent,Phone,Mailing Address,Website (Campaign),Website (Personal),Email,Photo URL,Facebook URL (Campaign),Facebook URL (Gov),Facebook URL (Personal),Twitter Name (Campaign),Twitter Name (Gov),Twitter Name (Personal),Instagram URL (Campaign),Instagram URL (Gov),Instagram URL (Personal),Wiki Word,Youtube (Campaign),Youtube (Gov),Youtube (Personal),County,Source,Source Type,Candidate Status,Inactive Date
,7684341f-4620-5fe9-948a-8d068fb11482,AZ,administrativeArea1,governmentOfficer,Arizona,ocd-division/country:us/state:az,Arizona,ocd-division/country:us/state:az,State Treasurer,,076c8d34-cb6f-438f-b836-dd4c5cbfd7ee,AZ State Treasurer,,1,1,Martín Quezada,Democratic Party,Democratic Party,https://www.facebook.com/AZDemParty/,https://www.instagram.com/azdemparty/,,,"P.O. Box 23333, Phoenix, AZ 85063",https://www.martinquezada.com/,,contact@martinquezada.com,https://www.martinquezada.com/uploads/1/1/0/9/110949933/dsc-3523_orig.jpg,https://www.facebook.com/SenQuezada29,,https://www.facebook.com/martin.quezada,SenQuezada29,,,https://www.instagram.com/senquezada29/,,,Martín_Quezada,https://www.youtube.com/channel/UCvHNEouPP0caWKvjXKXivhA,,,,https://results.arizona.vote/#/featured/32/0,,qualified,11/8/22
,5276d7cb-bd84-5025-be33-fac0350124bd,AZ,country,legislatorLowerBody,United States,ocd-division/country:us,Arizona's 6th congressional district,ocd-division/country:us/state:az/cd:6,U.S. Representative,U.S. House of Representatives,11144d27-970b-4167-8d84-1206122656ec,U.S. Representative,District 6,1,1,Juan Ciscomani,Republican Party,Republican Party,https://www.facebook.com/ArizonaGOP,https://www.instagram.com/azgop/,,(520) 222-6874,"P.O. Box 35103, Tucson, AZ 85740",https://www.juanciscomani.com/,,info@juanciscomani.com,https://images.squarespace-cdn.com/content/v1/60f5c25edf59ad4ae53991db/1627952456699-CN6UC1QZ3OY14DV2HLNI/JuanCiscomani-038-Edit.jpg?format=1000w,https://www.facebook.com/juanciscomani/,,https://www.facebook.com/profile.php?id=1020269958,JuanCiscomani,,,https://www.instagram.com/juanciscomani/,,,,https://www.youtube.com/channel/UCRg1ca9cx03cE98HgxnojPQ,,,,https://results.arizona.vote/#/featured/32/0,,qualified,11/8/22
,fd5bef00-a9a4-5e70-8341-cd208ac17495,AZ,administrativeArea1,governmentOfficer,Arizona,ocd-division/country:us/state:az,Arizona,ocd-division/country:us/state:az,State Treasurer,,076c8d34-cb6f-438f-b836-dd4c5cbfd7ee,AZ State Treasurer,,1,1,Kimberly Yee,Republican Party,Republican Party,https://www.facebook.com/ArizonaGOP,https://www.instagram.com/azgop/,TRUE,(602) 456-9536,"P.O. Box 82071, Phoenix, AZ 85071",https://kimberlyyee.com/,,info@kimberlyyee.com,"https://static.wixstatic.com/media/8bb536_547136cc69684d53a3fc59f9f3f17f89~mv2.jpg/v1/fill/w_361,h_518,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/2020%20Kimberly%20Yee%20Official%20Photo.jpg",https://www.facebook.com/votekimberlyyee,https://www.facebook.com/AZTreasury,https://www.facebook.com/kimberlyyeeaz,KimberlyYeeAZ,AZTreasury,,,,,Kimberly_Yee,,,,,https://results.arizona.vote/#/featured/32/0,,qualified,11/8/22
,ae72653d-001e-535b-8718-abcc8264204d,AZ,country,legislatorLowerBody,United States,ocd-division/country:us,Arizona's 7th congressional district,ocd-division/country:us/state:az/cd:7,U.S. Representative,U.S. House of Representatives,d6173cb9-daf8-4752-bd97-5a20c57b2939,U.S. Representative,District 7,1,1,Raúl Grijalva,Democratic Party,Democratic Party,https://www.facebook.com/AZDemParty/,https://www.instagram.com/azdemparty/,,(520) 629-0050,"P.O. Box 1242, Tucson, AZ 85702",https://standwithraul.com/,,info@standwithraul.com,https://grijalva.house.gov/wp-content/uploads/2021/06/Rep.-Grijalva-Headshot-FINAL-2021.jpg,https://www.facebook.com/peopleforgrijalva/,,,standwithraul,,,https://www.instagram.com/standwithraul/,,,Raúl_Grijalva,https://www.youtube.com/user/PeopleForGrijalva,,,,https://results.arizona.vote/#/featured/32/0,,qualified,11/8/22
,9a7c47aa-c88b-54eb-976a-3abf2510feab,AZ,administrativeArea1,legislatorLowerBody,Arizona,ocd-division/country:us/state:az,Arizona State House district 17,ocd-division/country:us/state:az/sldl:17,State Representative,AZ State House,799fd984-17f7-405b-b124-71f4ebb7927e,AZ State Representative,District 17,2,2,Cory McGarr,Republican Party,Republican Party,https://www.facebook.com/ArizonaGOP,https://www.instagram.com/azgop/,,(856) 669-4070,"P.O. Box 64822, Tucson, AZ 85728",https://www.mcgarrforarizona.com/,,contact@mcgarrforarizona.com,https://pbs.twimg.com/profile_images/1435776579821506571/TmSqYd2g_400x400.jpg,https://www.facebook.com/McgarrForHouse,,https://www.facebook.com/CMcgarr22,CoryMcGarr,,,,,,,https://www.youtube.com/channel/UCpKYVVMweo53mxFNsfnqZ2g,,,,https://results.arizona.vote/#/featured/32/0,,qualified,11/8/22
,13707995-5a06-5e31-bbc5-43531095aef9,AZ,administrativeArea1,headOfGovernment,Arizona,ocd-division/country:us/state:az,Arizona,ocd-division/country:us/state:az,Governor,,19cf920d-c561-47f3-9cc7-30b7fab76fff,Governor of Arizona,,1,1,Katie Hobbs,Democratic Party,Democratic Party,https://www.facebook.com/AZDemParty/,https://www.instagram.com/azdemparty/,,(602) 892-4728,"530 E McDowell Rd, #107-407, Phoenix, AZ 85004",https://www.katiehobbs.org/,,info@katiehobbs.org,https://pbs.twimg.com/profile_images/1524498550016593921/6gVtXrLT_400x400.jpg,https://www.facebook.com/hobbskatie,,https://www.facebook.com/khobbs,katiehobbs,,,https://www.instagram.com/katie4az/,,,Katie_Hobbs,,,,,https://results.arizona.vote/#/featured/32/0,,qualified,11/8/22
,1eda4cc6-13a7-53d9-be32-fbbe3dcb2bfc,AZ,administrativeArea1,legislatorLowerBody,Arizona,ocd-division/country:us/state:az,Arizona State House district 17,ocd-division/country:us/state:az/sldl:17,State Representative,AZ State House,799fd984-17f7-405b-b124-71f4ebb7927e,AZ State Representative,District 17,2,2,Brian Radford,Democratic Party,Democratic Party,https://www.facebook.com/AZDemParty/,https://www.instagram.com/azdemparty/,,(520) 490-7405,"P.O. Box 8532, Tucson, AZ 85738",https://www.radfordforaz.com/,,info@radfordforaz.com,https://www.radfordforaz.com/wp-content/uploads/2022/03/home_bio_brian.jpg,https://www.facebook.com/radfordforaz,,,BrianRadfordAZ,,,https://www.instagram.com/brianradfordaz/,,,,https://www.youtube.com/channel/UCkW38m8qYoMBoYnKl1qSuxA,,,,https://results.arizona.vote/#/featured/32/0,,qualified,11/8/22
,18981cbf-552c-5147-8e5d-bf071214ab74,AZ,country,legislatorLowerBody,United States,ocd-division/country:us,Arizona's 7th congressional district,ocd-division/country:us/state:az/cd:7,U.S. Representative,U.S. House of Representatives,d6173cb9-daf8-4752-bd97-5a20c57b2939,U.S. Representative,District 7,1,1,Luis Pozzolo,Republican Party,Republican Party,https://www.facebook.com/ArizonaGOP,https://www.instagram.com/azgop/,,,,https://luis4congress.com/,,luis@luis4congress.com,https://pbs.twimg.com/profile_images/1485333820198903810/ohdCQEPd_400x400.jpg,https://www.facebook.com/Luis4Congress,,https://www.facebook.com/luis.pozzolo.1,Luis4Congress,,,https://www.instagram.com/luis4congress/,,,,https://www.youtube.com/channel/UC4XxI6H7C-EOmEn5QJIj09Q,,,,https://results.arizona.vote/#/featured/32/0,,qualified,11/8/22
,0d077cc3-9bbe-5444-a340-8df4da3b9779,AZ,country,legislatorLowerBody,United States,ocd-division/country:us,Arizona's 8th congressional district,ocd-division/country:us/state:az/cd:8,U.S. Representative,U.S. House of Representatives,06185e12-ce5e-4034-a141-e99734478c21,U.S. Representative,District 8,1,1,Debbie Lesko,Republican Party,Republican Party,https://www.facebook.com/ArizonaGOP,https://www.instagram.com/azgop/,TRUE,(623) 512-9281,"P.O. Box 45388, Phoenix, AZ 85064",https://debbieleskoforcongress.com/,,debbie@debbieleskoforcongress.com,https://lesko.house.gov/uploadedphotos/mediumresolution/8110f93d-5b65-4496-bf63-31b987b0857d.jpg,https://www.facebook.com/debbieleskoforcongress,https://www.facebook.com/RepDebbieLesko,https://www.facebook.com/debbie.lesko.75,DebbieLesko,RepDLesko,,,https://www.instagram.com/replesko/,,Debbie_Lesko,https://www.youtube.com/channel/UCJmJvRlG-7aBLmAjAYU21jA,https://www.youtube.com/channel/UCc6-ceGpb-VbP1rmmvYUCWQ,,,https://results.arizona.vote/#/featured/32/0,,qualified,11/8/22
,7b6e43ad-2bef-54a4-9c08-f4aad56fb1e4,AZ,administrativeArea1,headOfGovernment,Arizona,ocd-division/country:us/state:az,Arizona,ocd-division/country:us/state:az,Governor,,19cf920d-c561-47f3-9cc7-30b7fab76fff,Governor of Arizona,,1,1,Kari Lake,Republican Party,Republican Party,https://www.facebook.com/ArizonaGOP,https://www.instagram.com/azgop/,,,"4040 E Camelback Rd, Ste 103, Phoenix, AZ 85018",https://www.karilake.com/,,contact@karilake.com,https://images.squarespace-cdn.com/content/v1/60b86b6b0933ad330be82d81/1624211505072-GB3QC450JMPAYI3WAWAQ/Kari+Lake+For+Governor+Bio+Headshot+Photo?format=1000w,https://www.facebook.com/TheKariLake,,,KariLake,,,https://www.instagram.com/karilake/,,,Kari_Lake,https://www.youtube.com/channel/UCRq9Kzk9UP1ZN4pxvUQasfw,,,,https://results.arizona.vote/#/featured/32/0,,qualified,11/8/22
