name,name_first,name_middle,name_last,nickname,name_prefix,name_suffix,image,party,office,title,state,status,district,ethnicity,race,gender,date_of_birth,date_of_death,education,occupation,bio,email_official,email_other,email_campaign,website_official,website_personal,website_campaign,twitter_official,twitter_personal,twitter_campaign,youtube_official,youtube_personal,youtube_campaign,instagram_official,instagram_personal,instagram_campaign,facebook_official,facebook_personal,facebook_campaign,linkedin,rumble,gab,rss,address_campaign,address_capitol,address_district,phone_campaign,phone_capitol,phone_district,fax_capitol,fax_district,contact_form_url,date_assumed_office,appointed_by,appointed_date,confirmed_date,term_end_date,congress_year,thomas ID,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,google_entity_id,Ballotpedia URL,propublica URL,ballotpedia Office ID,govpackpub_id,govpack_id,fec_id,usio_id,opensecrets_id,district_ocd_id,openstates_id,committee_id
David Schweikert,David,,Schweikert,,,,http://schweikert.house.gov/wp-content/uploads/2022/01/Congressman-Schweikert-Headshot-2019.jpg,Republican Party,U.S. House Arizona District 1,U.S. Representative,AZ,Incumbent,Arizona Congressional District 1,,,Male,1962-03-03,,,,,,,david@davidschweikert.com,https://schweikert.house.gov,,https://davidschweikert.com/,https://www.twitter.com/RepDavid,,https://www.twitter.com/DavidSchweikert,https://www.youtube.com/c/RepDavidSchweikert,,,,https://www.instagram.com/schweikert4az/,https://www.instagram.com/schweikert4az/,https://www.facebook.com/repdavidschweikert,,https://www.facebook.com/SchweikertForAZ/,,,,https://schweikert.house.gov/rss.xml,"8175 E Evans Rd, #13176, Scottsdale, AZ 85267",304 Cannon House Office Building,,(480) 659-9383,202-225-2190,,,,,,,,,,,,,5205,412399,106387,13181,,21105,https://en.wikipedia.org/wiki/David_Schweikert,/m/03wbpxj,https://ballotpedia.org/David_Schweikert,https://api.propublica.org/congress/v1/members/S001183.json,2530,,,H4AZ06045,,,ocd-division/country:us/state:az/cd:1,,
Jevin Hodge,Jevin,,Hodge,,,,https://www.jevinhodge.com/images/meet-image.png,Democratic Party,U.S. House Arizona District 1,U.S. Representative,AZ,Challenger,Arizona Congressional District 1,,,Male,,,,,,,,info@jevinhodge.com,,,https://www.jevinhodge.com/home/,,https://www.twitter.com/JevinHodge,https://www.twitter.com/JevinHodge,,,https://www.youtube.com/channel/UCNesdauEeHLmGsO6girarJg,,,https://www.instagram.com/jevinhodge/,,https://www.facebook.com/HodgeJevin,https://www.facebook.com/JevinHodgeAZ,,,,,"P.O. Box 4981, Scottsdale, AZ 85261",,,(480) 494-7531,,,,,,,,,,,,,,,,,330933,,,,,https://ballotpedia.org/Jevin_Hodge,,2530,,,,,,ocd-division/country:us/state:az/cd:1,,
Tom O'Halleran,Tom,,O'Halleran,,,,https://ohalleran.house.gov/sites/ohalleran.house.gov/files/styles/medium/public/wysiwyg_uploaded/2016-11-17_FAS_0246_1.jpg?itok=Ro0ep4-x,Democratic Party,U.S. House Arizona District 2,U.S. Representative,AZ,Incumbent,Arizona Congressional District 2,,,Male,1946-01-24,,,,,,,info@tomohalleran.com,https://ohalleran.house.gov,,https://www.tomohalleran.com/,https://www.twitter.com/repohalleran,,https://www.twitter.com/TomOHalleran,,,https://www.youtube.com/channel/UCKvf2KoJ7NEdy-i-Ovuk_Bg,,,https://www.instagram.com/ohalleranforaz/,https://www.facebook.com/repohalleran,,https://www.facebook.com/ohalleranforaz,,,,https://ohalleran.house.gov/rss.xml,"P.O. Box 63992, Phoenix, AZ 85082",318 Cannon House Office Building,,(928) 275-1603,202-225-3361,,,,,,,,,,,,,104523,412682,28499,55936,,21739,https://en.wikipedia.org/wiki/Tom_O%27Halleran,/m/02z4x12,https://ballotpedia.org/Tom_O'Halleran,https://api.propublica.org/congress/v1/members/O000171.json,4187,,,H6AZ01199,,,ocd-division/country:us/state:az/cd:2,,
Eli Crane,Eli,,Crane,,,,https://yt3.ggpht.com/gIUPFQafbPpqkM0ugTfi-UA2JXwVkKdBrHOoXqhlo-hWR6iTzA9WCB5mPVd_f7sy8178izg0_w=s88-c-k-c0x00ffffff-no-rj,Republican Party,U.S. House Arizona District 2,U.S. Representative,AZ,Challenger,Arizona Congressional District 2,,,Male,,,,,,,,,,,https://eliforarizona.com/,,https://www.twitter.com/EliCrane_CEO,https://www.twitter.com/EliCraneAZ,,,https://www.youtube.com/channel/UC0I0haSL6aA3trWtp7x-OXw,,https://www.instagram.com/elicrane_ceo/,https://www.instagram.com/elicraneaz/,,,https://www.facebook.com/EliCraneAZ,,,,,"P.O. Box 1950, Cortaro, AZ 85652",,,,,,,,,,,,,,,,,,,,340336,,,,,https://ballotpedia.org/Eli_Crane,,4187,,,,,,ocd-division/country:us/state:az/cd:2,,
Ruben Gallego,Ruben,,Gallego,,,,https://gallegoforarizona.com/wp-content/uploads/2022/05/201023182332-rep-ruben-gallego-headshot-1-e1653686174717.jpeg,Democratic Party,U.S. House Arizona District 3,U.S. Representative,AZ,Incumbent,Arizona Congressional District 3,,,Male,1979-11-20,,,,,,,gallegoforarizona@gmail.com,https://rubengallego.house.gov,,https://gallegoforarizona.com/,https://www.twitter.com/RepRubenGallego,,https://www.twitter.com/RubenGallego,,,,,https://www.instagram.com/rgallego79,,https://www.facebook.com/RepRubenGallego,https://www.facebook.com/ruben.m.gallego,https://www.facebook.com/GallegoforArizona,,,,https://rubengallego.house.gov/rss.xml,,1131 Longworth House Office Building,,,202-225-4065,,,,,,,,,,,,,77233,412612,123732,49157,,21502,https://en.wikipedia.org/wiki/Ruben_Gallego,/m/0wy0mz5,https://ballotpedia.org/Ruben_Gallego,https://api.propublica.org/congress/v1/members/G000574.json,2350,,,H4AZ07043,,,ocd-division/country:us/state:az/cd:3,,
Jeffrey Zink,Jeffrey,,Zink,,,,,Republican Party,U.S. House Arizona District 3,U.S. Representative,AZ,Challenger,Arizona Congressional District 3,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337527,,,,,https://ballotpedia.org/Jeffrey_Zink,,2350,,,,,,ocd-division/country:us/state:az/cd:3,,
Greg Stanton,Greg,,Stanton,,,,"https://static.wixstatic.com/media/ddc900_31f80886683b4fcd87400310386aae01~mv2.png/v1/fill/w_426,h_569,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/Screen%20Shot%202021-12-09%20at%2010_43_42%20AM.png",Democratic Party,U.S. House Arizona District 4,U.S. Representative,AZ,Incumbent,Arizona Congressional District 4,,,Male,1970-03-08,,,,,,,info@stantonforarizona.com,https://stanton.house.gov,,https://www.stantonforarizona.com/,https://www.twitter.com/RepGregStanton,https://www.twitter.com/gregstanton1,https://www.twitter.com/gregstantonaz,,,,,,https://www.instagram.com/gregstantonaz/,,https://www.facebook.com/gstanton2,https://www.facebook.com/stantonforarizona,,,,,,207 Cannon House Office Building,,(602) 456-1229,202-225-9888,,,,,,,,,,,,,,412753,72030,20435,,,https://en.wikipedia.org/wiki/Greg_Stanton,/m/0hgrxqb,https://ballotpedia.org/Greg_Stanton,https://api.propublica.org/congress/v1/members/S001211.json,11765,,,H8AZ09040,,,ocd-division/country:us/state:az/cd:4,,
Kelly Cooper,Kelly,,Cooper,,,,https://images.squarespace-cdn.com/content/v1/6167417b8812f3707e197535/f4eb4866-c097-4d18-a147-e7d9dd097326/17r2+%281%29-min.png?format=2500w,Republican Party,U.S. House Arizona District 4,U.S. Representative,AZ,Challenger,Arizona Congressional District 4,,,Male,,,,,,,,info@kellycooperarizona.com,,,https://www.kellycooperarizona.com/,,https://www.twitter.com/kelly_cooper74,https://www.twitter.com/KellyCooperAZ,,,https://www.youtube.com/channel/UCheAUISpK1Uk_LpfO8GBbeg,,,https://www.instagram.com/KellyCooper.AZ/,,https://www.facebook.com/kellycooper.kc,https://www.facebook.com/KellyCooperAZ/,,,,,,,,(480) 256-2383,,,,,,,,,,,,,,,,,341866,,,,,https://ballotpedia.org/Kelly_Cooper_(Arizona),,11765,,,,,,ocd-division/country:us/state:az/cd:4,,
Andy Biggs,Andy,,Biggs,,,,https://biggs.house.gov/sites/evo-subsites/biggs.house.gov/files/styles/evo_featured_image/public/featured_image/BIGGSWEBSITEPORTRAIT.png?h=cefefc08&itok=hH1FO-rZ,Republican Party,U.S. House Arizona District 5,U.S. Representative,AZ,Incumbent,Arizona Congressional District 5,,,Male,1958-11-07,,,,,,,info@biggsforcongress.com,https://biggs.house.gov,,https://biggsforcongress.com/,https://www.twitter.com/RepAndyBiggsAZ,,https://www.twitter.com/andybiggs4az,https://www.youtube.com/channel/UCqSq9kWOxk9yNTeILBCVC1w,,,https://www.instagram.com/repandybiggs/,,https://www.instagram.com/andybiggsaz/,https://www.facebook.com/RepAndyBiggs,,https://www.facebook.com/biggsforcongress,,,,https://biggs.house.gov/rss.xml,"70 S Val Vista Dr, Ste A3, #308, Gilbert, AZ 85296",171 Cannon House Office Building,,,202-225-2635,,,,,,,,,,,,,105145,412683,28088,1849,,21705,https://en.wikipedia.org/wiki/Andy_Biggs,/m/0_1m23v,https://ballotpedia.org/Andy_Biggs,https://api.propublica.org/congress/v1/members/B001302.json,46,,,H6AZ05083,,,ocd-division/country:us/state:az/cd:5,,
Javier Garcia Ramos,Javier,Garcia,Ramos,,,,,Democratic Party,U.S. House Arizona District 5,U.S. Representative,AZ,Challenger,Arizona Congressional District 5,,,Male,,,,,,,,ramosazcd5@gmail.com,,,https://www.ramosaz.com/,,,https://www.twitter.com/ramoscd5,,,https://www.youtube.com/channel/UCJX3bY-JugVeBkpX3ILSDaA,,,https://www.instagram.com/ramosazcd5/,,https://www.facebook.com/javier.ramos.39904181,https://www.facebook.com/RamosazforCongress,,,,,,,,(602) 686-0072,,,,,,,,,,,,,,,,,325020,,,,,https://ballotpedia.org/Javier_Garcia_Ramos,,46,,,,,,ocd-division/country:us/state:az/cd:5,,
Travis Lindberg,Travis,,Lindberg,,,,,Independent,U.S. House Arizona District 5,U.S. Representative,AZ,Challenger,Arizona Congressional District 5,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340441,,,,,https://ballotpedia.org/Travis_Lindberg,,46,,,,,,ocd-division/country:us/state:az/cd:5,,
Clint Smith,Clint,,Smith,,,,,Independent,U.S. House Arizona District 5,U.S. Representative,AZ,Challenger,Arizona Congressional District 5,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343283,,,,,https://ballotpedia.org/Clint_Smith_(Arizona),,46,,,,,,ocd-division/country:us/state:az/cd:5,,
Kirsten Engel,Kirsten,,Engel,,,,https://media-exp1.licdn.com/dms/image/C5603AQE03afLLl7I8A/profile-displayphoto-shrink_800_800/0/1517788488287?e=1660176000&v=beta&t=hbv-LAHB7O3FLmXbgay9jij-ZGCfRSrtXj9CNsXDop0,Democratic Party,U.S. House Arizona District 6,U.S. Representative,AZ,Challenger,Arizona Congressional District 6,,,Female,,,,,,,,info@kirstenengel.com,,,https://www.engelforarizona.com/,,,https://www.twitter.com/EngelForArizona,,,,,,https://www.instagram.com/engelforarizona/,,https://www.facebook.com/kirsten.engel,https://www.facebook.com/EngelForArizona,,,,,"P.O. Box 40721, Tucson, AZ 85717",,,(520) 261-8820,,,,,,,,,,,,,,,,,32977,,,https://en.wikipedia.org/wiki/Kirsten_Engel,,https://ballotpedia.org/Kirsten_Engel,,13896,,,,,,ocd-division/country:us/state:az/cd:6,,
Juan Ciscomani,Juan,,Ciscomani,,,,https://images.squarespace-cdn.com/content/v1/60f5c25edf59ad4ae53991db/1627952456699-CN6UC1QZ3OY14DV2HLNI/JuanCiscomani-038-Edit.jpg?format=1000w,Republican Party,U.S. House Arizona District 6,U.S. Representative,AZ,Challenger,Arizona Congressional District 6,,,Male,,,,,,,,info@juanciscomani.com,,,https://www.juanciscomani.com/,,,https://www.twitter.com/JuanCiscomani,,,https://www.youtube.com/channel/UCRg1ca9cx03cE98HgxnojPQ,,,https://www.instagram.com/juanciscomani/,,https://www.facebook.com/profile.php?id=1020269958,https://www.facebook.com/juanciscomani/,,,,,"P.O. Box 35103, Tucson, AZ 85740",,,(520) 222-6874,,,,,,,,,,,,,,,,,340515,,,,,https://ballotpedia.org/Juan_Ciscomani,,13896,,,,,,ocd-division/country:us/state:az/cd:6,,
Avery Thornton,Avery,,Thornton,,,,,Democratic Party,U.S. House Arizona District 6,U.S. Representative,AZ,Challenger,Arizona Congressional District 6,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353008,,,,,https://ballotpedia.org/Avery_Thornton,,13896,,,,,,ocd-division/country:us/state:az/cd:6,,
Raul Grijalva,Raul,,Grijalva,,,,,Democratic Party,U.S. House Arizona District 7,U.S. Representative,AZ,Incumbent,Arizona Congressional District 7,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45434,,,,,https://ballotpedia.org/Raul_Grijalva,,2246,,,,,,ocd-division/country:us/state:az/cd:7,,
Luis  Pozzolo,Luis,,Pozzolo,,,,https://pbs.twimg.com/profile_images/1485333820198903810/ohdCQEPd_400x400.jpg,Republican Party,U.S. House Arizona District 7,U.S. Representative,AZ,Challenger,Arizona Congressional District 7,,,Male,,,,,,,,luis@luis4congress.com,,,https://luis4congress.com/,,,https://www.twitter.com/Luis4Congress,,,https://www.youtube.com/channel/UC4XxI6H7C-EOmEn5QJIj09Q,,,https://www.instagram.com/luis4congress/,,https://www.facebook.com/luis.pozzolo.1,https://www.facebook.com/Luis4Congress,,,,,,,,,,,,,,,,,,,,,,,,,341784,,,,,https://ballotpedia.org/Luis__Pozzolo,,2246,,,,,,ocd-division/country:us/state:az/cd:7,,
Debbie Lesko,Debbie,,Lesko,,,,https://lesko.house.gov/uploadedphotos/mediumresolution/8110f93d-5b65-4496-bf63-31b987b0857d.jpg,Republican Party,U.S. House Arizona District 8,U.S. Representative,AZ,Incumbent,Arizona Congressional District 8,,,Female,1958-11-14,,,,,,,debbie@debbieleskoforcongress.com,https://lesko.house.gov,,https://debbieleskoforcongress.com/,https://www.twitter.com/RepDLesko,,https://www.twitter.com/DebbieLesko,https://www.youtube.com/channel/UCc6-ceGpb-VbP1rmmvYUCWQ,,https://www.youtube.com/channel/UCJmJvRlG-7aBLmAjAYU21jA,https://www.instagram.com/replesko/,,,https://www.facebook.com/RepDebbieLesko,https://www.facebook.com/debbie.lesko.75,https://www.facebook.com/debbieleskoforcongress,,,,,"P.O. Box 45388, Phoenix, AZ 85064",1214 Longworth House Office Building,,(623) 512-9281,202-225-4576,,,,,,,,,,,,,,412745,106483,13662,,21757,https://en.wikipedia.org/wiki/Debbie_Lesko,/m/0zwmkgq,https://ballotpedia.org/Debbie_Lesko,https://api.propublica.org/congress/v1/members/L000589.json,2528,,,H8AZ08158,,,ocd-division/country:us/state:az/cd:8,,
Richard Grayson,Richard,,Grayson,,,,,Democratic Party,U.S. House Arizona District 8,U.S. Representative,AZ,Challenger,Arizona Congressional District 8,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46331,,,,,https://ballotpedia.org/Richard_Grayson_(Arizona),,2528,,,,,,ocd-division/country:us/state:az/cd:8,,
