Pre-Filing ID,Candidate UUID,State,Level,Role,Jurisdiction,Jurisdiction OCDID,Electoral District,Electoral District OCDID,Office Category,Body Name,Office UUID,Office Name,Seat,Number Voting,Number Elected,Candidate Name,Candidate Party Registration,Candidate Party Roll Up,State Party FBID,State Party IG,Incumbent,Phone,Mailing Address,Website (Campaign),Website (Personal),Email,Photo URL,Facebook URL (Campaign),Facebook URL (Gov),Facebook URL (Personal),Twitter Name (Campaign),Twitter Name (Gov),Twitter Name (Personal),Instagram URL (Campaign),Instagram URL (Gov),Instagram URL (Personal),Wiki Word,Youtube (Campaign),Youtube (Gov),Youtube (Personal),County,Source,Source Type,Candidate Status,Inactive Date
,9524c260-78ef-5425-90b8-c52884376a8a,CO,country,legislatorUpperBody,United States,ocd-division/country:us,Colorado,ocd-division/country:us/state:co,U.S. Senator,U.S. Senate,3c3c3d26-5fb1-4a78-879d-92fe5ae88455,U.S. Senator,,1,1,Michael Bennet,Democratic Party,Democratic Party,https://www.facebook.com/coloradodems,https://www.instagram.com/coloradodems/,TRUE,,"PO Box 3078 Denver, CO 80201",https://michaelbennet.com/,,info@michaelbennet.com,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Michael_Bennet_Official_Photo.jpg/440px-Michael_Bennet_Official_Photo.jpg,https://www.facebook.com/michaelbennet,https://www.facebook.com/senbennetco,,MichaelBennet,senatorbennet,,https://www.instagram.com/michaelbennet/,https://www.instagram.com/senatorbennet/,,Michael_Bennet,https://www.youtube.com/c/MichaelBennet2020,https://www.youtube.com/c/MichaelBennet2020,,,,,Qualified,11/8/22
,40297db8-f757-59c3-acde-0e813a033624,CO,country,legislatorUpperBody,United States,ocd-division/country:us,Colorado,ocd-division/country:us/state:co,U.S. Senator,U.S. Senate,3c3c3d26-5fb1-4a78-879d-92fe5ae88455,U.S. Senator,,1,1,Joe O'Dea,Republican Party,Republican Party,https://www.facebook.com/cologop/,https://www.instagram.com/co_gop/,,,"4950 S. Yosemite Street, F2-225, Greenwood Village, CO 80111",https://www.joeodea.com/,,,https://images.squarespace-cdn.com/content/v1/615248f1a7ff905a550c38e3/ab6a170c-fb64-4155-866b-a3bbc43f40ab/DSC00846.JPG?format=1000w,https://www.facebook.com/odeaforcolorado,,,odeaforcolorado,,,https://www.instagram.com/odeaforcolorado/,,,,https://www.youtube.com/channel/UC1Z3EjMXc-jlikrGTBAdzCw,,,,,,Qualified,11/8/22
,f66635f5-ba4d-520e-8ec9-f20da62ddabb,CO,country,legislatorUpperBody,United States,ocd-division/country:us,Colorado,ocd-division/country:us/state:co,U.S. Senator,U.S. Senate,3c3c3d26-5fb1-4a78-879d-92fe5ae88455,U.S. Senator,,1,1,Frank Atwood,Approval Voting Party,Unaffiliated,https://www.facebook.com/AV4CO/,,,,,,,,,,,,,,,,,,,,,,,,,Qualified,11/8/22
,64c13128-306a-5be7-a8a7-b0d5f466778d,CO,country,legislatorUpperBody,United States,ocd-division/country:us,Colorado,ocd-division/country:us/state:co,U.S. Senator,U.S. Senate,3c3c3d26-5fb1-4a78-879d-92fe5ae88455,U.S. Senator,,1,1,Brian Peotter,Libertarian Party,Libertarian Party,https://www.facebook.com/lpcolorado/,,,,,https://www.peotter.com/,,,,,,,Brian_Peotter,,,,,,,,,,,,,Qualified,11/8/22
,10e82cb9-af01-5002-bfeb-3e57b79cbbae,CO,administrativeArea1,deputyHeadOfGovernment,Colorado,ocd-division/country:us/state:co,Colorado,ocd-division/country:us/state:co,Lieutenant Governor,,6557946e-6ff2-4ab9-bddf-a96c05b1b5ea,Lieutenant Governor of Colorado,,1,1,Michele Poague,Libertarian Party,Libertarian Party,https://www.facebook.com/lpcolorado/,,,,,,,,,,,https://www.facebook.com/michele.poague,,,,,,,,,,,,,,Qualified,11/8/22
,ff63cd49-ff87-59ce-905e-c9094fcb5b95,CO,administrativeArea1,deputyHeadOfGovernment,Colorado,ocd-division/country:us/state:co,Colorado,ocd-division/country:us/state:co,Lieutenant Governor,,6557946e-6ff2-4ab9-bddf-a96c05b1b5ea,Lieutenant Governor of Colorado,,1,1,Dianne Primavera,Democratic Party,Democratic Party,https://www.facebook.com/coloradodems,https://www.instagram.com/coloradodems/,TRUE,,,,,,,,https://www.facebook.com/LtGovofCO/,,LtGov4CO,ltgovofco,,,https://www.instagram.com/ltgovofco/,,Dianne_Primavera,,,,,,,Qualified,11/8/22
,6fbf3b2f-e581-5183-90a8-8093405a7435,CO,administrativeArea1,deputyHeadOfGovernment,Colorado,ocd-division/country:us/state:co,Colorado,ocd-division/country:us/state:co,Lieutenant Governor,,6557946e-6ff2-4ab9-bddf-a96c05b1b5ea,Lieutenant Governor of Colorado,,1,1,Darryl Gibbs,American Constitution Party,Constitution Party,https://www.facebook.com/AmeriConParty/,,,,,,,,,https://www.facebook.com/profile.php?id=100075885687021,,https://www.facebook.com/darryl.gibbs.125,,,,,,https://www.instagram.com/gibbs_guts_and_glory/,,,,,,,,Qualified,11/8/22
,88608719-75a3-5c4c-8f34-600d6538185a,CO,administrativeArea1,governmentOfficer,Colorado,ocd-division/country:us/state:co,Colorado,ocd-division/country:us/state:co,Attorney General,,a9ae3f29-5f90-419b-a351-970850516429,CO State Attorney General,,1,1,Phil Weiser,Democratic Party,Democratic Party,https://www.facebook.com/coloradodems,https://www.instagram.com/coloradodems/,TRUE,,"P.O. Box 13644 Denver, CO 8020",https://www.philforcolorado.com/,,TeamPhil@philforcolorado.com,,https://www.facebook.com/PhilforColorado,,https://www.facebook.com/philweiser,pweiser,pweiser,,https://www.instagram.com/philforcolorado/,https://www.instagram.com/philforcolorado/,,Phil_Weiser,https://www.youtube.com/channel/UC0_AYSe1w2IkRsmfnq4X-Jw,,,,,,Qualified,11/8/22
,391822a7-79ed-5ffe-9aff-9a36cef6a548,CO,administrativeArea1,governmentOfficer,Colorado,ocd-division/country:us/state:co,Colorado,ocd-division/country:us/state:co,Attorney General,,a9ae3f29-5f90-419b-a351-970850516429,CO State Attorney General,,1,1,John Kellner,Republican Party,Republican Party,https://www.facebook.com/cologop/,https://www.instagram.com/co_gop/,,,,https://www.johnkellner.com/,,info@johnkellner.com,,https://www.facebook.com/KellnerForColorado,,https://www.facebook.com/john.kellner.7140,JohnKellnerCO,,,https://www.instagram.com/johnkellnerco/,,,,,,,,,,Qualified,11/8/22
,7b20abc8-09ac-51e9-b16e-90badd4be688,CO,administrativeArea1,governmentOfficer,Colorado,ocd-division/country:us/state:co,Colorado,ocd-division/country:us/state:co,State Treasurer,,c47b691c-03ee-423e-92b4-ad83dd77c522,CO State Treasurer,,1,1,Lang Sias,Republican Party,Republican Party,https://www.facebook.com/cologop/,https://www.instagram.com/co_gop/,,,,https://siasforcolorado.com/,,,,https://www.facebook.com/siascotreasurer,,https://www.facebook.com/lang.c.sias,LangSias,,,https://www.instagram.com/siascotreasurer/,,,Lang_Sias,,,,,,,Qualified,11/8/22
