Election year,State,Stage ID,Stage,Race ID,Race type,Office ID,Office level,Office branch,Office name,District name,District type,District OCDID,Seats up for election,Race URL,Candidate ID,Person ID,Name,First name,Last name,Ballotpedia URL,Gender,Party affiliation,Incumbent?,Election date,Stage canceled?,Candidate status,Write-in?,Stage is ranked choice?,Ranked-choice voting round,Votes for,Votes against,Partisan primary?,Campaign email,Other email,Campaign website,Personal website,Campaign Facebook,Personal Facebook,Campaign Twitter,Personal Twitter,Campaign Instagram,Personal Instagram,Campaign YouTube,Personal YouTube,Campaign mailing address,Campaign phone,LinkedIn
2022,CT,120799,Primary,54426,Regular,422,Federal,Legislative,U.S. House Connecticut District 1,Connecticut District 1,Congress,ocd-division/country:us/state:ct/cd:1,1,"https://ballotpedia.org/Connecticut's_1st_Congressional_District_election,_2022",112668,23140,James P. Griffin,James,Griffin,https://ballotpedia.org/James_P._Griffin_(Connecticut),,Republican Party,No,8/9/22,Yes,Withdrew,FALSE,FALSE,,,,TRUE,,,,,,,,,,,,,,,
2022,CT,120794,Primary,54426,Regular,422,Federal,Legislative,U.S. House Connecticut District 1,Connecticut District 1,Congress,ocd-division/country:us/state:ct/cd:1,1,"https://ballotpedia.org/Connecticut's_1st_Congressional_District_election,_2022",107428,28111,John Larson,John,Larson,https://ballotpedia.org/John_Larson_(Connecticut),Male,Democratic Party,Yes,8/9/22,Yes,Advanced,FALSE,FALSE,,,,TRUE,info@larsonforcongress.org,,https://larsonforcongress.org/,,https://www.facebook.com/JohnLarsonCT,,JohnLarsonCT,,https://www.instagram.com/johnlarsonct/,,,https://www.youtube.com/channel/UCBwdX7iEDdImzIGpA3M5o5w,"P.O. Box 261172, Hartford, CT 06126",860-560-3779,
2022,CT,120794,Primary,54426,Regular,422,Federal,Legislative,U.S. House Connecticut District 1,Connecticut District 1,Congress,ocd-division/country:us/state:ct/cd:1,1,"https://ballotpedia.org/Connecticut's_1st_Congressional_District_election,_2022",96958,336302,Andrew Legnani,Andrew,Legnani,https://ballotpedia.org/Andrew_Legnani,Male,Democratic Party,No,8/9/22,Yes,Withdrew,FALSE,FALSE,,,,TRUE,legnaniforus@gmail.com,,https://legnaniforcongress.com/,,https://www.facebook.com/profile.php?id=100005736165385,,AndrewLegnani,,https://www.instagram.com/legnaniforcongress/,,,,"32 Overhill Drive, Berlin, CT 06037",860-559-7256,https://www.linkedin.com/in/andrew-legnani-2b13a3125/
2022,CT,120794,Primary,54426,Regular,422,Federal,Legislative,U.S. House Connecticut District 1,Connecticut District 1,Congress,ocd-division/country:us/state:ct/cd:1,1,"https://ballotpedia.org/Connecticut's_1st_Congressional_District_election,_2022",98365,337436,Muad Hrezi,Muad,Hrezi,https://ballotpedia.org/Muad_Hrezi,Male,Democratic Party,No,8/9/22,Yes,Withdrew,FALSE,FALSE,,,,TRUE,info@hrezi.com,,https://hrezi.com/,,https://www.facebook.com/MuadHrezi,https://www.facebook.com/muad.hrezi.7,muadhrezi,,https://www.instagram.com/muadhrezi/,,https://www.youtube.com/channel/UCoNf_qu2U7ZEqvG-SZrpdJg,,,,https://www.linkedin.com/in/muad-hrezi/
2022,CT,120799,Primary,54426,Regular,422,Federal,Legislative,U.S. House Connecticut District 1,Connecticut District 1,Congress,ocd-division/country:us/state:ct/cd:1,1,"https://ballotpedia.org/Connecticut's_1st_Congressional_District_election,_2022",100116,338811,Larry Lazor,Larry,Lazor,https://ballotpedia.org/Larry_Lazor,Male,Republican Party,No,8/9/22,Yes,Advanced,FALSE,FALSE,,,,TRUE,info@lazorforcongress.com,,https://lazorforcongress.com/,,https://www.facebook.com/LarryLazorCT,,LarryLazor,,https://www.instagram.com/larrylazorct/,,https://www.youtube.com/channel/UCn1Qgwe5khAO_HEghm42kpg,,,,https://www.linkedin.com/in/larry-lazor-5a30774a/
2022,CT,89730,General,54426,Regular,422,Federal,Legislative,U.S. House Connecticut District 1,Connecticut District 1,Congress,ocd-division/country:us/state:ct/cd:1,1,"https://ballotpedia.org/Connecticut's_1st_Congressional_District_election,_2022",107428,28111,John Larson,John,Larson,https://ballotpedia.org/John_Larson_(Connecticut),Male,Democratic Party,Yes,11/8/22,,On the Ballot,FALSE,FALSE,,,,,info@larsonforcongress.org,,https://larsonforcongress.org/,,https://www.facebook.com/JohnLarsonCT,,JohnLarsonCT,,https://www.instagram.com/johnlarsonct/,,,https://www.youtube.com/channel/UCBwdX7iEDdImzIGpA3M5o5w,"P.O. Box 261172, Hartford, CT 06126",860-560-3779,
2022,CT,89730,General,54426,Regular,422,Federal,Legislative,U.S. House Connecticut District 1,Connecticut District 1,Congress,ocd-division/country:us/state:ct/cd:1,1,"https://ballotpedia.org/Connecticut's_1st_Congressional_District_election,_2022",100116,338811,Larry Lazor,Larry,Lazor,https://ballotpedia.org/Larry_Lazor,Male,Republican Party,No,11/8/22,,On the Ballot,FALSE,FALSE,,,,,info@lazorforcongress.com,,https://lazorforcongress.com/,,https://www.facebook.com/LarryLazorCT,,LarryLazor,,https://www.instagram.com/larrylazorct/,,https://www.youtube.com/channel/UCn1Qgwe5khAO_HEghm42kpg,,,,https://www.linkedin.com/in/larry-lazor-5a30774a/
2022,CT,120795,Primary,54427,Regular,7298,Federal,Legislative,U.S. House Connecticut District 2,Connecticut District 2,Congress,ocd-division/country:us/state:ct/cd:2,1,"https://ballotpedia.org/Connecticut's_2nd_Congressional_District_election,_2022",140666,26753,Joe Courtney,Joe,Courtney,https://ballotpedia.org/Joe_Courtney,Male,Democratic Party,Yes,8/9/22,Yes,Advanced,FALSE,FALSE,,,,TRUE,info@joecourtney.com,,https://www.joecourtney.com/,,https://www.facebook.com/CourtneyforCongress,https://www.facebook.com/joe.courtney.9212,JoeCourtneyCT,,,,,,"P.O. Box 1372, Vernon, CT 06066",860-882-3698,
2022,CT,120800,Primary,54427,Regular,7298,Federal,Legislative,U.S. House Connecticut District 2,Connecticut District 2,Congress,ocd-division/country:us/state:ct/cd:2,1,"https://ballotpedia.org/Connecticut's_2nd_Congressional_District_election,_2022",98366,40594,Mike France,Mike,France,https://ballotpedia.org/Mike_France,Male,Republican Party,No,8/9/22,Yes,Advanced,FALSE,FALSE,,,,TRUE,rebecca@votemikefrance.com,,https://votemikefrance.com/,,https://www.facebook.com/MikeFranceforCongress,https://www.facebook.com/mike.france.14,MikeFranceCT2,,https://www.instagram.com/mikefrance4congress/,,,,"PO Box 222, Gales Ferry, CT 06335",860-538-1435,https://www.linkedin.com/in/mike-france-0938554/
2022,CT,120795,Primary,54427,Regular,7298,Federal,Legislative,U.S. House Connecticut District 2,Connecticut District 2,Congress,ocd-division/country:us/state:ct/cd:2,1,"https://ballotpedia.org/Connecticut's_2nd_Congressional_District_election,_2022",102006,340362,Anthony DiLizia,Anthony,DiLizia,https://ballotpedia.org/Anthony_DiLizia,Male,Democratic Party,No,8/9/22,Yes,Withdrew,FALSE,FALSE,,,,TRUE,committee@diliziaforcongress.com,,,,https://www.facebook.com/DiLiziaForCT,https://www.facebook.com/anthony.dilizia,DiLiziaForCT,anthonyadilizia,https://www.instagram.com/anthonydiliziaforct/,https://www.instagram.com/anthonydilizia/,https://www.youtube.com/channel/UC46PdWac6eQjSclR7Q5EA2w,https://www.youtube.com/channel/UCMcyHBPXuH4B27VdnH6UhvQ,,,
