Pre-Filing ID,Candidate UUID,State,Level,Role,Jurisdiction,Jurisdiction OCDID,Electoral District,Electoral District OCDID,Office Category,Body Name,Office UUID,Office Name,Seat,Number Voting,Number Elected,Candidate Name,Candidate Party Registration,Candidate Party Roll Up,State Party FBID,State Party IG,Incumbent,Phone,Mailing Address,Website (Campaign),Website (Personal),Email,Photo URL,Facebook URL (Campaign),Facebook URL (Gov),Facebook URL (Personal),Twitter Name (Campaign),Twitter Name (Gov),Twitter Name (Personal),Instagram URL (Campaign),Instagram URL (Gov),Instagram URL (Personal),Wiki Word,Youtube (Campaign),Youtube (Gov),Youtube (Personal),County,Source,Source Type,Candidate Status,Inactive Date
,d8c12618-b6e7-5919-9444-85165d99a671,CT,administrativeArea1,legislatorLowerBody,Connecticut,ocd-division/country:us/state:ct,Connecticut State House district 143,ocd-division/country:us/state:ct/sldl:143,State Representative,CT State House,9f7ac2dd-10b7-49dc-9f24-7da9b2289091,CT State Representative,District 143,1,1,Dominique E. Johnson,"Democratic Party, Working Families Party",Democratic Party,https://www.facebook.com/ctdemocrats/,https://www.instagram.com/ctdems/,,,,,,,,,,,,,,,,,,,,,,,,qualified,11/8/22
,129ae944-6f1d-563f-947f-4b15a84c4c64,CT,administrativeArea1,legislatorLowerBody,Connecticut,ocd-division/country:us/state:ct,Connecticut State House district 144,ocd-division/country:us/state:ct/sldl:144,State Representative,CT State House,8e1bc415-7edf-4d1d-970a-88626241ddcf,CT State Representative,District 144,1,1,Mitchell Bell,Republican Party,Republican Party,https://www.facebook.com/ctgop/,https://www.instagram.com/ctgop/,,,,,,,,,,,,,,,,,,,,,,,,qualified,11/8/22
,22d4543d-25f2-555b-bb2e-526ab7fc218f,CT,administrativeArea1,legislatorLowerBody,Connecticut,ocd-division/country:us/state:ct,Connecticut State House district 144,ocd-division/country:us/state:ct/sldl:144,State Representative,CT State House,8e1bc415-7edf-4d1d-970a-88626241ddcf,CT State Representative,District 144,1,1,Hubert Delany,Democratic Party,Democratic Party,https://www.facebook.com/ctdemocrats/,https://www.instagram.com/ctdems/,TRUE,,,,,,,https://www.facebook.com/hubertforct,,,,,,,,,Hubert_Douglas_Delany,,,,,,,qualified,11/8/22
,6169e85c-fb2b-5f49-b1d8-7e36ab3288bc,CT,administrativeArea1,legislatorLowerBody,Connecticut,ocd-division/country:us/state:ct,Connecticut State House district 145,ocd-division/country:us/state:ct/sldl:145,State Representative,CT State House,719288a6-a630-4d85-85dc-6dc1ca3c878f,CT State Representative,District 145,1,1,Fritz Blau,Republican Party,Republican Party,https://www.facebook.com/ctgop/,https://www.instagram.com/ctgop/,,,,,,,,,,,,,,,,,,,,,,,,qualified,11/8/22
,ddb4a9b8-4ca0-5b7b-8685-dbc4ec7488ec,CT,administrativeArea1,deputyHeadOfGovernment,Connecticut,ocd-division/country:us/state:ct,Connecticut,ocd-division/country:us/state:ct,Lieutenant Governor,,31b7bdb0-fe37-453c-bd75-0ae4dcc0652a,Lieutenant Governor of Connecticut,,1,1,Stewart Chip Beckett,Independent Party,Alliance Party,https://www.facebook.com/INDEPENDENTSOFCT,,,,,,,,,,,,,,,,,,,,,,,,,qualified,11/8/22
,93ddff0d-aabd-599c-ae26-fb7444f858dd,CT,administrativeArea1,governmentOfficer,Connecticut,ocd-division/country:us/state:ct,Connecticut,ocd-division/country:us/state:ct,Secretary of State,,08a9062c-ae10-4471-8d31-bd207464b42e,CT Secretary of State,,1,1,Stephanie Thomas,"Democratic Party, Working Families Party",Democratic Party,https://www.facebook.com/ctdemocrats/,https://www.instagram.com/ctdems/,,,,,,,,,,,,,,,,,,,,,,,,qualified,11/8/22
,396f1e25-bb97-599d-ad21-923ea7e6be99,CT,administrativeArea1,legislatorLowerBody,Connecticut,ocd-division/country:us/state:ct,Connecticut State House district 101,ocd-division/country:us/state:ct/sldl:101,State Representative,CT State House,67a9b8ac-04ab-4926-b8ea-8dd409f04366,CT State Representative,District 101,1,1,John A. Rasimas,Republican Party,Republican Party,https://www.facebook.com/ctgop/,https://www.instagram.com/ctgop/,,,,,,,,,,,,,,,,,,,,,,,,qualified,11/8/22
,c8193415-4d69-5f8f-9d11-0e76b08151ab,CT,administrativeArea1,deputyHeadOfGovernment,Connecticut,ocd-division/country:us/state:ct,Connecticut,ocd-division/country:us/state:ct,Lieutenant Governor,,31b7bdb0-fe37-453c-bd75-0ae4dcc0652a,Lieutenant Governor of Connecticut,,1,1,Laura Devlin,Republican Party,Republican Party,https://www.facebook.com/ctgop/,https://www.instagram.com/ctgop/,,,,,,,,,,,,,,,,,,,,,,,,qualified,11/8/22
,763de08e-601c-5164-b8f6-5bf1ccc087ed,CT,administrativeArea1,legislatorLowerBody,Connecticut,ocd-division/country:us/state:ct,Connecticut State House district 102,ocd-division/country:us/state:ct/sldl:102,State Representative,CT State House,3bcb5d42-f081-4dce-9adf-367e80f528ef,CT State Representative,District 102,1,1,Robin Comey,"Democratic Party, Working Families Party",Democratic Party,https://www.facebook.com/ctdemocrats/,https://www.instagram.com/ctdems/,TRUE,,,,,,,,,,,,,,,,Robin_Comey,,,,,,,qualified,11/8/22
,007aa0dd-934b-528a-9d34-bd08c2f1cfaa,CT,administrativeArea1,governmentOfficer,Connecticut,ocd-division/country:us/state:ct,Connecticut,ocd-division/country:us/state:ct,Secretary of State,,08a9062c-ae10-4471-8d31-bd207464b42e,CT Secretary of State,,1,1,Dominic Rapini,Republican Party,Republican Party,https://www.facebook.com/ctgop/,https://www.instagram.com/ctgop/,,,,,,,,,,,,,,,,,,,,,,,,qualified,11/8/22
,baebc40e-e09a-585c-bbdc-78c6bd44f65a,CT,country,legislatorUpperBody,United States,ocd-division/country:us,Connecticut,ocd-division/country:us/state:ct,U.S. Senator,U.S. Senate,74ecf2c4-bbf7-4f2b-af5f-3f1b18108d8d,U.S. Senator,,1,1,Richard Blumenthal,"Democratic Party, Working Families Party",Democratic Party,https://www.facebook.com/ctdemocrats/,https://www.instagram.com/ctdems/,TRUE,,,,,,,,,,,,,,,,Richard_Blumenthal,,,,,,,qualified,11/8/22
,651846b7-f698-56d7-9abb-4cd933d56624,CT,administrativeArea1,governmentOfficer,Connecticut,ocd-division/country:us/state:ct,Connecticut,ocd-division/country:us/state:ct,Secretary of State,,08a9062c-ae10-4471-8d31-bd207464b42e,CT Secretary of State,,1,1,Cynthia R. Jennings,Independent Party,Alliance Party,https://www.facebook.com/INDEPENDENTSOFCT,,,,,,,,,,,,,,,,,,,,,,,,,qualified,11/8/22
,efd31e1e-3df7-57a2-aa17-114f31a13ace,CT,administrativeArea1,governmentOfficer,Connecticut,ocd-division/country:us/state:ct,Connecticut,ocd-division/country:us/state:ct,Attorney General,,214d8524-1da5-4c46-a51e-911023c6e746,CT State Attorney General,,1,1,William Tong,"Democratic Party, Working Families Party",Democratic Party,https://www.facebook.com/ctdemocrats/,https://www.instagram.com/ctdems/,TRUE,,,,,,,,,,,,,,,,William_Tong,,,,,,,qualified,11/8/22
,7010b2e6-292e-5718-b53e-b3f96075b2b5,CT,administrativeArea1,legislatorLowerBody,Connecticut,ocd-division/country:us/state:ct,Connecticut State House district 103,ocd-division/country:us/state:ct/sldl:103,State Representative,CT State House,9ab594d5-0331-40f2-ab6e-316063de6cd7,CT State Representative,District 103,1,1,Liz Linehan,"Democratic Party, Independent Party",Democratic Party,https://www.facebook.com/ctdemocrats/,https://www.instagram.com/ctdems/,TRUE,,,,,,,,,,,,,,,,,,,,,,,qualified,11/8/22
,2837c7b7-0bb2-5f74-91ce-c7d9107ede1e,CT,country,legislatorUpperBody,United States,ocd-division/country:us,Connecticut,ocd-division/country:us/state:ct,U.S. Senator,U.S. Senate,74ecf2c4-bbf7-4f2b-af5f-3f1b18108d8d,U.S. Senator,,1,1,Leora R. Levy,Republican Party,Republican Party,https://www.facebook.com/ctgop/,https://www.instagram.com/ctgop/,,,,,,,,,,,,,,,,,,,,,,,,qualified,11/8/22
