name,name_first,name_middle,name_last,nickname,name_prefix,name_suffix,image,party,office,title,state,status,district,ethnicity,race,gender,date_of_birth,date_of_death,education,occupation,bio,email_official,email_other,email_campaign,website_official,website_personal,website_campaign,twitter_official,twitter_personal,twitter_campaign,youtube_official,youtube_personal,youtube_campaign,instagram_official,instagram_personal,instagram_campaign,facebook_official,facebook_personal,facebook_campaign,linkedin,rumble,gab,rss,address_campaign,address_capitol,address_district,phone_campaign,phone_capitol,phone_district,fax_capitol,fax_district,contact_form_url,date_assumed_office,appointed_by,appointed_date,confirmed_date,term_end_date,congress_year,thomas ID,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,google_entity_id,Ballotpedia URL,propublica URL,ballotpedia Office ID,govpackpub_id,govpack_id,fec_id,usio_id,opensecrets_id,district_ocd_id,openstates_id,committee_id
John Larson,John,B.,Larson,,,,,Democratic Party,U.S. House Connecticut District 1,U.S. Representative,CT,Incumbent,Connecticut Congressional District 1,,,Male,1948-07-22,,,,,,,,https://larson.house.gov,,,https://www.twitter.com/RepJohnLarson,,,https://www.youtube.com/c/RepJohnLarson,,,,,,https://www.facebook.com/RepJohnLarson,,,,,,https://larson.house.gov/rss.xml,,1501 Longworth House Office Building,,,202-225-2265,,,,,,,,,,,,,36596,400233,17188,28111,,29908,,/m/024zl9,https://ballotpedia.org/John_Larson_(Connecticut),https://api.propublica.org/congress/v1/members/L000557.json,422,,,H8CT01046,,,ocd-division/country:us/state:ct/cd:1,,
Larry Lazor,Larry,,Lazor,,,,,Republican Party,U.S. House Connecticut District 1,U.S. Representative,CT,Challenger,Connecticut Congressional District 1,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338811,,,,,https://ballotpedia.org/Larry_Lazor,,422,,,,,,ocd-division/country:us/state:ct/cd:1,,
Joe Courtney,Joe,,Courtney,,,,,Democratic Party,U.S. House Connecticut District 2,U.S. Representative,CT,Incumbent,Connecticut Congressional District 2,,,Male,1953-04-06,,,,,,,,https://courtney.house.gov,,,https://www.twitter.com/RepJoeCourtney,,,https://www.youtube.com/c/repcourtney,,,,,,https://www.facebook.com/joecourtney,,,,,,https://courtney.house.gov/rss.xml,,2449 Rayburn House Office Building,,,202-225-2076,,,,,,,,,,,,,1021284,412193,30333,26753,,20706,,/m/0700nd,https://ballotpedia.org/Joe_Courtney,https://api.propublica.org/congress/v1/members/C001069.json,7298,,,H2CT02112,,,ocd-division/country:us/state:ct/cd:2,,
Mike France,Mike,,France,,,,https://www.cthousegop.com/france/wp-content/uploads/sites/30/2016/11/BIOFrance-headshot-032015-1755wl.jpg,Republican Party,U.S. House Connecticut District 2,U.S. Representative,CT,Challenger,Connecticut Congressional District 2,,,Male,,,,,,Mike.France@housegop.ct.gov,,,,,,,,,,,,,,,,,,,,,,,,"17 Garden Drive;Gales Ferry, CT 06335",,,860-464-9229,,,,,,,,,,,,,,,40594,,,,,https://ballotpedia.org/Mike_France,,7298,,,,,,ocd-division/country:us/state:ct/cd:2,ocd-person/f9285869-efa5-474f-86b4-9cd79867ed7f,
Lesley DeNardis,Lesley,,DeNardis,,,,,Republican Party,U.S. House Connecticut District 3,U.S. Representative,CT,Challenger,Connecticut Congressional District 3,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34535,,,,,https://ballotpedia.org/Lesley_DeNardis,,4039,,,,,,ocd-division/country:us/state:ct/cd:3,,
Rosa L. DeLauro,Rosa,L.,DeLauro,,,,,Democratic Party,U.S. House Connecticut District 3,U.S. Representative,CT,Incumbent,Connecticut Congressional District 3,,,Female,1943-03-02,,,,,,,,https://delauro.house.gov,,,https://www.twitter.com/RosaDeLauro,,,https://www.youtube.com/c/rosadelauro,,,,,,https://www.facebook.com/CongresswomanRosaDeLauro,,,,,,https://delauro.house.gov/rss.xml,,2413 Rayburn House Office Building,,,202-225-3661,,,,,,,,,,,,,19040,400103,26788,48919,,29109,,/m/024zn0,https://ballotpedia.org/Rosa_DeLauro,https://api.propublica.org/congress/v1/members/D000216.json,4039,,,H0CT03072,,,ocd-division/country:us/state:ct/cd:3,,
Amy Chai,Amy,,Chai,,,,,Independent,U.S. House Connecticut District 3,U.S. Representative,CT,Challenger,Connecticut Congressional District 3,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374345,,,,,https://ballotpedia.org/Amy_Chai,,4039,,,,,,ocd-division/country:us/state:ct/cd:3,,
Jim Himes,Jim,,Himes,,,,,Democratic Party,U.S. House Connecticut District 4,U.S. Representative,CT,Incumbent,Connecticut Congressional District 4,,,Male,1966-07-05,,,,,,,,https://himes.house.gov,,,https://www.twitter.com/JAHimes,,,https://www.youtube.com/c/congressmanhimes,,,,,,https://www.facebook.com/CongressmanJimHimes,,,,,,,,2137 Rayburn House Office Building,,,202-225-5541,,,,,,,,,,,,,1031341,412282,106744,26013,,20907,,/m/03w9x9v,https://ballotpedia.org/Jim_Himes,https://api.propublica.org/congress/v1/members/H001047.json,10607,,,H8CT04172,,,ocd-division/country:us/state:ct/cd:4,,
Jayme Stevenson,Jayme,,Stevenson,,,,https://jaymestevensonforcongress.com/wp-content/uploads/2022/07/JaymeStevenson-e1657678984349.jpg,Republican Party,U.S. House Connecticut District 4,U.S. Representative,CT,Challenger,Connecticut Congressional District 4,,,Female,,,,,,,,press@jaymestevensonforcongress.com,,,https://jaymestevensonforcongress.com/,,,https://www.twitter.com/JaymeStevenson,,,,,https://www.instagram.com/jaymestevenson/,https://www.instagram.com/jayme4congress/,,,https://www.facebook.com/jayme4congress,,,,,"24 East Ave, #134, New Canaan, CT 06840",,,,,,,,,,,,,,,,,,,,299950,,,,,https://ballotpedia.org/Jayme_Stevenson,,10607,,,,,,ocd-division/country:us/state:ct/cd:4,,
George Logan,George,,Logan,,,,,Republican Party,U.S. House Connecticut District 5,U.S. Representative,CT,Challenger,Connecticut Congressional District 5,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19501,,,,,https://ballotpedia.org/George_Logan_(Connecticut),,9539,,,,,,ocd-division/country:us/state:ct/cd:5,,
