Pre-Filing ID,Candidate UUID,State,Level,Role,Jurisdiction,Jurisdiction OCDID,Electoral District,Electoral District OCDID,Office Category,Body Name,Office UUID,Office Name,Seat,Number Voting,Number Elected,Candidate Name,Candidate Party Registration,Candidate Party Roll Up,State Party FBID,State Party IG,Incumbent,Phone,Mailing Address,Website (Campaign),Website (Personal),Email,Photo URL,Facebook URL (Campaign),Facebook URL (Gov),Facebook URL (Personal),Twitter Name (Campaign),Twitter Name (Gov),Twitter Name (Personal),Instagram URL (Campaign),Instagram URL (Gov),Instagram URL (Personal),Wiki Word,Youtube (Campaign),Youtube (Gov),Youtube (Personal),County,Source,Source Type,Candidate Status,Inactive Date
,56602828-b69b-52ec-bfa8-173fb61ec872,DE,administrativeArea1,legislatorLowerBody,Delaware,ocd-division/country:us/state:de,Delaware State House district 25,ocd-division/country:us/state:de/sldl:25,State Representative,DE State House,0419f9af-3a86-4641-905f-67941d110048,DE State Representative,District 25,1,1,Lynn Mey,Republican Party,Republican Party,https://www.facebook.com/DelawareRepublicanParty/,https://www.instagram.com/delawarerepublicanparty/,,,,,,,,,,,,,,,,,,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,323302bb-63a7-54d2-bbb6-39935232c4d2,DE,administrativeArea1,governmentOfficer,Delaware,ocd-division/country:us/state:de,Delaware,ocd-division/country:us/state:de,State Treasurer,,10d6c9d9-b2c4-4662-a836-b9db5e451553,DE State Treasurer,,1,1,Greg Coverdale,Republican Party,Republican Party,https://www.facebook.com/DelawareRepublicanParty/,https://www.instagram.com/delawarerepublicanparty/,,,,,,,,,,,,,,,,,,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,15ca66b0-39f7-52ae-983b-e1b5ae6b7e6f,DE,administrativeArea1,governmentOfficer,Delaware,ocd-division/country:us/state:de,Delaware,ocd-division/country:us/state:de,State Treasurer,,10d6c9d9-b2c4-4662-a836-b9db5e451553,DE State Treasurer,,1,1,Colleen Davis,Democratic Party,Democratic Party,https://www.facebook.com/DelawareDemocraticParty/,https://www.instagram.com/deldems/,TRUE,,,,,,,,,https://www.facebook.com/colleen.davis.33886305,,,,,,,Colleen_Davis,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,f7da3a35-9002-5be5-82a7-14607a0bf901,DE,administrativeArea2,legislatorUpperBody,Kent County,ocd-division/country:us/state:de/county:kent,Kent County,ocd-division/country:us/state:de/county:kent,County Legislator,Kent County Levy Court,78e25048-83b9-4005-8d0e-f522593aabcb,Kent County Commissioner,At-Large,1,1,Terry L. Pepper,Democratic Party,Democratic Party,https://www.facebook.com/DelawareDemocraticParty/,https://www.instagram.com/deldems/,TRUE,,,,,,,,,,,,,,,,,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,2db404a5-6e28-5be7-9b2f-285b2166d471,DE,administrativeArea2,legislatorUpperBody,Sussex County,ocd-division/country:us/state:de/county:sussex,Sussex County Council District 4,ocd-division/country:us/state:de/county:sussex/council_district:4,County Legislator,Sussex County Council,d4881a10-729d-4cb9-84fa-3446a1e79edc,Sussex County Council Member,District 4,1,1,Nathan Mitchell,Democratic Party,Democratic Party,https://www.facebook.com/DelawareDemocraticParty/,https://www.instagram.com/deldems/,,,,,,,,,,,,,,,,,,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,303e2b5d-112a-517b-85a7-068a0be01ed8,DE,country,legislatorLowerBody,United States,ocd-division/country:us,Delaware,ocd-division/country:us/state:de,U.S. Representative,U.S. House of Representatives,96d068c8-9217-429d-8da8-8faa99a57079,U.S. Representative,,1,1,Lisa Blunt Rochester,Democratic Party,Democratic Party,https://www.facebook.com/DelawareDemocraticParty/,https://www.instagram.com/deldems/,TRUE,,,,,,,,,,,,,,,,Lisa_Blunt_Rochester,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,436ea986-673b-5e42-a4d0-9281155a5620,DE,administrativeArea2,legislatorUpperBody,Sussex County,ocd-division/country:us/state:de/county:sussex,Sussex County Council District 4,ocd-division/country:us/state:de/county:sussex/council_district:4,County Legislator,Sussex County Council,d4881a10-729d-4cb9-84fa-3446a1e79edc,Sussex County Council Member,District 4,1,1,Douglas B. Hudson,Republican Party,Republican Party,https://www.facebook.com/DelawareRepublicanParty/,https://www.instagram.com/delawarerepublicanparty/,TRUE,,,,,,,,,,,,,,,,,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,5e3cca6a-1fc2-5629-9a7a-6c9d97779614,DE,country,legislatorLowerBody,United States,ocd-division/country:us,Delaware,ocd-division/country:us/state:de,U.S. Representative,U.S. House of Representatives,96d068c8-9217-429d-8da8-8faa99a57079,U.S. Representative,,1,1,Lee Murphy,Republican Party,Republican Party,https://www.facebook.com/DelawareRepublicanParty/,https://www.instagram.com/delawarerepublicanparty/,,,,,,,,,,,,,,,,,,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,ca1b4a94-91ec-5e99-b59e-48114ab0f7c4,DE,administrativeArea2,legislatorUpperBody,Kent County,ocd-division/country:us/state:de/county:kent,Kent County,ocd-division/country:us/state:de/county:kent,County Legislator,Kent County Levy Court,78e25048-83b9-4005-8d0e-f522593aabcb,Kent County Commissioner,At-Large,1,1,Jason Bonner,Republican Party,Republican Party,https://www.facebook.com/DelawareRepublicanParty/,https://www.instagram.com/delawarerepublicanparty/,,,,,,,,,,,,,,,,,,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,3ac49641-7890-5f2e-9752-b6a27f3a73a8,DE,country,legislatorLowerBody,United States,ocd-division/country:us,Delaware,ocd-division/country:us/state:de,U.S. Representative,U.S. House of Representatives,96d068c8-9217-429d-8da8-8faa99a57079,U.S. Representative,,1,1,David Rogers,Non-Partisan Delaware Party,Unaffiliated,https://www.facebook.com/NonPartisanDE/,,,,,,,,,,,,,,,,,,,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
