id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/a5a0998b-3837-4c4e-a66b-a567dc2f9d77,Al Williams,Democratic,168,lower,Al,Williams,,al.williams@house.ga.gov,,,,https://www.legis.ga.gov/api/images/default-source/portraits/williams-al-230.jpg,http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=230&Session=27;https://www.legis.ga.gov/members/house/230?session=1029,http://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=230&Session=27;https://www.legis.ga.gov/members/house/230?session=1029;https://www.legis.ga.gov/members/house/230?session=1029;https://www.legis.ga.gov/api/members/detail/230?session=1029&chamber=1,,,,"9041 East Oglethorpe Highway; Midway, GA 31320",,,,,,,
ocd-person/bb48e87c-29db-4a4d-a278-fa299be2020e,Alan Powell,Republican,32,lower,Alan,Powell,,alan.powell@house.ga.gov,,,,https://www.legis.ga.gov/api/images/default-source/portraits/powell-alan-187.jpg,http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=187&Session=27;https://www.legis.ga.gov/members/house/187?session=1029,http://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=187&Session=27;https://www.legis.ga.gov/members/house/187?session=1029;https://www.legis.ga.gov/members/house/187?session=1029;https://www.legis.ga.gov/api/members/detail/187?session=1029&chamber=1,,,,"3059 Ridge Road; Hartwell, GA 30643",706-206-6500,,,,,,
ocd-person/b001a55f-61fa-4e62-85fd-ac6c282f2711,Angela Moore,Democratic,90,lower,Angela,Moore,,angela.moore@house.ga.gov,,,,https://www.legis.ga.gov/api/images/default-source/portraits/moore-angela-5008.jpg,https://www.legis.ga.gov/members/house/5008?session=1029,https://www.legis.ga.gov/members/house/5008?session=1029;https://www.legis.ga.gov/members/house/5008?session=1029;https://www.legis.ga.gov/api/members/detail/5008?session=1029&chamber=1,,,,"2724 Wesley Chapel Rd, Ste. 361731; Ste 361731; Decatur, GA 30034",678-824-5790,,,,,,
ocd-person/d2565b12-22ac-4100-a657-2cdaaca7c7ac,Angelika Kausche,Democratic,50,lower,Angelika,Kausche,,angelika.kausche@house.ga.gov,,,,https://www.legis.ga.gov/api/images/default-source/portraits/kausche-angelika-4941.jpg,http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=4941&Session=27;https://www.legis.ga.gov/members/house/4941?session=1029,http://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=4941&Session=27;https://www.legis.ga.gov/members/house/4941?session=1029;https://www.legis.ga.gov/members/house/4941?session=1029;https://www.legis.ga.gov/api/members/detail/4941?session=1029&chamber=1,,,,"5805 State Bridge Rd, Suite G518; Johns Creek, GA 30097",,,,,,,
ocd-person/7ea227b9-339a-485a-bfc8-467206ad2457,Barry Fleming,Republican,121,lower,Barry,Fleming,,barry.fleming@house.ga.gov,,,,https://www.legis.ga.gov/api/images/default-source/portraits/fleming-barry-101.jpg,http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=101&Session=27;https://www.legis.ga.gov/members/house/101?session=1029,http://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=101&Session=27;https://www.legis.ga.gov/members/house/101?session=1029;https://www.legis.ga.gov/members/house/101?session=1029;https://www.legis.ga.gov/api/members/detail/101?session=1029&chamber=1,,,,,,,,,,,
ocd-person/f9d51075-c77f-4c05-88b9-ed716fd3b964,Becky Evans,Democratic,83,lower,Becky,Evans,,becky.evans@house.ga.gov,,,,https://www.legis.ga.gov/api/images/default-source/portraits/evans-becky-4946.jpg,http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=4946&Session=27;https://www.legis.ga.gov/members/house/4946?session=1029,http://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=4946&Session=27;https://www.legis.ga.gov/members/house/4946?session=1029;https://www.legis.ga.gov/members/house/4946?session=1029;https://www.legis.ga.gov/api/members/detail/4946?session=1029&chamber=1,,,,"P.O. Box 15074; Atlanta, GA 30333",,,,,,,
ocd-person/5dc5b271-abaa-4b6c-9f79-6d428f700315,Bee Nguyen,Democratic,89,lower,Bee,Nguyen,,bee.nguyen@house.ga.gov,,,,https://www.legis.ga.gov/api/images/default-source/portraits/nguyen-bee-4917.jpg,http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=4917&Session=27;https://www.legis.ga.gov/members/house/4917?session=1029,http://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=4917&Session=27;https://www.legis.ga.gov/members/house/4917?session=1029;https://www.legis.ga.gov/members/house/4917?session=1029;https://www.legis.ga.gov/api/members/detail/4917?session=1029&chamber=1,,,,,,,,,,,
ocd-person/fd2717f1-6294-4601-a027-8fc41195372c,Ben Watson,Republican,1,upper,Ben,Watson,,ben.watson@senate.ga.gov,,,,https://www.legis.ga.gov/api/images/default-source/portraits/watson-ben-784.jpg,http://www.senate.ga.gov/SENATORS/en-US/member.aspx?Member=784&Session=27;https://www.legis.ga.gov/members/senate/784?session=1029,http://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;http://www.senate.ga.gov/SENATORS/en-US/member.aspx?Member=784&Session=27;https://www.legis.ga.gov/members/senate/784?session=1029;https://www.legis.ga.gov/members/senate/784?session=1029;https://www.legis.ga.gov/api/members/detail/784?session=1029&chamber=2,,,,"1326 Eisenhower Drive #2; Savannah, GA 31406",912-527-5100,,,,,,
ocd-person/e4e40f68-0970-4392-b739-3c68f749bcdc,Beth Camp,Republican,131,lower,Beth,Camp,,beth.camp@house.ga.gov,,,,https://www.legis.ga.gov/api/images/default-source/portraits/camp-beth-5004.jpg,https://www.legis.ga.gov/members/house/5004?session=1029,https://www.legis.ga.gov/members/house/5004?session=1029;https://www.legis.ga.gov/members/house/5004?session=1029;https://www.legis.ga.gov/api/members/detail/5004?session=1029&chamber=1,,,,"1235 Strickland Rd; Concord, GA 30206",,,,,,,
ocd-person/d4386045-ecfa-43cf-8c52-ef8ddd74158e,Beth Moore,Democratic,95,lower,Beth,Moore,,beth.moore@house.ga.gov,,,,https://www.legis.ga.gov/api/images/default-source/portraits/moore-beth-4948.jpg,http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=4948&Session=27;https://www.legis.ga.gov/members/house/4948?session=1029,http://webservices.legis.ga.gov/GGAServices/Members/Service.svc?wsdl;http://www.house.ga.gov/Representatives/en-US/member.aspx?Member=4948&Session=27;https://www.legis.ga.gov/members/house/4948?session=1029;https://www.legis.ga.gov/members/house/4948?session=1029;https://www.legis.ga.gov/api/members/detail/4948?session=1029&chamber=1,,,,"107 Technology Parkway; Peachtree Corners, GA 30092",404-381-8311,,,,,,
