Pre-Filing ID,Candidate UUID,State,Level,Role,Jurisdiction,Jurisdiction OCDID,Electoral District,Electoral District OCDID,Office Category,Body Name,Office UUID,Office Name,Seat,Number Voting,Number Elected,Candidate Name,Candidate Party Registration,Candidate Party Roll Up,State Party FBID,State Party IG,Incumbent,Phone,Mailing Address,Website (Campaign),Website (Personal),Email,Photo URL,Facebook URL (Campaign),Facebook URL (Gov),Facebook URL (Personal),Twitter Name (Campaign),Twitter Name (Gov),Twitter Name (Personal),Instagram URL (Campaign),Instagram URL (Gov),Instagram URL (Personal),Wiki Word,Youtube (Campaign),Youtube (Gov),Youtube (Personal),County,Source,Source Type,Candidate Status,Inactive Date
,a7413bde-9a03-5878-92a6-edc7246fbd2d,MA,administrativeArea1,governmentOfficer,Massachusetts,ocd-division/country:us/state:ma,Massachusetts,ocd-division/country:us/state:ma,Secretary of State,,282d4c53-532b-40e3-9b2f-ea245c7a970e,MA Secretary of State,,1,1,William Francis Galvin,Democratic Party,Democratic Party,,,TRUE,,,,,,,,,,,,,,,,William_F._Galvin,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,74de7dbb-7a79-5201-b73c-a099745d590e,MA,administrativeArea1,governmentOfficer,Massachusetts,ocd-division/country:us/state:ma,Massachusetts,ocd-division/country:us/state:ma,Secretary of State,,282d4c53-532b-40e3-9b2f-ea245c7a970e,MA Secretary of State,,1,1,Rayla Campbell,Republican Party,Republican Party,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,c99a23a3-ad8a-5406-a96c-069cf2b89dbb,MA,administrativeArea1,governmentOfficer,Massachusetts,ocd-division/country:us/state:ma,Massachusetts,ocd-division/country:us/state:ma,Secretary of State,,282d4c53-532b-40e3-9b2f-ea245c7a970e,MA Secretary of State,,1,1,Juan Sanchez,Green-Rainbow Party,Green-Rainbow Party,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,379edc15-b8a3-5bc4-bf7b-f7210501922f,MA,administrativeArea2,governmentOfficer,Middlesex County,ocd-division/country:us/state:ma/county:middlesex,Middlesex County,ocd-division/country:us/state:ma/county:middlesex,Sheriff,,824337c3-5510-4807-ad8a-aa9d153a0860,Middlesex County Sheriff,,1,1,Peter J. Koutoujian,Democratic Party,Democratic Party,,,TRUE,,,,,,,,,https://www.facebook.com/PeterKoutoujian/,,,,,,,Peter_Koutoujian,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,3962d93b-2f3f-5a97-be45-51ba1e50e529,MA,country,legislatorLowerBody,United States,ocd-division/country:us,Massachusetts's 7th congressional district,ocd-division/country:us/state:ma/cd:7,U.S. Representative,U.S. House of Representatives,dc634f92-93e5-4fe8-b71e-9c3dbba226a7,U.S. Representative,District 7,1,1,Ayanna S. Pressley,Democratic Party,Democratic Party,,,TRUE,,,,,,,https://www.facebook.com/ayannapressley2/,,,,,,,,,Ayanna_Pressley,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,5bb3f0d2-9a73-500e-8401-3a7c1abbcb87,MA,administrativeArea1,headOfGovernment,Massachusetts,ocd-division/country:us/state:ma,Massachusetts,ocd-division/country:us/state:ma,Governor,,4c16cf8c-dda2-4758-a9b5-2af7c26f4061,Governor of Massachusetts,,1,1,Maura Healey,Democratic Party,Democratic Party,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,e6258528-a6ee-5a16-bd3c-7b6fe910fa18,MA,country,legislatorLowerBody,United States,ocd-division/country:us,Massachusetts's 8th congressional district,ocd-division/country:us/state:ma/cd:8,U.S. Representative,U.S. House of Representatives,2608661d-9d5d-44ec-ae95-7ebb89d3cf25,U.S. Representative,District 8,1,1,Stephen F. Lynch,Democratic Party,Democratic Party,,,TRUE,,,,,,,,,,,,,,,,Stephen_F._Lynch,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,06ddfd42-0fa3-58c5-9789-cf8265587c4c,MA,administrativeArea2,governmentOfficer,Nantucket County,ocd-division/country:us/state:ma/county:nantucket,Nantucket County,ocd-division/country:us/state:ma/county:nantucket,Sheriff,,39a6f138-b88c-4da6-bdb8-47cf300c3538,Nantucket County Sheriff,,1,1,James A. Perelman,Democratic Party,Democratic Party,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,ed6806fd-c573-5b28-be79-233c8a03c4cf,MA,administrativeArea1,headOfGovernment,Massachusetts,ocd-division/country:us/state:ma,Massachusetts,ocd-division/country:us/state:ma,Governor,,4c16cf8c-dda2-4758-a9b5-2af7c26f4061,Governor of Massachusetts,,1,1,Kevin Reed,Libertarian Party,Libertarian Party,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,6eb11cef-af25-502b-86d7-fc865951a2d2,MA,administrativeArea2,governmentOfficer,Nantucket County,ocd-division/country:us/state:ma/county:nantucket,Nantucket County,ocd-division/country:us/state:ma/county:nantucket,Sheriff,,39a6f138-b88c-4da6-bdb8-47cf300c3538,Nantucket County Sheriff,,1,1,David J. Aguiar,Independent Party,Independent Party,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,99508377-c20d-558f-a492-a1a84ad3b9ee,MA,country,legislatorLowerBody,United States,ocd-division/country:us,Massachusetts's 8th congressional district,ocd-division/country:us/state:ma/cd:8,U.S. Representative,U.S. House of Representatives,2608661d-9d5d-44ec-ae95-7ebb89d3cf25,U.S. Representative,District 8,1,1,Robert G. Burke,Republican Party,Republican Party,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,0a2de6e7-358a-5d91-81ac-db03cad50f33,MA,administrativeArea1,headOfGovernment,Massachusetts,ocd-division/country:us/state:ma,Massachusetts,ocd-division/country:us/state:ma,Governor,,4c16cf8c-dda2-4758-a9b5-2af7c26f4061,Governor of Massachusetts,,1,1,Geoff Diehl,Republican Party,Republican Party,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,7869dc49-a7ff-5d5c-9541-c1666bc83f36,MA,country,legislatorLowerBody,United States,ocd-division/country:us,Massachusetts's 9th congressional district,ocd-division/country:us/state:ma/cd:9,U.S. Representative,U.S. House of Representatives,b0b58754-7f4c-430b-891e-df470154083a,U.S. Representative,District 9,1,1,Jesse G. Brown,Republican Party,Republican Party,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,05ef613b-4855-5234-898d-2cb0c6e4ca2f,MA,administrativeArea2,governmentOfficer,Norfolk County,ocd-division/country:us/state:ma/county:norfolk,Norfolk County,ocd-division/country:us/state:ma/county:norfolk,Sheriff,,41cef5f7-f7c2-42ac-9afd-078e955bbc81,Norfolk County Sheriff,,1,1,Patrick W. Mcdermott,Democratic Party,Democratic Party,,,TRUE,,,,,,,,,,,,,,,,,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,35702f7c-7799-5906-941e-6e0506065bd8,MA,country,legislatorLowerBody,United States,ocd-division/country:us,Massachusetts's 9th congressional district,ocd-division/country:us/state:ma/cd:9,U.S. Representative,U.S. House of Representatives,b0b58754-7f4c-430b-891e-df470154083a,U.S. Representative,District 9,1,1,Bill Keating,Democratic Party,Democratic Party,,,TRUE,,,,,,,,,,,,,,,,Bill_Keating_(politician),,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
