Election year,State,Stage ID,Stage,Race ID,Race type,Office ID,Office level,Office branch,Office name,District name,District type,District OCDID,Seats up for election,Race URL,Candidate ID,Person ID,Name,First name,Last name,Ballotpedia URL,Gender,Party affiliation,Incumbent?,Election date,Stage canceled?,Candidate status,Write-in?,Stage is ranked choice?,Ranked-choice voting round,Votes for,Votes against,Partisan primary?,Campaign email,Other email,Campaign website,Personal website,Campaign Facebook,Personal Facebook,Campaign Twitter,Personal Twitter,Campaign Instagram,Personal Instagram,Campaign YouTube,Personal YouTube,Campaign mailing address,Campaign phone,LinkedIn
2022,MS,121217,Primary,54617,Regular,999,Federal,Legislative,U.S. House Mississippi District 1,Mississippi District 1,Congress,ocd-division/country:us/state:ms/cd:1,1,"https://ballotpedia.org/Mississippi's_1st_Congressional_District_election,_2022",114369,56601,Trent Kelly,Trent,Kelly,https://ballotpedia.org/Trent_Kelly,Male,Republican Party,Yes,6/7/22,,Advanced,FALSE,FALSE,,22414,,TRUE,info@kellyformississippi.com,,https://kellyformississippi.com/,,https://www.facebook.com/TrentKellyforCongress,,KellyforMS01,,,,,,"P.O. Box 7092, Tupelo, MS 38802",,https://www.linkedin.com/in/trent-kelly-8ba94b4a/
2022,MS,121217,Primary,54617,Regular,999,Federal,Legislative,U.S. House Mississippi District 1,Mississippi District 1,Congress,ocd-division/country:us/state:ms/cd:1,1,"https://ballotpedia.org/Mississippi's_1st_Congressional_District_election,_2022",122260,306079,Mark Strauss,Mark,Strauss,https://ballotpedia.org/Mark_Strauss,Male,Republican Party,No,6/7/22,,Lost,FALSE,FALSE,,2596,,TRUE,,,,https://www.straussforhouse.com/,,https://www.facebook.com/mark.strauss.3591,,,,,,https://www.youtube.com/channel/UCciVRphfPzeE_i3TxP7AfiQ,,,
2022,MS,121221,Primary,54617,Regular,999,Federal,Legislative,U.S. House Mississippi District 1,Mississippi District 1,Congress,ocd-division/country:us/state:ms/cd:1,1,"https://ballotpedia.org/Mississippi's_1st_Congressional_District_election,_2022",114367,312344,Dianne Black,Dianne,Black,https://ballotpedia.org/Dianne_Black,Female,Democratic Party,No,6/7/22,,Advanced,FALSE,FALSE,,6756,,TRUE,,,,,https://www.facebook.com/profile.php?id=100079140623639,,Dianne4Congress,,https://www.instagram.com/DianneBlackforCongress,,,,,,
2022,MS,121221,Primary,54617,Regular,999,Federal,Legislative,U.S. House Mississippi District 1,Mississippi District 1,Congress,ocd-division/country:us/state:ms/cd:1,1,"https://ballotpedia.org/Mississippi's_1st_Congressional_District_election,_2022",99005,337907,Hunter Avery,Hunter,Avery,https://ballotpedia.org/Hunter_Avery,Male,Democratic Party,No,6/7/22,,Lost,FALSE,FALSE,,1712,,TRUE,hunteravery94@gmail.com,,https://hunteravery94.wixsite.com/avoiceforyou2022,,https://www.facebook.com/HunterAvery2022,https://www.facebook.com/hunter.avery.3152,,HunterKyleAver1,https://www.instagram.com/avoiceforyou2022/,,,,"P.O. Box 1477, Belmont, MS 38827",662-740-8270,
2022,MS,89869,General,54617,Regular,999,Federal,Legislative,U.S. House Mississippi District 1,Mississippi District 1,Congress,ocd-division/country:us/state:ms/cd:1,1,"https://ballotpedia.org/Mississippi's_1st_Congressional_District_election,_2022",114369,56601,Trent Kelly,Trent,Kelly,https://ballotpedia.org/Trent_Kelly,Male,Republican Party,Yes,11/8/22,,On the Ballot,FALSE,FALSE,,,,,info@kellyformississippi.com,,https://kellyformississippi.com/,,https://www.facebook.com/TrentKellyforCongress,,KellyforMS01,,,,,,"P.O. Box 7092, Tupelo, MS 38802",,https://www.linkedin.com/in/trent-kelly-8ba94b4a/
2022,MS,89869,General,54617,Regular,999,Federal,Legislative,U.S. House Mississippi District 1,Mississippi District 1,Congress,ocd-division/country:us/state:ms/cd:1,1,"https://ballotpedia.org/Mississippi's_1st_Congressional_District_election,_2022",114367,312344,Dianne Black,Dianne,Black,https://ballotpedia.org/Dianne_Black,Female,Democratic Party,No,11/8/22,,On the Ballot,FALSE,FALSE,,,,,,,,,https://www.facebook.com/profile.php?id=100079140623639,,Dianne4Congress,,https://www.instagram.com/DianneBlackforCongress,,,,,,
2022,MS,89869,General,54617,Regular,999,Federal,Legislative,U.S. House Mississippi District 1,Mississippi District 1,Congress,ocd-division/country:us/state:ms/cd:1,1,"https://ballotpedia.org/Mississippi's_1st_Congressional_District_election,_2022",98142,337264,James McCay,James,McCay,https://ballotpedia.org/James_McCay,Male,Independent,No,11/8/22,,Withdrew,FALSE,FALSE,,,,,,,,,,https://www.facebook.com/jim.mccay.9,,,,,,,"326 Highway 2 NE, Corinth, MS 38834",,
2022,MS,121222,Primary,54618,Regular,11351,Federal,Legislative,U.S. House Mississippi District 2,Mississippi District 2,Congress,ocd-division/country:us/state:ms/cd:2,1,"https://ballotpedia.org/Mississippi's_2nd_Congressional_District_election,_2022",114372,3805,Bennie Thompson,Bennie,Thompson,https://ballotpedia.org/Bennie_Thompson,Male,Democratic Party,Yes,6/7/22,,Advanced,FALSE,FALSE,,38662,,TRUE,,,,,,https://www.facebook.com/bennieforms,,,,,,,,,
2022,MS,121218,Primary,54618,Regular,11351,Federal,Legislative,U.S. House Mississippi District 2,Mississippi District 2,Congress,ocd-division/country:us/state:ms/cd:2,1,"https://ballotpedia.org/Mississippi's_2nd_Congressional_District_election,_2022",114366,321976,Brian Flowers,Brian,Flowers,https://ballotpedia.org/Brian_Flowers,Male,Republican Party,No,6/7/22,,Advanced,FALSE,FALSE,,6006,,TRUE,brian@flowersforcongress.com,,https://flowersforcongress.com,,https://www.facebook.com/BrianFlowersforMississippi2nd,https://www.facebook.com/brian.flowers.5074,,,,,,,,601-506-4885,https://www.linkedin.com/in/brian-flowers-01090055/
2022,MS,121218,Primary,54618,Regular,11351,Federal,Legislative,U.S. House Mississippi District 2,Mississippi District 2,Congress,ocd-division/country:us/state:ms/cd:2,1,"https://ballotpedia.org/Mississippi's_2nd_Congressional_District_election,_2022",98164,337289,Jeffrey Keuneke,Jeffrey,Keuneke,https://ballotpedia.org/Jeffrey_Keuneke,Male,Republican Party,No,6/7/22,,Withdrew,FALSE,FALSE,,,,TRUE,,,,,,,,JeffKeuneke,,,,,"111 Suzanne Cove, Clinton, MS 39056",,
2022,MS,121222,Primary,54618,Regular,11351,Federal,Legislative,U.S. House Mississippi District 2,Mississippi District 2,Congress,ocd-division/country:us/state:ms/cd:2,1,"https://ballotpedia.org/Mississippi's_2nd_Congressional_District_election,_2022",104516,342158,Jerry Kerner,Jerry,Kerner,https://ballotpedia.org/Jerry_Kerner,Male,Democratic Party,No,6/7/22,,Lost,FALSE,FALSE,,1516,,TRUE,,,https://kerner4congress.com/,,,,,,,,,,"201 West Main Street, Clinton,  MS  39056",,
2022,MS,121218,Primary,54618,Regular,11351,Federal,Legislative,U.S. House Mississippi District 2,Mississippi District 2,Congress,ocd-division/country:us/state:ms/cd:2,1,"https://ballotpedia.org/Mississippi's_2nd_Congressional_District_election,_2022",114364,349211,Michael Carson,Michael,Carson,https://ballotpedia.org/Michael_Carson_(Mississippi),Male,Republican Party,No,6/7/22,,Lost,FALSE,FALSE,,2916,,TRUE,,,https://www.votemichaelcarson.com,,,,,,,,,,"1651 Kimbell Rd, Terry, MS 39170",,
2022,MS,121218,Primary,54618,Regular,11351,Federal,Legislative,U.S. House Mississippi District 2,Mississippi District 2,Congress,ocd-division/country:us/state:ms/cd:2,1,"https://ballotpedia.org/Mississippi's_2nd_Congressional_District_election,_2022",114363,349212,Ronald Eller,Ronald,Eller,https://ballotpedia.org/Ronald_Eller,Male,Republican Party,No,6/7/22,,Advanced,FALSE,FALSE,,4547,,TRUE,Info@VoteRonEller.com,,https://www.VoteRonEller.com,,https://www.facebook.com/VoteRonEller,,VoteRon,,https://www.instagram.com/VoteRonEller,,,,"3 Mallard Crossing, Raymond, MS 39154",888-355-3722,
2022,MS,121218,Primary,54618,Regular,11351,Federal,Legislative,U.S. House Mississippi District 2,Mississippi District 2,Congress,ocd-division/country:us/state:ms/cd:2,1,"https://ballotpedia.org/Mississippi's_2nd_Congressional_District_election,_2022",114362,349213,Stanford Johnson,Stanford,Johnson,https://ballotpedia.org/Stanford_Johnson,,Republican Party,No,6/7/22,,Lost,FALSE,FALSE,,482,,TRUE,,,,,,,,,,,,,,,
2022,MS,141933,Primary Runoff,54618,Regular,11351,Federal,Legislative,U.S. House Mississippi District 2,Mississippi District 2,Congress,ocd-division/country:us/state:ms/cd:2,1,"https://ballotpedia.org/Mississippi's_2nd_Congressional_District_election,_2022",114366,321976,Brian Flowers,Brian,Flowers,https://ballotpedia.org/Brian_Flowers,Male,Republican Party,No,6/28/22,,Advanced,FALSE,FALSE,,5388,,TRUE,brian@flowersforcongress.com,,https://flowersforcongress.com,,https://www.facebook.com/BrianFlowersforMississippi2nd,https://www.facebook.com/brian.flowers.5074,,,,,,,,601-506-4885,https://www.linkedin.com/in/brian-flowers-01090055/
2022,MS,141933,Primary Runoff,54618,Regular,11351,Federal,Legislative,U.S. House Mississippi District 2,Mississippi District 2,Congress,ocd-division/country:us/state:ms/cd:2,1,"https://ballotpedia.org/Mississippi's_2nd_Congressional_District_election,_2022",114363,349212,Ronald Eller,Ronald,Eller,https://ballotpedia.org/Ronald_Eller,Male,Republican Party,No,6/28/22,,Lost,FALSE,FALSE,,3930,,TRUE,Info@VoteRonEller.com,,https://www.VoteRonEller.com,,https://www.facebook.com/VoteRonEller,,VoteRon,,https://www.instagram.com/VoteRonEller,,,,"3 Mallard Crossing, Raymond, MS 39154",888-355-3722,
2022,MS,89870,General,54618,Regular,11351,Federal,Legislative,U.S. House Mississippi District 2,Mississippi District 2,Congress,ocd-division/country:us/state:ms/cd:2,1,"https://ballotpedia.org/Mississippi's_2nd_Congressional_District_election,_2022",114372,3805,Bennie Thompson,Bennie,Thompson,https://ballotpedia.org/Bennie_Thompson,Male,Democratic Party,Yes,11/8/22,,On the Ballot,FALSE,FALSE,,,,,,,,,,https://www.facebook.com/bennieforms,,,,,,,,,
2022,MS,89870,General,54618,Regular,11351,Federal,Legislative,U.S. House Mississippi District 2,Mississippi District 2,Congress,ocd-division/country:us/state:ms/cd:2,1,"https://ballotpedia.org/Mississippi's_2nd_Congressional_District_election,_2022",114366,321976,Brian Flowers,Brian,Flowers,https://ballotpedia.org/Brian_Flowers,Male,Republican Party,No,11/8/22,,On the Ballot,FALSE,FALSE,,,,,brian@flowersforcongress.com,,https://flowersforcongress.com,,https://www.facebook.com/BrianFlowersforMississippi2nd,https://www.facebook.com/brian.flowers.5074,,,,,,,,601-506-4885,https://www.linkedin.com/in/brian-flowers-01090055/
2022,MS,121223,Primary,54619,Regular,6865,Federal,Legislative,U.S. House Mississippi District 3,Mississippi District 3,Congress,ocd-division/country:us/state:ms/cd:3,1,"https://ballotpedia.org/Mississippi's_3rd_Congressional_District_election,_2022",114371,45004,Rahim Talley,Rahim,Talley,https://ballotpedia.org/Rahim_Talley,,Democratic Party,No,6/7/22,,Withdrew,FALSE,FALSE,,,,TRUE,,,,,,,,,,,,,,,
2022,MS,121219,Primary,54619,Regular,6865,Federal,Legislative,U.S. House Mississippi District 3,Mississippi District 3,Congress,ocd-division/country:us/state:ms/cd:3,1,"https://ballotpedia.org/Mississippi's_3rd_Congressional_District_election,_2022",114368,293486,Michael Guest,Michael,Guest,https://ballotpedia.org/Michael_Guest,Male,Republican Party,Yes,6/7/22,,Advanced,FALSE,FALSE,,22592,,TRUE,campaign@michaelguest.ms,,https://michaelguest.ms/,,https://www.facebook.com/MichaelGuestMS,,GuestCongress,,,,,,"P.O. Box 470 Brandon, MS 39043",,
2022,MS,121223,Primary,54619,Regular,6865,Federal,Legislative,U.S. House Mississippi District 3,Mississippi District 3,Congress,ocd-division/country:us/state:ms/cd:3,1,"https://ballotpedia.org/Mississippi's_3rd_Congressional_District_election,_2022",101536,339977,Shuwaski Young,Shuwaski,Young,https://ballotpedia.org/Shuwaski_Young,Male,Democratic Party,No,6/7/22,,Advanced,FALSE,FALSE,,,,TRUE,info@shuwaskiyoung.com,,https://www.shuwaskiyoung.com/,,https://www.facebook.com/shuwaskiyoungMS,,shuwaskiyoung,,https://www.instagram.com/shuwaskiyoung/,,https://www.youtube.com/channel/UCgmyK5JU785cGZY_MQinjsQ,,"P.O. Box 151, Jackson, MS 39205",,https://www.linkedin.com/in/shuwaskiyoung/
2022,MS,121219,Primary,54619,Regular,6865,Federal,Legislative,U.S. House Mississippi District 3,Mississippi District 3,Congress,ocd-division/country:us/state:ms/cd:3,1,"https://ballotpedia.org/Mississippi's_3rd_Congressional_District_election,_2022",114361,349214,Michael Cassidy,Michael,Cassidy,https://ballotpedia.org/Michael_Cassidy_(Mississippi),Male,Republican Party,No,6/7/22,,Advanced,FALSE,FALSE,,22879,,TRUE,michael@votecassidy.com,,https://www.VoteCassidy.com,,https://www.facebook.com/MichaelCassidy4Congress,,VoteCassidy,,,,,,"P.O. Box 452, Lauderdale, MS  39335",,
2022,MS,121219,Primary,54619,Regular,6865,Federal,Legislative,U.S. House Mississippi District 3,Mississippi District 3,Congress,ocd-division/country:us/state:ms/cd:3,1,"https://ballotpedia.org/Mississippi's_3rd_Congressional_District_election,_2022",114360,349215,Thomas Griffin,Thomas,Griffin,https://ballotpedia.org/Thomas_Griffin_(Mississippi),Male,Republican Party,No,6/7/22,,Lost,FALSE,FALSE,,2722,,TRUE,,Brigriff@yahoo.com,https://thomasgriffin4congress.com/,,https://www.facebook.com/ThomasBGriffin4Congress/,https://www.facebook.com/profile.php?id=100034503576225,,,,,,,"941 Clubhouse Drive, Pearl, MS, 39208",,
2022,MS,141934,Primary Runoff,54619,Regular,6865,Federal,Legislative,U.S. House Mississippi District 3,Mississippi District 3,Congress,ocd-division/country:us/state:ms/cd:3,1,"https://ballotpedia.org/Mississippi's_3rd_Congressional_District_election,_2022",114368,293486,Michael Guest,Michael,Guest,https://ballotpedia.org/Michael_Guest,Male,Republican Party,Yes,6/28/22,,Advanced,FALSE,FALSE,,31954,,TRUE,campaign@michaelguest.ms,,https://michaelguest.ms/,,https://www.facebook.com/MichaelGuestMS,,GuestCongress,,,,,,"P.O. Box 470 Brandon, MS 39043",,
2022,MS,141934,Primary Runoff,54619,Regular,6865,Federal,Legislative,U.S. House Mississippi District 3,Mississippi District 3,Congress,ocd-division/country:us/state:ms/cd:3,1,"https://ballotpedia.org/Mississippi's_3rd_Congressional_District_election,_2022",114361,349214,Michael Cassidy,Michael,Cassidy,https://ballotpedia.org/Michael_Cassidy_(Mississippi),Male,Republican Party,No,6/28/22,,Lost,FALSE,FALSE,,16330,,TRUE,michael@votecassidy.com,,https://www.VoteCassidy.com,,https://www.facebook.com/MichaelCassidy4Congress,,VoteCassidy,,,,,,"P.O. Box 452, Lauderdale, MS  39335",,
2022,MS,89871,General,54619,Regular,6865,Federal,Legislative,U.S. House Mississippi District 3,Mississippi District 3,Congress,ocd-division/country:us/state:ms/cd:3,1,"https://ballotpedia.org/Mississippi's_3rd_Congressional_District_election,_2022",114368,293486,Michael Guest,Michael,Guest,https://ballotpedia.org/Michael_Guest,Male,Republican Party,Yes,11/8/22,,On the Ballot,FALSE,FALSE,,,,,campaign@michaelguest.ms,,https://michaelguest.ms/,,https://www.facebook.com/MichaelGuestMS,,GuestCongress,,,,,,"P.O. Box 470 Brandon, MS 39043",,
2022,MS,89871,General,54619,Regular,6865,Federal,Legislative,U.S. House Mississippi District 3,Mississippi District 3,Congress,ocd-division/country:us/state:ms/cd:3,1,"https://ballotpedia.org/Mississippi's_3rd_Congressional_District_election,_2022",101536,339977,Shuwaski Young,Shuwaski,Young,https://ballotpedia.org/Shuwaski_Young,Male,Democratic Party,No,11/8/22,,On the Ballot,FALSE,FALSE,,,,,info@shuwaskiyoung.com,,https://www.shuwaskiyoung.com/,,https://www.facebook.com/shuwaskiyoungMS,,shuwaskiyoung,,https://www.instagram.com/shuwaskiyoung/,,https://www.youtube.com/channel/UCgmyK5JU785cGZY_MQinjsQ,,"P.O. Box 151, Jackson, MS 39205",,https://www.linkedin.com/in/shuwaskiyoung/
2022,MS,121220,Primary,54620,Regular,11843,Federal,Legislative,U.S. House Mississippi District 4,Mississippi District 4,Congress,ocd-division/country:us/state:ms/cd:4,1,"https://ballotpedia.org/Mississippi's_4th_Congressional_District_election,_2022",104072,6250,Brice Wiggins,Brice,Wiggins,https://ballotpedia.org/Brice_Wiggins,Male,Republican Party,No,6/7/22,,Lost,FALSE,FALSE,,4786,,TRUE,info@bricewiggins.ms,brice@wigginslawpllc.com,https://bricewiggins.ms/,http://www.trwlawyers.com/attorneys/brice-wiggins/,https://www.facebook.com/bricewigginsforcongress,https://www.facebook.com/bricewiggins,bricewigginsMS,,,,,,"PO Box 1877, Pascagoula, MS 39568",601-385-3420,https://www.linkedin.com/in/brice-wiggins-08a73670/
2022,MS,121224,Primary,54620,Regular,11843,Federal,Legislative,U.S. House Mississippi District 4,Mississippi District 4,Congress,ocd-division/country:us/state:ms/cd:4,1,"https://ballotpedia.org/Mississippi's_4th_Congressional_District_election,_2022",103901,28946,Johnny DuPree,Johnny,DuPree,https://ballotpedia.org/Johnny_DuPree,Male,Democratic Party,No,6/7/22,,Advanced,FALSE,FALSE,,9334,,TRUE,jdinfo@johnnydupree.com,johnnydupree2011@gmail.com,http://www.johnnydupree.com/,,https://www.facebook.com/johnnyldupree,,,johnnyldupree,,,,,"P.O. Box 574, Hattiesburg, MS 39403",601-408-7555,https://www.linkedin.com/in/johnnyldupree/
2022,MS,121220,Primary,54620,Regular,11843,Federal,Legislative,U.S. House Mississippi District 4,Mississippi District 4,Congress,ocd-division/country:us/state:ms/cd:4,1,"https://ballotpedia.org/Mississippi's_4th_Congressional_District_election,_2022",114370,53058,Steven Palazzo,Steven,Palazzo,https://ballotpedia.org/Steven_Palazzo,Male,Republican Party,Yes,6/7/22,,Advanced,FALSE,FALSE,,16107,,TRUE,info@palazzoforcongress.com,,https://palazzoforcongress.com/,,https://www.facebook.com/palazzoforcongress/,https://www.facebook.com/steven.m.palazzo,StevenPalazzo,,,,,,"P.O. Box 6217, Gulfport, MS 39506",,https://www.linkedin.com/in/steven-palazzo-4a629b73/
2022,MS,121220,Primary,54620,Regular,11843,Federal,Legislative,U.S. House Mississippi District 4,Mississippi District 4,Congress,ocd-division/country:us/state:ms/cd:4,1,"https://ballotpedia.org/Mississippi's_4th_Congressional_District_election,_2022",103586,320056,Carl Boyanton,Carl,Boyanton,https://ballotpedia.org/Carl_Boyanton,Male,Republican Party,No,6/7/22,,Lost,FALSE,FALSE,,3184,,TRUE,info@carl4congress.com,,https://www.carl4congress.com/,,https://www.facebook.com/Carl4Congress,https://www.facebook.com/carl.boyanton,Carl4congressms,,,,,,,,https://www.linkedin.com/in/carl-boyanton-55040542/
2022,MS,131775,Primary,54620,Regular,11843,Federal,Legislative,U.S. House Mississippi District 4,Mississippi District 4,Congress,ocd-division/country:us/state:ms/cd:4,1,"https://ballotpedia.org/Mississippi's_4th_Congressional_District_election,_2022",98143,337258,Alden Johnson,Alden,Johnson,https://ballotpedia.org/Alden_Johnson,Male,Libertarian Party,No,6/7/22,Yes,Advanced,FALSE,FALSE,,,,TRUE,alden4liberty22@gmail.com,,https://aldenforcongress.com/,,https://www.facebook.com/alden4liberty/,,Alden4Congress,,https://www.instagram.com/alden4liberty/,,,,"123 Main Street, Petal, MS 39465",,
2022,MS,121220,Primary,54620,Regular,11843,Federal,Legislative,U.S. House Mississippi District 4,Mississippi District 4,Congress,ocd-division/country:us/state:ms/cd:4,1,"https://ballotpedia.org/Mississippi's_4th_Congressional_District_election,_2022",99189,338081,Mike Ezell,Mike,Ezell,https://ballotpedia.org/Mike_Ezell,Male,Republican Party,No,6/7/22,,Advanced,FALSE,FALSE,,12809,,TRUE,info@mikeezell.ms,,https://www.mikeezell.ms/,,https://www.facebook.com/MikeEzellMS,https://www.facebook.com/mike.ezell.754,MikeEzellMS,MikeEzell11,https://www.instagram.com/MikeEzellMS/,,,,"PO Box 1842, Gulfport, MS 39502",228-861-1779,https://www.linkedin.com/in/mike-ezell-33856880/
2022,MS,121220,Primary,54620,Regular,11843,Federal,Legislative,U.S. House Mississippi District 4,Mississippi District 4,Congress,ocd-division/country:us/state:ms/cd:4,1,"https://ballotpedia.org/Mississippi's_4th_Congressional_District_election,_2022",100119,338813,Raymond Brooks,Raymond,Brooks,https://ballotpedia.org/Raymond_Brooks,Male,Republican Party,No,6/7/22,,Lost,FALSE,FALSE,,2347,,TRUE,info@raymondbrooks4congress.com,,https://raymondbrooks4congress.com/,,https://www.facebook.com/RaymondBrooksforcongress,,RaymondNBrooks1,,https://www.instagram.com/raymondn.brooks,,,,"P.O. BOX 7241, Gulfport, MS 39506",,https://www.linkedin.com/in/raymond-brooks-39717835/
2022,MS,121220,Primary,54620,Regular,11843,Federal,Legislative,U.S. House Mississippi District 4,Mississippi District 4,Congress,ocd-division/country:us/state:ms/cd:4,1,"https://ballotpedia.org/Mississippi's_4th_Congressional_District_election,_2022",103298,341286,Clay Wagner,Clay,Wagner,https://ballotpedia.org/Clay_Wagner,Male,Republican Party,No,6/7/22,,Lost,FALSE,FALSE,,11262,,TRUE,Campaign@claywagner.ms,,https://claywagner.ms/,,https://www.facebook.com/ClayWagnerforCongress/,,CongressClay,,,,,,"P.O. Box 70, Kiln, MS 39556",,
