id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/184a7a1f-940c-4b69-aee6-68f4eec9c84a,Abe Hudson,Democratic,29,lower,Abe,Hudson,,ahudson@house.ms.gov,,,,http://billstatus.ls.state.ms.us/members/house/hudson.jpg,http://billstatus.ls.state.ms.us/members/house/hudson.xml,http://billstatus.ls.state.ms.us/members/house/hudson.xml,,,,"207 Dr. RT Hollingsworth;Shelby, MS 38774",,,,,,,
ocd-person/c012fed5-c753-4a01-9c3c-9924d178c24d,Albert Butler,Democratic,36,upper,Albert,Butler,,abutler@senate.ms.gov,,,,http://billstatus.ls.state.ms.us/members/senate/butler_(36th).jpg,http://billstatus.ls.state.ms.us/members/senate/butler.xml;http://billstatus.ls.state.ms.us/members/senate/butler_(36th).xml,http://billstatus.ls.state.ms.us/members/senate/butler.xml;http://billstatus.ls.state.ms.us/members/ss_membs.xml;http://billstatus.ls.state.ms.us/members/senate/butler_(36th).xml,,,,"P. O. Box 614;Port Gibson, MS 39150",601-437-4089,,,,,,
ocd-person/c5b5d0c1-fde4-45bf-90d0-daf1bf1820fb,Alyce G. Clarke,Democratic,69,lower,Alyce G.,Clarke,,aclarke@house.ms.gov,,,,http://billstatus.ls.state.ms.us/members/house/clarke.jpg,http://billstatus.ls.state.ms.us/members/house/clarke.xml,http://billstatus.ls.state.ms.us/members/house/clarke.xml,,,,"1053 Arbor Vista Boulevard;Jackson, MS 39209",601-354-5453,,,,,,
ocd-person/4004cf9a-6d23-4323-b158-00f22078d2b4,Angela Burks Hill,Republican,40,upper,Angela Burks,Hill,,ahill@senate.ms.gov,,,,http://billstatus.ls.state.ms.us/members/senate/hill.jpg,http://billstatus.ls.state.ms.us/members/senate/hill.xml;http://billstatus.ls.state.ms.us/members/senate/hill.xml,http://billstatus.ls.state.ms.us/members/senate/hill.xml;http://billstatus.ls.state.ms.us/members/ss_membs.xml,,,,"54 Watts Rd;Picayune, MS 39466",,,,,,,
ocd-person/83f9f72e-ec2d-4351-a227-d8a6aec18eed,Angela Cockerham,Independent,96,lower,Angela,Cockerham,,acockerham@house.ms.gov,,,,http://billstatus.ls.state.ms.us/members/house/cockerham.jpg,http://billstatus.ls.state.ms.us/members/house/cockerham.xml,http://billstatus.ls.state.ms.us/members/house/cockerham.xml,,,,"Post Office Box 613;Magnolia, MS 39652",601-783-4979,,,,,,
ocd-person/74d0c9b2-58a2-41a7-b2a0-582924a45adf,Angela Turner-Ford,Democratic,16,upper,Angela,Turner-Ford,,aturner@senate.ms.gov,,,,http://billstatus.ls.state.ms.us/members/senate/turner-ford.jpg,http://billstatus.ls.state.ms.us/members/senate/turner-ford.xml;http://billstatus.ls.state.ms.us/members/senate/turner-ford.xml,http://billstatus.ls.state.ms.us/members/senate/turner-ford.xml;http://billstatus.ls.state.ms.us/members/ss_membs.xml,,,,"P. O. Drawer 1500;West Point, MS 39773",,,,,,,
ocd-person/3b2b3cb2-3ef8-400d-b395-6b0895ea7631,Barbara Blackmon,Democratic,21,upper,Barbara,Blackmon,,bblackmon@senate.ms.gov,,,,http://billstatus.ls.state.ms.us/members/senate/blackmon.jpg,http://billstatus.ls.state.ms.us/members/senate/blackmon.xml;http://billstatus.ls.state.ms.us/members/senate/blackmon.xml,http://billstatus.ls.state.ms.us/members/senate/blackmon.xml;http://billstatus.ls.state.ms.us/members/ss_membs.xml,,,,,,,,,,,
ocd-person/5f65f3a3-db2a-4573-a5c8-59b6cc0dbf40,Bart Williams,Republican,15,upper,Bart,Williams,,bwilliams@senate.ms.gov,,,,http://billstatus.ls.state.ms.us/members/senate/williams.jpg,http://billstatus.ls.state.ms.us/members/senate/williams.xml;http://billstatus.ls.state.ms.us/members/senate/williams.xml,http://billstatus.ls.state.ms.us/members/senate/williams.xml;http://billstatus.ls.state.ms.us/members/ss_membs.xml,,,,"508 New Hope Church Rd Starkville, Mississippi 39759",,,,,,,
ocd-person/4b865b47-4811-4437-be08-0f3bf10d461c,Becky Currie,Republican,92,lower,Becky,Currie,,bcurrie@house.ms.gov,,,,http://billstatus.ls.state.ms.us/members/house/currie.jpg,http://billstatus.ls.state.ms.us/members/house/currie.xml,http://billstatus.ls.state.ms.us/members/house/currie.xml,,,,"407 Oliver Dr;Brookhaven, MS 39601",601-833-5953,,,,,,
ocd-person/ba13036f-790b-4745-b008-eeb74f1c86a1,Benjamin Suber,Republican,8,upper,Benjamin,Suber,,BSuber@senate.ms.gov,,,,http://billstatus.ls.state.ms.us/members/senate/suber.jpg,http://billstatus.ls.state.ms.us/members/senate/suber.xml;http://billstatus.ls.state.ms.us/members/senate/suber.xml,http://billstatus.ls.state.ms.us/members/senate/suber.xml;http://billstatus.ls.state.ms.us/members/ss_membs.xml,,,,"P. O. Box 8 Bruce, Mississippi 38915",,,,,,,
