name,name_first,name_middle,name_last,nickname,name_prefix,name_suffix,image,party,office,title,state,status,district,ethnicity,race,gender,date_of_birth,date_of_death,education,occupation,bio,email_official,email_other,email_campaign,website_official,website_personal,website_campaign,twitter_official,twitter_personal,twitter_campaign,youtube_official,youtube_personal,youtube_campaign,instagram_official,instagram_personal,instagram_campaign,facebook_official,facebook_personal,facebook_campaign,linkedin,rumble,gab,rss,address_campaign,address_capitol,address_district,phone_campaign,phone_capitol,phone_district,fax_capitol,fax_district,contact_form_url,date_assumed_office,appointed_by,appointed_date,confirmed_date,term_end_date,congress_year,thomas ID,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,google_entity_id,Ballotpedia URL,propublica URL,ballotpedia Office ID,govpackpub_id,govpack_id,fec_id,usio_id,opensecrets_id,district_ocd_id,openstates_id,committee_id
Mike Flood,Mike,,Flood,,,,https://ewscripps.brightspotcdn.com/dims4/default/02db1da/2147483647/strip/true/crop/1500x844+0+0/resize/1280x720!/quality/90/?url=http%3A%2F%2Fewscripps-brightspot.s3.amazonaws.com%2F31%2F04%2F5d9f4cac4464a7af93e93b55fff2%2Fmike-flood.JPG,Republican Party,U.S. House Nebraska District 1,U.S. Representative,NE,Incumbent,Nebraska Congressional District 1,,,Male,1975-02-23,,,,,,,info@mikefloodfornebraska.com,,,https://mikefloodfornebraska.com/,,,https://www.twitter.com/flood4nebraska,,,,,,,,https://www.facebook.com/mike.flood.5074,https://www.facebook.com/FloodforCongress/,,,,,P.O. Box 81041 Lincoln NE 68501,,,(402) 235-8092,,,,,,,,,,,,,,,456868,,40584,,,https://en.wikipedia.org/wiki/Mike_Flood_(politician),,https://ballotpedia.org/Mike_Flood,https://api.propublica.org/congress/v1/members/F000474.json,12674,,,,,,ocd-division/country:us/state:ne/cd:1,,
Patty Pansing Brooks,Patty,Pansing,Brooks,,,,https://pattyforcongress.com/wp-content/uploads/2021/11/PPB-Landing-1024x683.jpg,Democratic Party,U.S. House Nebraska District 1,U.S. Representative,NE,Challenger,Nebraska Congressional District 1,,,Female,,,,,,ppansingbrooks@leg.ne.gov,,patty@pattyforcongress.com,,,https://pattyforcongress.com/,,,https://www.twitter.com/Patty4Nebraska,,,https://www.youtube.com/channel/UC3sTpKhnNyIsuoHWsDEY6ww,,,https://www.instagram.com/pattypansingbrooks/,,https://www.facebook.com/pattypansingbrooks,https://www.facebook.com/Patty4Nebraska,,,,,P.O. Box 82447 Lincoln NE 68501,,,(402) 613-9419,,,,,,,,,,,,,,,,,43412,,,https://en.wikipedia.org/wiki/Patty_Pansing_Brooks,,https://ballotpedia.org/Patty_Pansing_Brooks,,12674,,,,,,ocd-division/country:us/state:ne/cd:1,ocd-person/b66d58c3-9efe-43f5-a3d8-42a8d2058dc3,
Don Bacon,Don,,Bacon,,,,https://upload.wikimedia.org/wikipedia/commons/8/88/Don_Bacon_117th_Congress.jpg,Republican Party,U.S. House Nebraska District 2,U.S. Representative,NE,Incumbent,Nebraska Congressional District 2,,,Male,1963-08-16,,,,,,,Info@donjbacon.com,https://bacon.house.gov,,https://donjbacon.com/,https://www.twitter.com/repdonbacon,https://www.twitter.com/DonJBacon,,https://www.youtube.com/c/RepDonBacon,,,https://www.instagram.com/repdonbacon/,,https://www.instagram.com/donjbacon/,https://www.facebook.com/RepDonBacon,https://www.facebook.com/don.bacon.39,https://www.facebook.com/DonJBacon,,,,,"PO Box 391368 Omaha, NE 68139",1024 Longworth House Office Building,,(402) 506-5646,202-225-4155,,,,,,,,,,,,,103442,412713,166299,14814,,21701,https://en.wikipedia.org/wiki/Don_Bacon,/m/01311t71,https://ballotpedia.org/Don_Bacon,https://api.propublica.org/congress/v1/members/B001298.json,1276,,,H6NE02125,,,ocd-division/country:us/state:ne/cd:2,,
Tony Vargas,Tony,,Vargas,,,,https://npr.brightspotcdn.com/dims4/default/d787676/2147483647/strip/true/crop/720x574+0+0/resize/880x702!/quality/90/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Flegacy%2Fsites%2Fkios%2Ffiles%2F202111%2Ftony_vargas.png,Democratic Party,U.S. House Nebraska District 2,U.S. Representative,NE,Challenger,Nebraska Congressional District 2,,,Male,,,,,,tvargas@leg.ne.gov,,info@vargasfornebraska.com,,,https://www.vargasfornebraska.com/,https://www.twitter.com/TonyVargas,,,,,,https://www.instagram.com/tonyvargasne/,,https://www.instagram.com/tonyvargasne/,https://www.facebook.com/TonyVargasNE,https://www.facebook.com/thetonyvargas,https://www.facebook.com/vargasfornebraska/,,,,,P.O. Box 746 Boys Town NE 68010,,,(402) 819-8669,,,,,,,,,,,,,,,,,56389,,,https://en.wikipedia.org/wiki/Tony_Vargas,,https://ballotpedia.org/Tony_Vargas,,1276,,,,,,ocd-division/country:us/state:ne/cd:2,ocd-person/f004a111-7ea8-4a83-8f45-3e350e699a39,
Adrian Smith,Adrian,,Smith,,,,https://www.congress.gov/img/member/s001172_200.jpg,Republican Party,U.S. House Nebraska District 3,U.S. Representative,NE,Incumbent,Nebraska Congressional District 3,,,Male,1970-12-19,,,,,,,committee@joinadrian.com,https://adriansmith.house.gov,,http://www.joinadrian.com/,https://www.twitter.com/RepAdrianSmith,,,https://www.youtube.com/c/RepAdrianSmith,,,https://www.instagram.com/repadriansmith/,,,https://www.facebook.com/RepAdrianSmith/,,https://www.facebook.com/AdrianSmithNE/,,,,https://adriansmith.house.gov/rss.xml,"1126 Avenue A #6 Scottsbluff, NE 69361",502 Cannon House Office Building,,(308) 220-3211,202-225-6435,,,,,,,,,,,,,1022845,412217,21284,413,,20729,https://en.wikipedia.org/wiki/Adrian_Smith_(politician),/m/0c505n,https://ballotpedia.org/Adrian_Smith_(Nebraska),https://api.propublica.org/congress/v1/members/S001172.json,9256,,,H6NE03115,,,ocd-division/country:us/state:ne/cd:3,,
Mark Elworth Jr.,Mark,,Elworth,,,Jr.,https://bloximages.newyork1.vip.townnews.com/omaha.com/content/tncms/assets/v3/editorial/4/be/4bee59e6-9117-5a8c-a384-d8021a1c7753/5eed2655049f6.image.jpg?resize=1200%2C1601,Legal Marijuana Now Party,U.S. House Nebraska District 3,U.S. Representative,NE,Challenger,Nebraska Congressional District 3,,,Male,,,,,,,,markelworthjr@aol.com,,,,,https://www.twitter.com/markelworthjr,,,,,,,,,https://www.facebook.com/markelworthjr,https://www.facebook.com/markjr4gov,,,,,,,,(402) 812-1600,,,,,,,,,,,,,,,,,296612,,,,,https://ballotpedia.org/Mark_Elworth,,9256,,,,,,ocd-division/country:us/state:ne/cd:3,,
David Else,David,J.,Else,,,,,Democratic Party,U.S. House Nebraska District 3,U.S. Representative,NE,Challenger,Nebraska Congressional District 3,,,Male,,,,,,,,elseforcongress@gmail.com,,,,,,,,,,,,,,https://www.facebook.com/david.else.1,https://www.facebook.com/DaveElseforCongress/,,,,,,,,(308) 320-0954,,,,,,,,,,,,,,,,,324070,,,,,https://ballotpedia.org/David_Else_(Nebraska),,9256,,,,,,ocd-division/country:us/state:ne/cd:3,,
Mike Hilgers,Mike,,Hilgers,,,,http://www.nebraskalegislature.gov/media/images/blogs/dist21.jpg,Republican Party,Attorney General of Nebraska,Nebraska Attorney General,NE,Challenger,Nebraska Statewide,,,Male,,,,,,mhilgers@leg.ne.gov,,,,,https://www.mikehilgers.com/,,https://www.twitter.com/mikehilgers,https://www.twitter.com/mikehilgers,,,https://www.youtube.com/channel/UCndamOkFEcc92rPTQD5NxtA,,,,,https://www.facebook.com/hilgersmike,https://www.facebook.com/mikehilgers,,,,,,,,(402) 916-0892,,,,,,,,,,,,,,,,,40655,,,https://en.wikipedia.org/wiki/Mike_Hilgers,,https://ballotpedia.org/Mike_Hilgers,,20156,,,,,,ocd-division/country:us/state:ne,ocd-person/3eafc2ab-5448-40ac-9d5f-b317abdbc747,
Larry Bolinger,Larry,,Bolinger,,,,,Legal Marijuana Now Party,Attorney General of Nebraska,Nebraska Attorney General,NE,Challenger,Nebraska Statewide,,,Male,,,,,,,,lb@larrybolinger.com,,,http://larrybolinger.com/index.html,,https://www.twitter.com/bolinger_larry,https://www.twitter.com/bolinger_larry,,,,,,,,https://www.facebook.com/profile.php?id=100004856177770,,,,,,,,,,,,,,,,,,,,,,,,,,296353,,,,,https://ballotpedia.org/Larry_Bolinger,,20156,,,,,,ocd-division/country:us/state:ne,,
Carol Blood,Carol,,Blood,,,,https://pbs.twimg.com/profile_images/660141284812689408/fJpEsBIi_400x400.jpg,Democratic Party,Governor of Nebraska,Nebraska Governor,NE,Challenger,Nebraska Statewide,,,Female,,,,,,cblood@leg.ne.gov,,carol@votecarolblood.com,,,https://www.electcarolblood.com/,https://www.twitter.com/senatorblood,,https://www.twitter.com/Blood4G,,,https://www.youtube.com/channel/UCOzMH5UZA8oroKpTM0TFngw,https://www.instagram.com/senatorblood/,,https://www.instagram.com/blood4governor/,https://www.facebook.com/senatorcarolblood,https://www.facebook.com/carol.blood,https://www.facebook.com/Blood4Governor,,,,,,,,(402) 517-1446,,,,,,,,,,,,,,,,,7232,,,https://en.wikipedia.org/wiki/Carol_Blood,,https://ballotpedia.org/Carol_Blood,,8244,,,,,,ocd-division/country:us/state:ne,ocd-person/adde7784-4e40-4bd5-892d-f45189ad8962,
