Pre-Filing ID,Candidate UUID,State,Level,Role,Jurisdiction,Jurisdiction OCDID,Electoral District,Electoral District OCDID,Office Category,Body Name,Office UUID,Office Name,Seat,Number Voting,Number Elected,Candidate Name,Candidate Party Registration,Candidate Party Roll Up,State Party FBID,State Party IG,Incumbent,Phone,Mailing Address,Website (Campaign),Website (Personal),Email,Photo URL,Facebook URL (Campaign),Facebook URL (Gov),Facebook URL (Personal),Twitter Name (Campaign),Twitter Name (Gov),Twitter Name (Personal),Instagram URL (Campaign),Instagram URL (Gov),Instagram URL (Personal),Wiki Word,Youtube (Campaign),Youtube (Gov),Youtube (Personal),County,Source,Source Type,Candidate Status,Inactive Date
,3aecbf97-c38c-5f5f-aca4-544c535189a5,NH,country,legislatorLowerBody,United States,ocd-division/country:us,New Hampshire's 1st congressional district,ocd-division/country:us/state:nh/cd:1,U.S. Representative,U.S. House of Representatives,40059fe8-0fcd-43e7-b68a-2dd6dcac778d,U.S. Representative,District 1,1,1,Gilead R. Towne,Republican Party,Republican Party,https://www.facebook.com/nhrepublicanparty,,,,,,,,,,,,,,,,,,,,,,,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/republican-cumulative-6.16.22.pdf,Ballot Filing,Qualified,9/13/22
,f42a78cd-cc36-5de7-bd96-19f8a2a19fef,NH,administrativeArea1,headOfGovernment,New Hampshire,ocd-division/country:us/state:nh,New Hampshire,ocd-division/country:us/state:nh,Governor,,237caad4-4b8e-4123-8a2b-36e2725812c6,Governor of New Hampshire,,1,1,Tom Sherman,Democratic Party,Democratic Party,https://www.facebook.com/NHDems/,https://www.instagram.com/nhdemocraticparty/,,,"PO Box 1178, Manchester, NH 03105",https://drtomsherman.com/,,info@drtomsherman.com,https://i0.wp.com/drtomsherman.com/wp-content/uploads/2022/03/cropped-Sherman-34.jpg?resize=1200%2C1200&ssl=1,https://www.facebook.com/TomShermanNH,,https://www.facebook.com/tom.sherman.520,TomShermanNH,,,https://www.instagram.com/tomshermannh,,,Tom_Sherman_(politician),,,,,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/democratic-cumulative-6.16.22.pdf,Ballot Filing,Qualified,9/13/22
,e56b737b-3e93-5931-a440-ba2e6eff2ec3,NH,administrativeArea1,headOfGovernment,New Hampshire,ocd-division/country:us/state:nh,New Hampshire,ocd-division/country:us/state:nh,Governor,,237caad4-4b8e-4123-8a2b-36e2725812c6,Governor of New Hampshire,,1,1,Thaddeus P. Riley,Republican Party,Republican Party,https://www.facebook.com/nhrepublicanparty,,,(603) 397-9211,,https://www.thadforgovernor.com/,,,https://images.squarespace-cdn.com/content/v1/6179c062bd89285bd6f5ab6e/85fd448e-d85b-4391-ac4b-1c2ae4c91252/Online_Thad_064.jpg?format=750w,https://www.facebook.com/thadforgovernor,,,thadforgovernor,,,https://www.instagram.com/thad_riley/,,,,,,,,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/republican-cumulative-6.16.22.pdf,Ballot Filing,Qualified,9/13/22
,818055de-7f5a-5004-a538-b19f5718535c,NH,administrativeArea1,headOfGovernment,New Hampshire,ocd-division/country:us/state:nh,New Hampshire,ocd-division/country:us/state:nh,Governor,,237caad4-4b8e-4123-8a2b-36e2725812c6,Governor of New Hampshire,,1,1,Richard A. McMenamon II,Republican Party,Republican Party,https://www.facebook.com/nhrepublicanparty,,,,,,,,,,,,,,,,,,,,,,,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/republican-cumulative-6.16.22.pdf,Ballot Filing,Qualified,9/13/22
,628aa4bd-06a9-5f61-a8d5-39d196acbb2c,NH,administrativeArea1,headOfGovernment,New Hampshire,ocd-division/country:us/state:nh,New Hampshire,ocd-division/country:us/state:nh,Governor,,237caad4-4b8e-4123-8a2b-36e2725812c6,Governor of New Hampshire,,1,1,Karen Testerman,Republican Party,Republican Party,https://www.facebook.com/nhrepublicanparty,,,,"P.O. Box 36 Franklin, NH 03235",https://karentesterman.com/,,true@karentesterman.com,https://karentesterman.com/wp-content/uploads/2020/06/karenheadshot-e1594398774804.png,https://www.facebook.com/TestermanForGovernor,,https://www.facebook.com/profile.php?id=100021153046218,KarenTesterman,,,,,,,https://www.youtube.com/channel/UCFtLtOAT70aFsC8auj0OubA,,,,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/republican-cumulative-6.16.22.pdf,Ballot Filing,Qualified,9/13/22
,6d1ac80c-35ce-5b89-9e60-b46452b6a453,NH,administrativeArea1,headOfGovernment,New Hampshire,ocd-division/country:us/state:nh,New Hampshire,ocd-division/country:us/state:nh,Governor,,237caad4-4b8e-4123-8a2b-36e2725812c6,Governor of New Hampshire,,1,1,Julian M. Acciard,Republican Party,Republican Party,https://www.facebook.com/nhrepublicanparty,,,(619) 398-5197,"128 N Shore Rd, Derry, NH 03038",https://julian4nh.com/,,Julian@julian4nh.com,,https://www.facebook.com/JulianAcciard4NH,,https://www.facebook.com/julian.acciard,acciard2022,,JulianAcciard,https://www.instagram.com/julianacciard4nh/,,https://www.instagram.com/bluecollarintellectual/,,https://www.youtube.com/channel/UCM7R8Lfkd83t4GAx9HEWyRQ,,,,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/republican-cumulative-6.16.22.pdf,Ballot Filing,Qualified,9/13/22
,8a9dd602-819b-58ab-81dc-1508ce8f0d16,NH,administrativeArea1,headOfGovernment,New Hampshire,ocd-division/country:us/state:nh,New Hampshire,ocd-division/country:us/state:nh,Governor,,237caad4-4b8e-4123-8a2b-36e2725812c6,Governor of New Hampshire,,1,1,Jay Lewis,Republican Party,Republican Party,https://www.facebook.com/nhrepublicanparty,,,,"P.O. Box 17 New Hampton, NH 03256",,,,,,,,,,,,,,,,,,,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/republican-cumulative-6.16.22.pdf,Ballot Filing,Qualified,9/13/22
,0f974515-3ccf-5e34-85bf-cc3d66e01939,NH,administrativeArea1,headOfGovernment,New Hampshire,ocd-division/country:us/state:nh,New Hampshire,ocd-division/country:us/state:nh,Governor,,237caad4-4b8e-4123-8a2b-36e2725812c6,Governor of New Hampshire,,1,1,Chris Sununu,Republican Party,Republican Party,https://www.facebook.com/nhrepublicanparty,,TRUE,,"PO Box 957, Exeter, NH 03833",https://www.chrissununu.com/,,,https://www.governor.nh.gov/sites/g/files/ehbemt336/files/styles/site_introduction_image/public/2019-09/welcome.jpg?itok=fa-WpOgG,https://www.facebook.com/ChrisSununuForGovernor,https://www.facebook.com/GovernorChrisSununu/,https://www.facebook.com/chris.sununu,ChrisSununu,GovChrisSununu,,,https://www.instagram.com/chrissununu/,,Chris_Sununu,https://www.youtube.com/channel/UCIY5dfFtf3ocyJ0h9bdqsTw,,https://www.youtube.com/channel/UC5miBoplJbVV0Zt7NXNYWhQ,,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/republican-cumulative-6.16.22.pdf,Ballot Filing,Qualified,9/13/22
,8f85913a-720c-5c31-9012-a324671a7064,NH,country,legislatorUpperBody,United States,ocd-division/country:us,New Hampshire,ocd-division/country:us/state:nh,U.S. Senator,U.S. Senate,d65332fb-f06b-44d8-9cae-54b914adb7e6,U.S. Senator,,1,1,Paul J. Krautmann,Democratic Party,Democratic Party,https://www.facebook.com/NHDems/,https://www.instagram.com/nhdemocraticparty/,,,,,,,,,,,,,,,,,,,,,,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/democratic-cumulative-6.16.22.pdf,Ballot Filing,Qualified,9/13/22
,1cb94f4f-272a-5711-ac76-3111605b1eae,NH,country,legislatorUpperBody,United States,ocd-division/country:us,New Hampshire,ocd-division/country:us/state:nh,U.S. Senator,U.S. Senate,d65332fb-f06b-44d8-9cae-54b914adb7e6,U.S. Senator,,1,1,Maggie Hassan,Democratic Party,Democratic Party,https://www.facebook.com/NHDems/,https://www.instagram.com/nhdemocraticparty/,TRUE,,,,,,https://www.hassan.senate.gov/imo/media/image/portrait.jpg,,,,,,,,,,Maggie_Hassan,,,,,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/democratic-cumulative-6.16.22.pdf,Ballot Filing,Qualified,9/13/22
,b21e1572-ebcd-5369-84b0-2d948435deda,NH,country,legislatorUpperBody,United States,ocd-division/country:us,New Hampshire,ocd-division/country:us/state:nh,U.S. Senator,U.S. Senate,d65332fb-f06b-44d8-9cae-54b914adb7e6,U.S. Senator,,1,1,John Riggieri,Democratic Party,Democratic Party,https://www.facebook.com/NHDems/,https://www.instagram.com/nhdemocraticparty/,,,,,,,,,,,,,,,,,,,,,,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/democratic-cumulative-6.16.22.pdf,Ballot Filing,Qualified,9/13/22
,e3483158-89c8-51d7-afe1-c2045a517c22,NH,country,legislatorUpperBody,United States,ocd-division/country:us,New Hampshire,ocd-division/country:us/state:nh,U.S. Senator,U.S. Senate,d65332fb-f06b-44d8-9cae-54b914adb7e6,U.S. Senator,,1,1,Vikram Mansharamani,Republican Party,Republican Party,https://www.facebook.com/nhrepublicanparty,,,,"P.O. Box 932 Lincoln, NH 03251",,,,,,,,,,,,,,,,,,,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/republican-cumulative-6.16.22.pdf,Ballot Filing,Qualified,9/13/22
,c65f6674-96d7-532b-97f6-da90eb77cb2f,NH,country,legislatorUpperBody,United States,ocd-division/country:us,New Hampshire,ocd-division/country:us/state:nh,U.S. Senator,U.S. Senate,d65332fb-f06b-44d8-9cae-54b914adb7e6,U.S. Senator,,1,1,Tejasinha Sivalingam,Republican Party,Republican Party,https://www.facebook.com/nhrepublicanparty,,,,"P.O. Box 1047 Ashland, NH 03217",,,,,,,,,,,,,,,,,,,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/republican-cumulative-6.16.22.pdf,Ballot Filing,Qualified,9/13/22
,abfa2d8b-2d6a-5f7a-abf0-ef9bd033167b,NH,country,legislatorUpperBody,United States,ocd-division/country:us,New Hampshire,ocd-division/country:us/state:nh,U.S. Senator,U.S. Senate,d65332fb-f06b-44d8-9cae-54b914adb7e6,U.S. Senator,,1,1,Kevin H. Smith,Republican Party,Republican Party,https://www.facebook.com/nhrepublicanparty,,,,,,,,,,,,,,,,,,,,,,,https://www.sos.nh.gov/sites/g/files/ehbemt561/files/inline-documents/sonh/republican-cumulative-6.16.22.pdf,Ballot Filing,Qualified,9/13/22
