id,name,current_party,current_district,current_chamber,given_name,family_name,gender,email,biography,birth_date,death_date,image,links,sources,capitol_address,capitol_voice,capitol_fax,district_address,district_voice,district_fax,twitter,youtube,instagram,facebook,wikidata
ocd-person/7e356581-ff96-4e5d-b6bc-94b3c8e0005c,Adam Pugh,Republican,41,upper,Adam,Pugh,,,,,,https://oksenate.gov/sites/default/files/pugh.jpg,http://oksenate.gov/Senators/biographies/pugh_bio.aspx;https://oksenate.gov/contact-senator?sid=1899,http://oksenate.gov/Senators/biographies/pugh_bio.aspx;http://oksenate.gov/Senators/biographies/pugh_bio.html,,,,,,,,,,,
ocd-person/719605ed-1748-4c0b-bc6a-79330db17af1,Ajay Pittman,Democratic,99,lower,Ajay,Pittman,,ajay.pittman@okhouse.gov,,,,https://www.okhouse.gov/Members/Pictures/HiRes/Ajay-Pittman.jpg,https://www.okhouse.gov/Members/District.aspx?District=99;https://www.okhouse.gov/Members/Contact.aspx?District=99,https://www.okhouse.gov/Members/Default.aspx;https://www.okhouse.gov/Members/District.aspx?District=99,,,,,,,,,,,
ocd-person/987fd457-5b14-4300-95f1-e92f7cd5f748,Andy Fugate,Democratic,94,lower,Andy,Fugate,,andy.fugate@okhouse.gov,,,,"https://www.okhouse.gov/Members/Pictures/HiRes/Fugate,%20Andy.jpg",https://www.okhouse.gov/Members/District.aspx?District=94;https://www.okhouse.gov/Members/Contact.aspx?District=94,https://www.okhouse.gov/Members/Default.aspx;https://www.okhouse.gov/Members/District.aspx?District=94,,,,,,,,,,,
ocd-person/c1f71291-89c1-4109-a15c-2483743d333a,Anthony Moore,Republican,57,lower,Anthony,Moore,,,,,,"https://www.okhouse.gov/Members/Pictures/HiRes/Moore,%20Anthony.jpg",https://www.okhouse.gov/Members/Contact.aspx?District=57,,,,,,,,,,,,
ocd-person/f2bc8c9d-050a-4531-84eb-1f233ad7042a,Avery Frix,Republican,13,lower,Avery,Frix,,avery.frix@okhouse.gov,,,,"https://www.okhouse.gov/Members/Pictures/HiRes/Frix,%20Avery.jpg",https://www.okhouse.gov/Members/District.aspx?District=13;https://www.okhouse.gov/Members/Contact.aspx?District=13,https://www.okhouse.gov/Members/Default.aspx;https://www.okhouse.gov/Members/District.aspx?District=13,,,,,,,,,,,
ocd-person/446468ba-e7a8-49ff-8edc-e9f96da9d613,Bill Coleman,Republican,10,upper,Bill,Coleman,,,,,,https://oksenate.gov/sites/default/files/BillColeman_0.jpg,http://oksenate.gov/Senators/biographies/coleman_bio.aspx;https://oksenate.gov/contact-senator?sid=1844,http://oksenate.gov/Senators/biographies/coleman_bio.aspx;http://oksenate.gov/Senators/biographies/coleman_bio.html,,,,,,,,,,,
ocd-person/1e7de93b-e5e5-4c8c-8835-950bfa33f3b8,Blake Stephens,Republican,3,upper,Blake,Stephens,,,,,,https://oksenate.gov/sites/default/files/Stephens%2C%20Blake%20Cowboy_flags.jpg,https://oksenate.gov/senators/blake-stephens;https://oksenate.gov/contact-senator?sid=1521372,https://oksenate.gov/senators/blake-stephens,,,,,,,,,,,
ocd-person/246cfe54-edbd-4844-9bdc-0213c4b501e9,Bob Culver,Republican,4,lower,Bob,Culver,,,,,,"https://www.okhouse.gov/Members/Pictures/HiRes/Culver,%20BobEd.jpg",https://www.okhouse.gov/Members/Contact.aspx?District=4,,,,,,,,,,,,
ocd-person/be4edaae-b522-4ce0-bc1d-98b813424f57,Brad Boles,Republican,51,lower,Brad,Boles,,brad.boles@okhouse.gov,,,,"https://www.okhouse.gov/Members/Pictures/HiRes/Boles,%20Brad.jpg",https://www.okhouse.gov/Members/District.aspx?District=51;https://www.okhouse.gov/Members/Contact.aspx?District=51,https://www.okhouse.gov/Members/Default.aspx;https://www.okhouse.gov/Members/District.aspx?District=51,,,,,,,,,,,
ocd-person/55b572a7-2951-4597-b70c-e37b51163b03,Brenda Stanley,Republican,42,upper,Brenda,Stanley,,,,,,https://oksenate.gov/sites/default/files/Brenda-Stanley_1.jpg,http://oksenate.gov/Senators/biographies/stanley_bio.aspx;https://oksenate.gov/contact-senator?sid=1900,http://oksenate.gov/Senators/biographies/stanley_bio.aspx;http://oksenate.gov/Senators/biographies/stanley_bio.html,,,,,,,,,,,
ocd-person/bc85e399-f4bc-4690-b34b-685e15242904,Brent Howard,Republican,38,upper,Brent,Howard,,,,,,https://oksenate.gov/sites/default/files/Howard%2C%20Brent_flags.jpg,http://oksenate.gov/Senators/biographies/howard_bio.aspx;https://oksenate.gov/contact-senator?sid=1853,http://oksenate.gov/Senators/biographies/howard_bio.aspx;http://oksenate.gov/Senators/biographies/howard_bio.html,,,,,,,,,,,
