name,name_first,name_middle,name_last,nickname,name_prefix,name_suffix,image,party,office,title,state,status,district,ethnicity,race,gender,date_of_birth,date_of_death,education,occupation,bio,email_official,email_other,email_campaign,website_official,website_personal,website_campaign,twitter_official,twitter_personal,twitter_campaign,youtube_official,youtube_personal,youtube_campaign,instagram_official,instagram_personal,instagram_campaign,facebook_official,facebook_personal,facebook_campaign,linkedin,rumble,gab,rss,address_campaign,address_capitol,address_district,phone_campaign,phone_capitol,phone_district,fax_capitol,fax_district,contact_form_url,date_assumed_office,appointed_by,appointed_date,confirmed_date,term_end_date,congress_year,thomas ID,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,google_entity_id,Ballotpedia URL,propublica URL,ballotpedia Office ID,govpackpub_id,govpack_id,fec_id,usio_id,opensecrets_id,district_ocd_id,openstates_id,committee_id
Evelyn Rogers,Evelyn,L.,Rogers,,,,,Independent,U.S. House Oklahoma District 1,U.S. Representative,OK,Challenger,Oklahoma Congressional District 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17858,,,,,https://ballotpedia.org/Evelyn_Rogers,,12488,,,,,,ocd-division/country:us/state:ok/cd:1,,
Kevin Hern,Kevin,,Hern,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Rep._Kevin_Hern_official_photo%2C_116th_congress.jpg/440px-Rep._Kevin_Hern_official_photo%2C_116th_congress.jpg,Republican Party,U.S. House Oklahoma District 1,U.S. Representative,OK,Incumbent,Oklahoma Congressional District 1,,,Male,1961-12-04,,,,,,,info@hernforcongress.com,https://hern.house.gov,,https://hernforcongress.com/,https://www.twitter.com/repkevinhern,,https://www.twitter.com/krhern,,,,,,,,,https://www.facebook.com/KevinRHern/,,,,,,1019 Longworth House Office Building,,,202-225-2211,,,,,,,,,,,,,,412748,180004,97516,,,,/g/11gzqw48lf,https://ballotpedia.org/Kevin_Hern,https://api.propublica.org/congress/v1/members/H001082.json,12488,,,H8OK01157,,,ocd-division/country:us/state:ok/cd:1,,
Adam Martin,Adam,,Martin,,,,"https://static.wixstatic.com/media/aee898_4112460fd57348ef8a7a8dfed8379c66~mv2.jpg/v1/fill/w_980,h_1470,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/DSC02352.jpg",Democratic Party,U.S. House Oklahoma District 1,U.S. Representative,OK,Challenger,Oklahoma Congressional District 1,,,Male,,,,,,,,info@martinforcongress.com,,,https://www.martinforcongress.com/,,,https://www.twitter.com/AdamMartin4OK,,,,,,https://www.instagram.com/adammartin4congress/,,,https://www.facebook.com/Martin4Congress,,,,,,,,,,,,,,,,,,,,,,,,,340469,,,,,https://ballotpedia.org/Adam_Martin_(Oklahoma),,12488,,,,,,ocd-division/country:us/state:ok/cd:1,,
Josh Brecheen,Josh,,Brecheen,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Brecheen.jpg/400px-Brecheen.jpg,Republican Party,U.S. House Oklahoma District 2,U.S. Representative,OK,Challenger,Oklahoma Congressional District 2,,,Male,,,,,,,,,,https://rawhidedirtworks.com/,https://joshbrecheen.com/,,,,,,https://www.youtube.com/channel/UCeL-HYBwJhMN_WxudM373Lw,,,,,https://www.facebook.com/josh.brecheen.7,https://www.facebook.com/JoshBrecheen,,,,,,,,,,,,,,,,,,,,,,,,,29834,,,https://en.wikipedia.org/wiki/Josh_Brecheen,,https://ballotpedia.org/Josh_Brecheen,,12302,,,,,,ocd-division/country:us/state:ok/cd:2,,
Naomi Andrews,Naomi,,Andrews,,,,,Democratic Party,U.S. House Oklahoma District 2,U.S. Representative,OK,Challenger,Oklahoma Congressional District 2,,,Female,,,,,,,,hello@naomiforok.com,,,https://www.naomiforok.com/,,,https://www.twitter.com/NaomiForOK,,,,,,https://www.instagram.com/naomiforok/,,,https://www.facebook.com/NaomiForOK,,,,,,,,,,,,,,,,,,,,,,,,,361222,,,,,https://ballotpedia.org/Naomi_Andrews_(Oklahoma),,12302,,,,,,ocd-division/country:us/state:ok/cd:2,,
Ben Robinson,Ben,,Robinson,,,,,Independent,U.S. House Oklahoma District 2,U.S. Representative,OK,Challenger,Oklahoma Congressional District 2,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361223,,,,,https://ballotpedia.org/Ben_Robinson,,12302,,,,,,ocd-division/country:us/state:ok/cd:2,,
Frank Lucas,Frank,D.,Lucas,,,,https://upload.wikimedia.org/wikipedia/commons/0/0d/Rep._Frank_Lucas_Official_Photo.png,Republican Party,U.S. House Oklahoma District 3,U.S. Representative,OK,Incumbent,Oklahoma Congressional District 3,,,Male,1960-01-06,,,,,,,frank@frankdlucas.com,https://lucas.house.gov,,https://frankdlucas.com/,https://www.twitter.com/RepFrankLucas,,https://www.twitter.com/FrankDLucas,https://www.youtube.com/c/repfranklucas,,,https://www.instagram.com/repfranklucas/,,,https://www.facebook.com/RepFrankLucas,,https://www.facebook.com/FrankLucasOK03/,,,,https://lucas.house.gov/rss.xml,"P.O. Box 1726 Oklahoma City, OK 73101-1726",2405 Rayburn House Office Building,,(405) 509-3505,202-225-5565,,,,,,,,,,,,,35692,400247,27032,18334,,29393,https://en.wikipedia.org/wiki/Frank_Lucas_(Oklahoma_politician),/m/033tnk,https://ballotpedia.org/Frank_Lucas,https://api.propublica.org/congress/v1/members/L000491.json,13170,,,H4OK06056,,,ocd-division/country:us/state:ok/cd:3,,
Jeremiah Ross,Jeremiah,A.,Ross,,,,,Democratic Party,U.S. House Oklahoma District 3,U.S. Representative,OK,Challenger,Oklahoma Congressional District 3,,,Male,,,,,,,,,,,,,,https://www.twitter.com/j_a_ross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300844,,,,,https://ballotpedia.org/Jeremiah_Ross,,13170,,,,,,ocd-division/country:us/state:ok/cd:3,,
Tom Cole,Tom,,Cole,,,,https://tomcoleforcongress.com/wp-content/uploads/2021/06/tom-cole-cutout.png,Republican Party,U.S. House Oklahoma District 4,U.S. Representative,OK,Incumbent,Oklahoma Congressional District 4,,,Male,1949-04-28,,,,,,,info@tomcoleforcongress.com,https://cole.house.gov,,https://tomcoleforcongress.com/,https://www.twitter.com/TomColeOK04,,,https://www.youtube.com/c/tomcoleok04,,,https://www.instagram.com/tomcoleok04/,,,https://www.facebook.com/TomColeOK04,,https://www.facebook.com/TomColeForCongress,,,,https://cole.house.gov/rss.xml,"P.O. Box 722256 Norman, OK 73070",2207 Rayburn House Office Building,,(405) 237-8072,202-225-6165,,,,,,,,,,,,,1003609,400077,46034,55720,,20344,https://en.wikipedia.org/wiki/Tom_Cole,/m/03tqb0,https://ballotpedia.org/Tom_Cole_(Oklahoma),https://api.propublica.org/congress/v1/members/C001053.json,7653,,,H2OK04055,,,ocd-division/country:us/state:ok/cd:4,,
Mary Brannon,Mary,,Brannon,,,,"https://static.wixstatic.com/media/ab9cc8_106eda07544b45a1a62794c033a713f9~mv2.jpg/v1/crop/x_0,y_121,w_1607,h_1746/fill/w_920,h_1000,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/headshot1.jpg",Democratic Party,U.S. House Oklahoma District 4,U.S. Representative,OK,Challenger,Oklahoma Congressional District 4,,,Female,,,,,,,,info@electbrannon.com,,,https://www.electbrannon.com/,,,https://www.twitter.com/ElectBrannon,,,,,,,,,https://www.facebook.com/Brannon4Congress,,,,,,,,,,,,,,,,,,,,,,,,,293065,,,,,https://ballotpedia.org/Mary_Brannon,,7653,,,,,,ocd-division/country:us/state:ok/cd:4,,
