name,name_first,name_middle,name_last,nickname,name_prefix,name_suffix,image,party,office,title,state,status,district,ethnicity,race,gender,date_of_birth,date_of_death,education,occupation,bio,email_official,email_other,email_campaign,website_official,website_personal,website_campaign,twitter_official,twitter_personal,twitter_campaign,youtube_official,youtube_personal,youtube_campaign,instagram_official,instagram_personal,instagram_campaign,facebook_official,facebook_personal,facebook_campaign,linkedin,rumble,gab,rss,address_campaign,address_capitol,address_district,phone_campaign,phone_capitol,phone_district,fax_capitol,fax_district,contact_form_url,date_assumed_office,appointed_by,appointed_date,confirmed_date,term_end_date,congress_year,thomas ID,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,google_entity_id,Ballotpedia URL,propublica URL,ballotpedia Office ID,govpackpub_id,govpack_id,fec_id,usio_id,opensecrets_id,district_ocd_id,openstates_id,committee_id
Suzanne Bonamici,Suzanne,,Bonamici,,,,,"Democratic Party, Working Families Party",U.S. House Oregon District 1,U.S. Representative,OR,Incumbent,Oregon Congressional District 1,,,Female,1954-10-14,,,,,,,info@bonamiciforcongress.com,https://bonamici.house.gov,,http://www.bonamiciforcongress.com/,https://www.twitter.com/RepBonamici,,,https://www.youtube.com/c/RepSuzanneBonamici,,,https://www.instagram.com/repbonamici/,,https://www.instagram.com/suzanne.bonamici/,https://www.facebook.com/CongresswomanBonamici,https://www.facebook.com/sbonamici,https://www.facebook.com/suzannebonamici,,,,https://bonamici.house.gov/rss.xml,,2231 Rayburn House Office Building,,,202-225-0855,,,,,,,,,,,,,63966,412501,59641,53561,,21198,https://en.wikipedia.org/wiki/Suzanne_Bonamici,/m/02q453x,https://ballotpedia.org/Suzanne_Bonamici,https://api.propublica.org/congress/v1/members/B001278.json,1563,,,H2OR01133,,,ocd-division/country:us/state:or/cd:1,,
Nicholas Rascon,Nicholas,,Rascon,,,,,Independent,U.S. House Oregon District 1,U.S. Representative,OR,Challenger,Oregon Congressional District 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340513,,,,,https://ballotpedia.org/Nicholas_Rascon,,1563,,,,,,ocd-division/country:us/state:or/cd:1,,
Chris Mann,Chris,,Mann,,,,,Republican Party,U.S. House Oregon District 1,U.S. Representative,OR,Challenger,Oregon Congressional District 1,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348471,,,,,https://ballotpedia.org/Chris_Mann_(Oregon),,1563,,,,,,ocd-division/country:us/state:or/cd:1,,
Cliff Bentz,Cliff,S.,Bentz,,,,,Republican Party,U.S. House Oregon District 2,U.S. Representative,OR,Incumbent,Oregon Congressional District 2,,,Male,1952-01-12,,,,,,,info@cliffbentz.com,https://bentz.house.gov,,https://cliffbentz.com/,https://www.twitter.com/RepBentz,,https://www.twitter.com/CliffBentz,,,https://www.youtube.com/channel/UCeRSaZwkQ4kfauqJkRInQYQ,https://www.instagram.com/RepBentz/,,https://www.instagram.com/cliff.bentz/,https://www.facebook.com/RepBentz,https://www.facebook.com/profile.php?id=100009089495653,https://www.facebook.com/bentzfororegon,,,,,"P.O. Box 1048, Ontario, OR 97914",1239 Longworth House Office Building,,,202-225-6730,,,,,,,,,,,,,,456842,,9865,,,https://en.wikipedia.org/wiki/Cliff_Bentz,/m/0gfdsjb,https://ballotpedia.org/Cliff_Bentz,https://api.propublica.org/congress/v1/members/B000668.json,6512,,,H0OR02127,,,ocd-division/country:us/state:or/cd:2,,
Joseph Yetter,Joseph,,Yetter,,,,,Democratic Party,U.S. House Oregon District 2,U.S. Representative,OR,Challenger,Oregon Congressional District 2,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349406,,,,,https://ballotpedia.org/Joseph_Yetter,,6512,,,,,,ocd-division/country:us/state:or/cd:2,,
David Delk,David,E.,Delk,,,,,"Progressive Party, Pacific Green Party, Independent Party",U.S. House Oregon District 3,U.S. Representative,OR,Challenger,Oregon Congressional District 3,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12482,,,,,https://ballotpedia.org/David_Delk_(Oregon),,6190,,,,,,ocd-division/country:us/state:or/cd:3,,
Earl Blumenauer,Earl,,Blumenauer,,,,,Democratic Party,U.S. House Oregon District 3,U.S. Representative,OR,Incumbent,Oregon Congressional District 3,,,Male,1948-08-16,,,,,,,earl@earlblumenauer.com,https://blumenauer.house.gov,,http://earlblumenauer.com/,https://www.twitter.com/repblumenauer,,,https://www.youtube.com/user/RepBlumenauer,,,https://www.instagram.com/repblumenauer/,,,,,https://www.facebook.com/blumenauer,,,,https://blumenauer.house.gov/rss.xml,"901 SE Oak St., Suite 105 Portland, OR 97214",1111 Longworth House Office Building,,(503) 235-3399,202-225-4811,,,,,,,,,,,,,43809,400033,367,15979,,29588,https://en.wikipedia.org/wiki/Earl_Blumenauer,/m/033tw8,https://ballotpedia.org/Earl_Blumenauer,https://api.propublica.org/congress/v1/members/B000574.json,6190,,,H6OR03064,,,ocd-division/country:us/state:or/cd:3,,
Joanna Harbour,Joanna,,Harbour,,,,https://joanna4oregon.com/wp-content/uploads/2022/03/Angled-Headshot-710x1062.jpeg,Republican Party,U.S. House Oregon District 3,U.S. Representative,OR,Challenger,Oregon Congressional District 3,,,Female,,,,,,,,joanna4oregon@gmail.com,,,http://www.joanna4oregon.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325643,,,,,https://ballotpedia.org/Joanna_Harbour,,6190,,,,,,ocd-division/country:us/state:or/cd:3,,
Michael Beilstein,Michael,,Beilstein,,,,,"Progressive Party, Pacific Green Party",U.S. House Oregon District 4,U.S. Representative,OR,Challenger,Oregon Congressional District 4,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39171,,,,,https://ballotpedia.org/Michael_Beilstein,,14743,,,,,,ocd-division/country:us/state:or/cd:4,,
Val Hoyle,Val,,Hoyle,,,,https://valhoyle.com/wp-content/uploads/2022/03/about2.jpg,"Democratic Party, Working Families Party",U.S. House Oregon District 4,U.S. Representative,OR,Challenger,Oregon Congressional District 4,,,Female,,,,,,,,vhoyle@valhoyle.com,,,http://www.valhoyle.com/,,,https://www.twitter.com/ValHoyle,,,,,,,,,https://www.facebook.com/profile.php?id=100078503045172,,,,,"PO Box 657 Springfield, OR 97477",,,,,,,,,,,,,,,,,,,,56886,,,,,https://ballotpedia.org/Val_Hoyle,,14743,,,,,,ocd-division/country:us/state:or/cd:4,,
