Pre-Filing ID,Candidate UUID,State,Level,Role,Jurisdiction,Jurisdiction OCDID,Electoral District,Electoral District OCDID,Office Category,Body Name,Office UUID,Office Name,Seat,Number Voting,Number Elected,Candidate Name,Candidate Party Registration,Candidate Party Roll Up,State Party FBID,State Party IG,Incumbent,Phone,Mailing Address,Website (Campaign),Website (Personal),Email,Photo URL,Facebook URL (Campaign),Facebook URL (Gov),Facebook URL (Personal),Twitter Name (Campaign),Twitter Name (Gov),Twitter Name (Personal),Instagram URL (Campaign),Instagram URL (Gov),Instagram URL (Personal),Wiki Word,Youtube (Campaign),Youtube (Gov),Youtube (Personal),County,Source,Source Type,Candidate Status,Inactive Date
,72633798-3235-5f27-991d-296f41ef05ee,RI,administrativeArea1,governmentOfficer,Rhode Island,ocd-division/country:us/state:ri,Rhode Island,ocd-division/country:us/state:ri,Secretary of State,,1257a0b3-8e73-4fee-8b8b-d528a3cf3fd1,RI Secretary of State,,1,1,Pat V. Cortellessa,Republican Party,Republican Party,https://www.facebook.com/RhodeIslandGOP,https://www.instagram.com/rhodeisland_gop/,,,,,,,,https://www.facebook.com/pat.cortellessa.1,,https://www.facebook.com/pat.cortellessa.1,PatCortellessa,,,https://www.instagram.com/pc1000hg/,,,,,,,,https://vote.sos.ri.gov/Candidates/CandidateSearch,Ballot filings,qualified,11/8/22
,a596fc82-fb53-5b35-b3f2-31216de44bee,RI,administrativeArea1,legislatorLowerBody,Rhode Island,ocd-division/country:us/state:ri,Rhode Island State House district 11,ocd-division/country:us/state:ri/sldl:11,State Representative,RI State House,f2cec385-8c18-48aa-85e0-2ff66f99b451,RI State Representative,District 11,1,1,Emmanuel C. Nyema,Republican Party,Republican Party,https://www.facebook.com/RhodeIslandGOP,https://www.instagram.com/rhodeisland_gop/,,,,,,,,https://www.facebook.com/profile.php?id=100066357800472,,,emmanuel_nyema,,,,,,,,,,,https://vote.sos.ri.gov/Candidates/CandidateSearch,Ballot filings,qualified,11/8/22
,26f925ce-5790-5ae1-a4bc-da36a77c0815,RI,country,legislatorLowerBody,United States,ocd-division/country:us,Rhode Island's 1st congressional district,ocd-division/country:us/state:ri/cd:1,U.S. Representative,U.S. House of Representatives,677a0074-5f8f-4955-8d6a-d19f0e23d80e,U.S. Representative,District 1,1,1,Lenine P. Camacho,Unaffiliated,Unaffiliated,,,,,,,,,,,,,,,,,,,,,,,,https://vote.sos.ri.gov/Candidates/CandidateSearch,Ballot filings,qualified,11/8/22
,f3ca0c6e-8a02-5d2f-900a-5e704a6faf46,RI,administrativeArea1,governmentOfficer,Rhode Island,ocd-division/country:us/state:ri,Rhode Island,ocd-division/country:us/state:ri,Secretary of State,,1257a0b3-8e73-4fee-8b8b-d528a3cf3fd1,RI Secretary of State,,1,1,Gregg Amore,Democratic Party,Democratic Party,https://www.facebook.com/ridemocrats/,https://www.instagram.com/RIDemParty/,,,,,,,,https://www.facebook.com/greggforri,,https://www.facebook.com/gregg.amore.3,,,,https://www.instagram.com/greggforri/,,,Gregg_Amore,https://www.youtube.com/channel/UCeBDRk9yIR3hipF/qtKi8YA,,,,https://vote.sos.ri.gov/Candidates/CandidateSearch,Ballot filings,qualified,11/8/22
,ca181aa0-69e6-5263-b9af-c23f9ee2499c,RI,administrativeArea1,legislatorLowerBody,Rhode Island,ocd-division/country:us/state:ri,Rhode Island State House district 12,ocd-division/country:us/state:ri/sldl:12,State Representative,RI State House,555e8046-abc4-44d8-a1a0-24f886af4bf0,RI State Representative,District 12,1,1,Jose F. Batista,Democratic Party,Democratic Party,https://www.facebook.com/ridemocrats/,https://www.instagram.com/RIDemParty/,TRUE,,,,,,,https://www.facebook.com/BatistaforD12,,https://www.facebook.com/profile.php?id=100050444624146,,,jfbatista12,,,,Jose_Batista_(politician),,,,,https://vote.sos.ri.gov/Candidates/CandidateSearch,Ballot filings,qualified,11/8/22
,48bb458a-3eec-5cca-82b2-9aebd1931172,RI,administrativeArea1,governmentOfficer,Rhode Island,ocd-division/country:us/state:ri,Rhode Island,ocd-division/country:us/state:ri,Secretary of State,,1257a0b3-8e73-4fee-8b8b-d528a3cf3fd1,RI Secretary of State,,1,1,Anne Armstrong,Unaffiliated,Unaffiliated,,,,,,,,,,,,,,,,,,,,,,,,https://vote.sos.ri.gov/Candidates/CandidateSearch,Ballot filings,qualified,11/8/22
,d8a4785a-96be-558b-ac49-72665083b7d8,RI,country,legislatorLowerBody,United States,ocd-division/country:us,Rhode Island's 1st congressional district,ocd-division/country:us/state:ri/cd:1,U.S. Representative,U.S. House of Representatives,677a0074-5f8f-4955-8d6a-d19f0e23d80e,U.S. Representative,District 1,1,1,Jeffrey E. Lemire,Unaffiliated,Unaffiliated,,,,,,,,,,,,,,,,,,,,,,,,https://vote.sos.ri.gov/Candidates/CandidateSearch,Ballot filings,qualified,11/8/22
,d7ff4079-5c3a-58ef-a5ba-7c438a901441,RI,administrativeArea1,legislatorLowerBody,Rhode Island,ocd-division/country:us/state:ri,Rhode Island State House district 13,ocd-division/country:us/state:ri/sldl:13,State Representative,RI State House,cefb92d8-0461-4167-a80f-3f8dc97e6d38,RI State Representative,District 13,1,1,Ramon A. Perez,Democratic Party,Democratic Party,https://www.facebook.com/ridemocrats/,https://www.instagram.com/RIDemParty/,TRUE,,,,,,,,,https://www.facebook.com/ramon.perez.902819,,,,,,,Ramon_Perez,,,,,https://vote.sos.ri.gov/Candidates/CandidateSearch,Ballot filings,qualified,11/8/22
,cf78cbe2-36e9-5bab-8c17-5e4a451f64d5,RI,country,legislatorLowerBody,United States,ocd-division/country:us,Rhode Island's 1st congressional district,ocd-division/country:us/state:ri/cd:1,U.S. Representative,U.S. House of Representatives,677a0074-5f8f-4955-8d6a-d19f0e23d80e,U.S. Representative,District 1,1,1,David N. Cicilline,Democratic Party,Democratic Party,https://www.facebook.com/ridemocrats/,https://www.instagram.com/RIDemParty/,TRUE,,,,,,,,https://www.facebook.com/cicilline,,davidcicilline,RepCicilline,davidcicilline,,https://www.instagram.com/repdavidcicilline/,,David_Cicilline,,https://www.youtube.com/user/RepDavidCicilline,,,https://vote.sos.ri.gov/Candidates/CandidateSearch,Ballot filings,qualified,11/8/22
,c90e62e6-4160-5d65-9f76-6d1b8c4a0d48,RI,administrativeArea1,deputyHeadOfGovernment,Rhode Island,ocd-division/country:us/state:ri,Rhode Island,ocd-division/country:us/state:ri,Lieutenant Governor,,6ac207ac-b47a-4dca-a86d-f7c60f49c50b,Lieutenant Governor of Rhode Island,,1,1,Sabina Matos,Democratic Party,Democratic Party,https://www.facebook.com/ridemocrats/,https://www.instagram.com/RIDemParty/,TRUE,,,,,,,https://www.facebook.com/SabinaMatosRI,,https://www.facebook.com/msabina,Sabina_Matos,LGSabinaMatos,Sabina_Matos,,,,Sabina_Matos,,,,,https://vote.sos.ri.gov/Candidates/CandidateSearch,Ballot filings,qualified,11/8/22
