name,name_first,name_middle,name_last,nickname,name_prefix,name_suffix,image,party,office,title,state,status,district,ethnicity,race,gender,date_of_birth,date_of_death,education,occupation,bio,email_official,email_other,email_campaign,website_official,website_personal,website_campaign,twitter_official,twitter_personal,twitter_campaign,youtube_official,youtube_personal,youtube_campaign,instagram_official,instagram_personal,instagram_campaign,facebook_official,facebook_personal,facebook_campaign,linkedin,rumble,gab,rss,address_campaign,address_capitol,address_district,phone_campaign,phone_capitol,phone_district,fax_capitol,fax_district,contact_form_url,date_assumed_office,appointed_by,appointed_date,confirmed_date,term_end_date,congress_year,thomas ID,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,google_entity_id,Ballotpedia URL,propublica URL,ballotpedia Office ID,govpackpub_id,govpack_id,fec_id,usio_id,opensecrets_id,district_ocd_id,openstates_id,committee_id
Jrmar Jefferson,Jrmar,,Jefferson,"""JJ""",,,https://www.jeffersonforcongress.com/uploads/8/8/7/5/8875518/otnn4qw_orig.png,Democratic Party,U.S. House Texas District 1,U.S. Representative,TX,Challenger,Texas Congressional District 1,,,Male,,,,,,,,jmarjefferson@gmail.com,,,https://www.jeffersonforcongress.com/,,https://www.twitter.com/JrmarJefferson,,,https://www.youtube.com/channel/UCjyc-WSyIl5y2s6nGfiIXaw,,,https://www.instagram.com/jrmarjefferson/,,,https://www.facebook.com/DelmaJrmarJefferson,https://www.facebook.com/jrmarjefferson/,,,,,,,,(903) 408-3581,,,,,,,,,,,,,,,,,30126,,,,,https://ballotpedia.org/Jrmar_Jefferson,,22679,,,,,,ocd-division/country:us/state:tx/cd:1,,
Nathaniel Moran,Nathaniel,,Moran,,,,https://www.smith-county.com/home/showpublishedimage/690/637769909580370000,Republican Party,U.S. House Texas District 1,U.S. Representative,TX,Challenger,Texas Congressional District 1,,,Male,,,,,,,,vote@nathanielmoran.com,,,https://nathanielmoran.com/,,,https://www.twitter.com/moran4congress,,,,,https://www.instagram.com/natemoran7/,,,https://www.facebook.com/nqmoran,https://www.facebook.com/moranforcongress,,,,,"P.O. Box 7066 Tyler, TX 75711",,,(469) 609-7917,,,,,,,,,,,,,,,,,83582,,,,,https://ballotpedia.org/Nathaniel_Moran,,22679,,,,,,ocd-division/country:us/state:tx/cd:1,,
Bill Kelsey,Bill,,Kelsey,,,,,Libertarian Party,U.S. House Texas District 10,U.S. Representative,TX,Challenger,Texas Congressional District 10,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4403,,,,,https://ballotpedia.org/Bill_Kelsey,,7518,,,,,,ocd-division/country:us/state:tx/cd:10,,
Michael McCaul,Michael,T.,McCaul,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Michael_McCaul_official_photo.jpg/330px-Michael_McCaul_official_photo.jpg,Republican Party,U.S. House Texas District 10,U.S. Representative,TX,Incumbent,Texas Congressional District 10,,,Male,1962-01-14,,,,,,,info@michaelmccaul.com,https://mccaul.house.gov,,https://michaelmccaul.com/,https://www.twitter.com/RepMcCaul,,https://www.twitter.com/McCaulforTexas,https://www.youtube.com/channel/UCRw6sGE0PH7_FCeTT3PQRaA,,https://www.youtube.com/channel/UCFTcskOT4na97M00Vpu_oZw,https://www.instagram.com/congressman_mccaul/,,,https://www.facebook.com/michaeltmccaul,,https://www.facebook.com/MichaelMcCaulTX,,,,https://mccaul.house.gov/rss.xml,"815A Brazos St, PMB 230, Austin, TX 78701",2001 Rayburn House Office Building,"990 Village Sq. Suite B; Tomball, TX 77375",(512) 494-1882,202-225-2401,281-255-8372,,281-255-0034,,,,,,,,,,1013056,400654,49210,39757,,20530,https://en.wikipedia.org/wiki/Michael_McCaul,/m/0492cz,https://ballotpedia.org/Michael_McCaul,https://api.propublica.org/congress/v1/members/M001157.json,7518,,,H4TX10093,,,ocd-division/country:us/state:tx/cd:10,ocd-person/15d37180-ddd2-5bb6-8dd4-cdd2690eca86,
Janis Richards,Janis,,Richards,,,,,Independent,U.S. House Texas District 10,U.S. Representative,TX,Challenger,Texas Congressional District 10,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294215,,,,,https://ballotpedia.org/Janis_Richards,,7518,,,,,,ocd-division/country:us/state:tx/cd:10,,
Linda Nuno,Linda,,Nuno,,,,,Democratic Party,U.S. House Texas District 10,U.S. Representative,TX,Challenger,Texas Congressional District 10,,,Female,,,,,,,,lindanuno@lindanunoforcongress.com,,,https://lindanunoforcongress.com/,,https://www.twitter.com/TrevinoNuno,https://www.twitter.com/LNCongressTX_10,,,https://www.youtube.com/channel/UCKGl31jrWboR_tzQuYWXzXQ,,,https://www.instagram.com/linda_nuno_for_congress/,,https://www.facebook.com/PINKAIRPLANE18,https://www.facebook.com/Lindanuno777,,,,,,,,,,,,,,,,,,,,,,,,,342520,,,,,https://ballotpedia.org/Linda_Nuno,,7518,,,,,,ocd-division/country:us/state:tx/cd:10,,
Bill Kelsey,Bill,,Kelsey,,,,,Libertarian Party,U.S. House Texas District 10,U.S. Representative,TX,Challenger,Texas Congressional District 10,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4403,,,,,https://ballotpedia.org/Bill_Kelsey,,7518,,,,,,ocd-division/country:us/state:tx/cd:10,,
August Pfluger,August,,Pfluger,,,,https://theunitedstates.io/images/congress/450x550/P000048.jpg,Republican Party,U.S. House Texas District 11,U.S. Representative,TX,Incumbent,Texas Congressional District 11,,,Male,1978-12-28,,,,,,,,https://pfluger.house.gov,,,https://www.twitter.com/RepPfluger,,https://www.twitter.com/RepPfluger,,,,,,,,,,,,,,,1531 Longworth House Office Building,,,202-225-3605,,,,,,,,,,,,,,456846,,319537,,,,/g/11f3szpd4x,https://ballotpedia.org/August_Pfluger,https://api.propublica.org/congress/v1/members/P000048.json,13540,,,H0TX11230,,,ocd-division/country:us/state:tx/cd:11,ocd-person/2519c079-f97e-532b-b53e-167398fd7398,
Kay Granger,Kay,,Granger,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Kay_Granger%2C_116th_Congress%2C_photo.jpg/330px-Kay_Granger%2C_116th_Congress%2C_photo.jpg,Republican Party,U.S. House Texas District 12,U.S. Representative,TX,Incumbent,Texas Congressional District 12,,,Female,1943-01-18,,,,,,,kay@kaygranger.com,https://kaygranger.house.gov,,https://kaygranger.com/,https://www.twitter.com/RepKayGranger,,https://www.twitter.com/GrangerCampaign,https://www.youtube.com/channel/UCsRMtemAkyLh78MPES6gMVQ,,https://www.youtube.com/c/UCsRMtemAkyLh78MPES6gMVQ,https://www.instagram.com/repkaygranger/,,,https://www.facebook.com/RepKayGranger,,https://www.facebook.com/KayGrangerCampaign/,,,,,"1701 River Run, Ste 308, Fort Worth, TX 76107",1026 Longworth House Office Building,"1701 River Run Rd. Suite 407; Fort Worth, TX 76107",(817) 870-5000,202-225-5071,817-338-0909,,817-335-5852,,,,,,,,,,45709,400157,334,31446,,29762,https://en.wikipedia.org/wiki/Kay_Granger,/m/03tndx,https://ballotpedia.org/Kay_Granger,https://api.propublica.org/congress/v1/members/G000377.json,9387,,,H6TX12060,,,ocd-division/country:us/state:tx/cd:12,ocd-person/32f7cd03-4f8d-5354-b6d1-114bdd4f9af1,
Trey Hunt,Trey,J.,Hunt,,,,https://pbs.twimg.com/profile_images/1484563164331184128/rNuLFAkI_400x400.jpg,Democratic Party,U.S. House Texas District 12,U.S. Representative,TX,Challenger,Texas Congressional District 12,,,Male,,,,,,,,trey@treyhuntcongress.com,,,https://www.treyhuntcongress.com/,,,https://www.twitter.com/VoteHunt2022,,,https://www.youtube.com/channel/UC2A87ZiAlVa5tAByX-NGPQg,,,https://www.instagram.com/votehunt2022/,,https://www.facebook.com/TreyJHunt,https://www.facebook.com/VoteHunt2022,,,,,"4450 Oak Park Ln, Fort Worth, TX 76109",,,(682) 400-2286,,,,,,,,,,,,,,,,,342071,,,,,https://ballotpedia.org/Trey_Hunt,,9387,,,,,,ocd-division/country:us/state:tx/cd:12,,
