name,name_first,name_middle,name_last,nickname,name_prefix,name_suffix,image,party,office,title,state,status,district,ethnicity,race,gender,date_of_birth,date_of_death,education,occupation,bio,email_official,email_other,email_campaign,website_official,website_personal,website_campaign,twitter_official,twitter_personal,twitter_campaign,youtube_official,youtube_personal,youtube_campaign,instagram_official,instagram_personal,instagram_campaign,facebook_official,facebook_personal,facebook_campaign,linkedin,rumble,gab,rss,address_campaign,address_capitol,address_district,phone_campaign,phone_capitol,phone_district,fax_capitol,fax_district,contact_form_url,date_assumed_office,appointed_by,appointed_date,confirmed_date,term_end_date,congress_year,thomas ID,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,google_entity_id,Ballotpedia URL,propublica URL,ballotpedia Office ID,govpackpub_id,govpack_id,fec_id,usio_id,opensecrets_id,district_ocd_id,openstates_id,committee_id
Robert J. Wittman,Robert,J.,Wittman,,,,,Republican Party,U.S. House Virginia District 1,U.S. Representative,VA,Incumbent,Virginia Congressional District 1,,,Male,1959-02-03,,,,,,,,https://wittman.house.gov,,,https://www.twitter.com/RobWittman,,,https://www.youtube.com/c/RobWittman,,,,,,https://www.facebook.com/RepRobWittman,,,,,,,,2055 Rayburn House Office Building,,,202-225-4261,,,,,,,,,,,,,1028089,412255,58133,47140,,20756,,/m/03cx7ld,https://ballotpedia.org/Rob_Wittman,https://api.propublica.org/congress/v1/members/W000804.json,15181,,,H8VA01147,,,ocd-division/country:us/state:va/cd:1,,
David Bruce Foster,David,Bruce,Foster,,,,,Independent,U.S. House Virginia District 1,U.S. Representative,VA,Challenger,Virginia Congressional District 1,,,Male,,,,,,,,davidfoster4congress@gmail.com,,,http://davidfosterforcongress.com/,,,,,,,,,,,,,,,,,,,,(757) 748-6458,,,,,,,,,,,,,,,,,331630,,,,,https://ballotpedia.org/David_Bruce_Foster_(Virginia_congressional_candidate),,15181,,,,,,ocd-division/country:us/state:va/cd:1,,
Austin Nichols,Austin,,Nichols,,,,,Independent,U.S. House Virginia District 1,U.S. Representative,VA,Challenger,Virginia Congressional District 1,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340078,,,,,https://ballotpedia.org/Austin_Nichols,,15181,,,,,,ocd-division/country:us/state:va/cd:1,,
Herb Jones,Herb,,Jones,,,,,Democratic Party,U.S. House Virginia District 1,U.S. Representative,VA,Challenger,Virginia Congressional District 1,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351698,,,,,https://ballotpedia.org/Herb_Jones_(Virginia),,15181,,,,,,ocd-division/country:us/state:va/cd:1,,
Jennifer Wexton,Jennifer,T.,Wexton,,,,,Democratic Party,U.S. House Virginia District 10,U.S. Representative,VA,Incumbent,Virginia Congressional District 10,,,Female,1968-05-27,,,,,,,austin@jenniferwexton.com,https://wexton.house.gov,,http://jenniferwexton.com/,https://www.twitter.com/RepWexton,,,,,,,,,,,,,,,,P.O. Box 650550 Sterling VA 20165,1217 Longworth House Office Building,,(276) 696-1667,202-225-5136,,,,,,,,,,,,,,412834,147013,25128,,,https://en.wikipedia.org/wiki/Jennifer_Wexton,/m/0_flt0x,https://ballotpedia.org/Jennifer_Wexton,https://api.propublica.org/congress/v1/members/W000825.json,31,,,H8VA10106,,,ocd-division/country:us/state:va/cd:10,,
Hung Cao,Hung,,Cao,,,,,Republican Party,U.S. House Virginia District 10,U.S. Representative,VA,Challenger,Virginia Congressional District 10,,,Male,,,,,,,,,,,http://hungcaoforcongress.com/,,,,,,,,,,,,,,,,,P.O. Box 652 Purcellville VA 20134,,,(224) 567-1048,,,,,,,,,,,,,,,,,345723,,,,,https://ballotpedia.org/Hung_Cao,,31,,,,,,ocd-division/country:us/state:va/cd:10,,
Gerald Edward Connolly,Gerald,Edward,Connolly,,,,,Democratic Party,U.S. House Virginia District 11,U.S. Representative,VA,Incumbent,Virginia Congressional District 11,,,Male,1950-03-30,,,,,,,info@gerryconnolly.com,https://connolly.house.gov,,http://www.gerryconnolly.com/,https://www.twitter.com/GerryConnolly,,,https://www.youtube.com/c/repconnolly,,,,,,https://www.facebook.com/CongressmanGerryConnolly,,,,,,,P.O. Box 563 Merrifield VA 22116,2238 Rayburn House Office Building,,(703) 375-9374,202-225-1492,,,,,,,,,,,,,1015936,412272,95078,19654,,20952,https://en.wikipedia.org/wiki/Gerry_Connolly,/m/04f40kn,https://ballotpedia.org/Gerald_Connolly,https://api.propublica.org/congress/v1/members/C001078.json,16447,,,H8VA11062,,,ocd-division/country:us/state:va/cd:11,,
James Myles,James,"G. ""Jim""",Myles,,,,,Republican Party,U.S. House Virginia District 11,U.S. Representative,VA,Challenger,Virginia Congressional District 11,,,Male,,,,,,,,mylesforcongress@gmail.com,,,http://mylesforcongress.com/,,,,,,,,,,,,,,,,,P.O. Box 7506 Fairfax Station VA 22039,,,,,,,,,,,,,,,,,,,,348615,,,,,https://ballotpedia.org/James_Myles,,16447,,,,,,ocd-division/country:us/state:va/cd:11,,
Garry Hubbard,Garry,,Hubbard,,,,,Green Party,U.S. House Virginia District 2,U.S. Representative,VA,Challenger,Virginia Congressional District 2,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288322,,,,,https://ballotpedia.org/Garry_Hubbard,,2078,,,,,,ocd-division/country:us/state:va/cd:2,,
Elaine Luria,Elaine,G.,Luria,,,,,Democratic Party,U.S. House Virginia District 2,U.S. Representative,VA,Incumbent,Virginia Congressional District 2,,,Female,1975-08-15,,,,,,,elaine@elaineforcongress.com,https://luria.house.gov,,http://elaineforcongress.com/,https://www.twitter.com/RepElaineLuria,,,,,,,,,,,,,,,,,412 Cannon House Office Building,,(757) 395-0328,202-225-4215,,,,,,,,,,,,,,412830,179677,293286,,,https://en.wikipedia.org/wiki/Elaine_Luria,/g/11gtd16xvy,https://ballotpedia.org/Elaine_Luria,https://api.propublica.org/congress/v1/members/L000591.json,2078,,,H8VA02111,,,ocd-division/country:us/state:va/cd:2,,
Jennifer Kiggans,Jennifer,A.,Kiggans,,,,https://apps.lis.virginia.gov/senatepics/newbiopics/Kiggans7.jpg,Republican Party,U.S. House Virginia District 2,U.S. Representative,VA,Challenger,Virginia Congressional District 2,,,Female,,,,,,district07@senate.virginia.gov,,,,,,,,https://www.twitter.com/JenKiggans,,,,,,,,,https://www.facebook.com/Jen4VA,,,,,,,"P.O. Box 5453; Virginia Beach, Virginia 23471",,,757-990-3080,,,,,,,,,,,,,,,313549,,,,,https://ballotpedia.org/Jennifer_Kiggans,,2078,,,,,,ocd-division/country:us/state:va/cd:2,ocd-person/0aea6a95-df57-407e-a70d-b809a24401a2,
Robert C. Scott,Robert,C.,Scott,,,,,Democratic Party,U.S. House Virginia District 3,U.S. Representative,VA,Incumbent,Virginia Congressional District 3,,,Male,1947-04-30,,,,,,,williamson_s@bobbyscottforcongress.com,https://bobbyscott.house.gov,,http://bobbyscottforcongress.com/,https://www.twitter.com/BobbyScott,,,https://www.youtube.com/c/repbobbyscott,,,,,,https://www.facebook.com/RepBobbyScott,,,,,,https://bobbyscott.house.gov/rss.xml,P.O. Box 251 Newport News VA 23607,2328 Rayburn House Office Building,,(757) 245-2000,202-225-8351,,,,,,,,,,,,,25888,400364,27117,5245,,39307,https://en.wikipedia.org/wiki/Bobby_Scott_(politician),/m/03twgl,https://ballotpedia.org/Bobby_Scott_(Virginia),https://api.propublica.org/congress/v1/members/S000185.json,26581,,,H6VA01117,,,ocd-division/country:us/state:va/cd:3,,
