Pre-Filing ID,Candidate UUID,State,Level,Role,Jurisdiction,Jurisdiction OCDID,Electoral District,Electoral District OCDID,Office Category,Body Name,Office UUID,Office Name,Seat,Number Voting,Number Elected,Candidate Name,Candidate Party Registration,Candidate Party Roll Up,State Party FBID,State Party IG,Incumbent,Phone,Mailing Address,Website (Campaign),Website (Personal),Email,Photo URL,Facebook URL (Campaign),Facebook URL (Gov),Facebook URL (Personal),Twitter Name (Campaign),Twitter Name (Gov),Twitter Name (Personal),Instagram URL (Campaign),Instagram URL (Gov),Instagram URL (Personal),Wiki Word,Youtube (Campaign),Youtube (Gov),Youtube (Personal),County,Source,Source Type,Candidate Status,Inactive Date
,2700b76e-c945-56a7-ae60-69521e058d9c,VT,administrativeArea1,legislatorLowerBody,Vermont,ocd-division/country:us/state:vt,Vermont Chittenden-5 State House district,ocd-division/country:us/state:vt/sldl:chittenden-5,State Representative,VT State House,f7f28185-9409-453a-94af-d4f57622b1a6,VT State Representative,District Chittenden-5,1,1,Chea Waters Evans,Democratic Party,Democratic Party,https://www.facebook.com/vtdems,https://www.instagram.com/vtdems/,,,,,,,,,,,,,,,,,,,,,,https://sos.vermont.gov/elections/election-info-resources/candidates/,Ballot Filings,Qualified,11/8/22
,4b4b38b5-d88b-5c15-8272-2e2e8e153614,VT,administrativeArea1,legislatorLowerBody,Vermont,ocd-division/country:us/state:vt,Vermont Chittenden-6 State House district,ocd-division/country:us/state:vt/sldl:chittenden-6,State Representative,VT State House,ccce4560-0f88-4edf-b235-e1cfcb43cd0f,VT State Representative,District Chittenden-6,1,1,Kate Lalley,Democratic Party,Democratic Party,https://www.facebook.com/vtdems,https://www.instagram.com/vtdems/,,,,,,,,,,,,,,,,,,,,,,https://sos.vermont.gov/elections/election-info-resources/candidates/,Ballot Filings,Qualified,11/8/22
,6281dd69-e769-57ca-afe8-adac08a3f519,VT,administrativeArea1,legislatorLowerBody,Vermont,ocd-division/country:us/state:vt,Vermont Chittenden-7 State House district,ocd-division/country:us/state:vt/sldl:chittenden-7,State Representative,VT State House,fb2eb4d7-417e-4801-801d-15e5db82f704,VT State Representative,District Chittenden-7,1,1,Jessica Brumsted,Democratic Party,Democratic Party,https://www.facebook.com/vtdems,https://www.instagram.com/vtdems/,,,,,,,,,,,,,,,,,,,,,,https://sos.vermont.gov/elections/election-info-resources/candidates/,Ballot Filings,Qualified,11/8/22
,adc09109-df20-56fd-a0be-7a96cc12778f,VT,administrativeArea1,legislatorLowerBody,Vermont,ocd-division/country:us/state:vt,Vermont Chittenden-8 State House district,ocd-division/country:us/state:vt/sldl:chittenden-8,State Representative,VT State House,abfe9331-6745-4251-abf5-0a65d9109a8f,VT State Representative,District Chittenden-8,1,1,Noah Hyman,Democratic Party,Democratic Party,https://www.facebook.com/vtdems,https://www.instagram.com/vtdems/,,,,,,,,,,,,,,,,,,,,,,https://sos.vermont.gov/elections/election-info-resources/candidates/,Ballot Filings,Qualified,11/8/22
,2371481e-d253-518b-a14c-4211ee88aaad,VT,administrativeArea1,legislatorLowerBody,Vermont,ocd-division/country:us/state:vt,Vermont Chittenden-9 State House district,ocd-division/country:us/state:vt/sldl:chittenden-9,State Representative,VT State House,ba880f4b-cc5c-407d-844b-c11b04a54dbc,VT State Representative,District Chittenden-9,1,1,Emily Krasnow,Democratic Party,Democratic Party,https://www.facebook.com/vtdems,https://www.instagram.com/vtdems/,,,,,,,,,,,,,,,,,,,,,,https://sos.vermont.gov/elections/election-info-resources/candidates/,Ballot Filings,Qualified,11/8/22
,88c13802-9db9-555e-b672-8dc75df80e5a,VT,administrativeArea1,legislatorLowerBody,Vermont,ocd-division/country:us/state:vt,Vermont Chittenden-Franklin State House district,ocd-division/country:us/state:vt/sldl:chittenden-franklin,State Representative,VT State House,ebe6b270-5dc1-4e37-9d64-4a11ce314220,VT State Representative,District Chittenden-Franklin,2,2,Emily Hecker,Democratic Party,Democratic Party,https://www.facebook.com/vtdems,https://www.instagram.com/vtdems/,,,,,,,,,,,,,,,,,,,,,,https://sos.vermont.gov/elections/election-info-resources/candidates/,Ballot Filings,Qualified,11/8/22
,7df3f4ce-58a4-5709-bc37-ff4b4092b600,VT,administrativeArea1,legislatorLowerBody,Vermont,ocd-division/country:us/state:vt,Vermont Chittenden-Franklin State House district,ocd-division/country:us/state:vt/sldl:chittenden-franklin,State Representative,VT State House,ebe6b270-5dc1-4e37-9d64-4a11ce314220,VT State Representative,District Chittenden-Franklin,2,2,Chris Taylor,Republican Party,Republican Party,https://www.facebook.com/vtgop/,https://www.instagram.com/vtgop/,,,,,,,,,,,,,,,,,,,,,,https://sos.vermont.gov/elections/election-info-resources/candidates/,Ballot Filings,Qualified,11/8/22
,9f95b927-d876-5b93-8ae8-66c4d564a74f,VT,administrativeArea1,legislatorLowerBody,Vermont,ocd-division/country:us/state:vt,Vermont Chittenden-Franklin State House district,ocd-division/country:us/state:vt/sldl:chittenden-franklin,State Representative,VT State House,ebe6b270-5dc1-4e37-9d64-4a11ce314220,VT State Representative,District Chittenden-Franklin,2,2,Chris Mattos,Republican Party,Republican Party,https://www.facebook.com/vtgop/,https://www.instagram.com/vtgop/,,,,,,,,,,,,,,,,,,,,,,https://sos.vermont.gov/elections/election-info-resources/candidates/,Ballot Filings,Qualified,11/8/22
,aab7b588-b10c-5704-a05d-f5d7cc0a6539,VT,administrativeArea1,legislatorLowerBody,Vermont,ocd-division/country:us/state:vt,Vermont Essex-Caledonia State House district,ocd-division/country:us/state:vt/sldl:essex-caledonia,State Representative,VT State House,f82b9d66-ad27-4cd9-83a8-8a9ba501218f,VT State Representative,District Essex-Caledonia,1,1,Terri Lynn Williams,Republican Party,Republican Party,https://www.facebook.com/vtgop/,https://www.instagram.com/vtgop/,,,,,,,,,,,,,,,,,,,,,,https://sos.vermont.gov/elections/election-info-resources/candidates/,Ballot Filings,Qualified,11/8/22
,e7521f8d-b1d7-5134-84cb-9c52a699342b,VT,administrativeArea1,governmentOfficer,Vermont,ocd-division/country:us/state:vt,Vermont,ocd-division/country:us/state:vt,State Auditor,,cfcff533-bfba-443e-a3a1-11d83ca6855e,VT State Auditor of Accounts,,1,1,Doug Hoffer,Democratic Party,Democratic Party,https://www.facebook.com/vtdems,https://www.instagram.com/vtdems/,TRUE,,,,,,,,,https://www.facebook.com/doug.hoffer.5,,,,,,,Doug_Hoffer,,,,,https://sos.vermont.gov/elections/election-info-resources/candidates/,Ballot Filings,Qualified,11/8/22
