name,name_first,name_middle,name_last,nickname,name_prefix,name_suffix,image,party,office,title,state,status,district,ethnicity,race,gender,date_of_birth,date_of_death,education,occupation,bio,email_official,email_other,email_campaign,website_official,website_personal,website_campaign,twitter_official,twitter_personal,twitter_campaign,youtube_official,youtube_personal,youtube_campaign,instagram_official,instagram_personal,instagram_campaign,facebook_official,facebook_personal,facebook_campaign,linkedin,rumble,gab,rss,address_campaign,address_capitol,address_district,phone_campaign,phone_capitol,phone_district,fax_capitol,fax_district,contact_form_url,date_assumed_office,appointed_by,appointed_date,confirmed_date,term_end_date,congress_year,thomas ID,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,google_entity_id,Ballotpedia URL,propublica URL,ballotpedia Office ID,govpackpub_id,govpack_id,fec_id,usio_id,opensecrets_id,district_ocd_id,openstates_id,committee_id
Bryan Steil,Bryan,,Steil,,,,https://www.bryansteil.com/wp-content/uploads/2018/05/steil-about.jpg,Republican Party,U.S. House Wisconsin District 1,U.S. Representative,WI,Incumbent,Wisconsin Congressional District 1,,,Male,1981-03-30,,,,,,,bryan@steilforwisconsin.com,https://steil.house.gov,,https://www.bryansteil.com/,https://www.twitter.com/RepBryanSteil,,https://www.twitter.com/BryanSteil,https://www.youtube.com/repbryansteil,,,https://www.instagram.com/repbryansteil/,,https://www.instagram.com/bryansteilwi/,https://www.facebook.com/RepBryanSteil/,,https://www.facebook.com/bryansteil,,,,,"1818 MILTON AVE. #1448, JANESVILLE, WI 53545",1526 Longworth House Office Building,,,202-225-3031,,,,,,,,,,,,,,412836,181289,298470,,,https://en.wikipedia.org/wiki/Bryan_Steil,/g/11fhnfybnd,https://ballotpedia.org/Bryan_Steil,https://api.propublica.org/congress/v1/members/S001213.json,2462,,,H8WI01156,,,ocd-division/country:us/state:wi/cd:1,,
Charles Barman,Charles,E.,Barman,,,,,The Going Away Party,U.S. House Wisconsin District 1,U.S. Representative,WI,Challenger,Wisconsin Congressional District 1,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329894,,,,,https://ballotpedia.org/Charles_Barman_(Wisconsin),,2462,,,,,,ocd-division/country:us/state:wi/cd:1,,
Ann Roe,Ann,,Roe,,,,https://www.annroeforcongress.com/d/img/uploads/dsc02803_website-smaller.jpg,Democratic Party,U.S. House Wisconsin District 1,U.S. Representative,WI,Challenger,Wisconsin Congressional District 1,,,Female,,,,,,,,info@annroeforcongress.com,,,https://www.annroeforcongress.com/,,,https://www.twitter.com/AnnRoe4Congress,,,,,,,,,https://www.facebook.com/annroeforcongress,,,,,"P.O. Box 1075, Janesville WI 53547",,,,,,,,,,,,,,,,,,,,340235,,,,,https://ballotpedia.org/Ann_Roe,,2462,,,,,,ocd-division/country:us/state:wi/cd:1,,
Mark Pocan,Mark,,Pocan,,,,https://pbs.twimg.com/profile_images/1217647982646087680/dY_yOovm_400x400.jpg,Democratic Party,U.S. House Wisconsin District 2,U.S. Representative,WI,Incumbent,Wisconsin Congressional District 2,,,Male,1964-08-14,,,,,,,info@pocanforcongress.com,https://pocan.house.gov,,https://pocanforcongress.com/,https://www.twitter.com/repmarkpocan,,https://www.twitter.com/MarkPocan,https://www.youtube.com/channel/UCz5b47WER_u3dUGV_Zi70dQ?feature=plcp,,,https://www.instagram.com/repmarkpocan/,,,https://www.facebook.com/repmarkpocan,,https://www.facebook.com/MarkPocan,,,,https://pocan.house.gov/rss.xml,"P.O. Box 327, Madison, WI 53701",1727 Longworth House Office Building,,(608) 286-1073,202-225-2906,,,,,,,,,,,,,79688,412585,26238,37193,,21370,https://en.wikipedia.org/wiki/Mark_Pocan,/m/0gyhpz,https://ballotpedia.org/Mark_Pocan,https://api.propublica.org/congress/v1/members/P000607.json,10859,,,H2WI02124,,,ocd-division/country:us/state:wi/cd:2,,
Erik Olsen,Erik,,Olsen,,,,https://olsenforliberty.com/ws/media-library/eedbc517486b4d5aba8a9ed0e65288ff/olsen-photo.webp,Republican Party,U.S. House Wisconsin District 2,U.S. Representative,WI,Challenger,Wisconsin Congressional District 2,,,,,,,,,,,,,,https://olsenforliberty.com/,,,,,,,,,,,,,,,,,"P.O. Box 5218, Madison, WI 53705",,,,,,,,,,,,,,,,,,,,352754,,,,,https://ballotpedia.org/Erik_Olsen,,10859,,,,,,ocd-division/country:us/state:wi/cd:2,,
Douglas Alexander,Douglas,,Alexander,,,,,Independent,U.S. House Wisconsin District 2,U.S. Representative,WI,Challenger,Wisconsin Congressional District 2,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366284,,,,,https://ballotpedia.org/Douglas_Alexander_(Wisconsin),,10859,,,,,,ocd-division/country:us/state:wi/cd:2,,
Brad Pfaff,Brad,,Pfaff,,,,https://pbs.twimg.com/profile_images/1346864745937162241/UH4J1Wq9_400x400.jpg,Democratic Party,U.S. House Wisconsin District 3,U.S. Representative,WI,Challenger,Wisconsin Congressional District 3,,,Male,,,,,,Sen.Pfaff@legis.wisconsin.gov,,Info@bradpfaff.com,,,https://bradpfaff.com/,,,https://www.twitter.com/pfaff4congress,,,,,,https://www.instagram.com/pfaff4congress/,,,https://www.facebook.com/Pfaff4Congress,,,,,"P.O. Box 3606, La Crosse, WI 54602",,,,,,,,,,,,,,,,,,,,308273,,,https://en.wikipedia.org/wiki/Brad_Pfaff,,https://ballotpedia.org/Brad_Pfaff,,6351,,,,,,ocd-division/country:us/state:wi/cd:3,ocd-person/1c95c957-d9c9-4905-8dc6-37b13272c1f0,
Derrick Van Orden,Derrick,,Van Orden,,,,https://www.vanordenforcongress.com/wp-content/uploads/2021/10/dvo-cutout.webp,Republican Party,U.S. House Wisconsin District 3,U.S. Representative,WI,Challenger,Wisconsin Congressional District 3,,,Male,,,,,,,,contact@vanordenforcongress.com,,,https://www.vanordenforcongress.com/,,,https://www.twitter.com/derrickvanorden,,,,,,https://www.instagram.com/derrickvanorden/,,,https://www.facebook.com/derrickvanorden/,,,,,"P.O. BOX 565 PRAIRIE DU CHIEN, WI 53821",,,,,,,,,,,,,,,,,,,,326054,,,,,https://ballotpedia.org/Derrick_Van_Orden,,6351,,,,,,ocd-division/country:us/state:wi/cd:3,,
Rustin Provance,Rustin,,Provance,,,,,Libertarian Party,U.S. House Wisconsin District 3,U.S. Representative,WI,Challenger,Wisconsin Congressional District 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350887,,,,,https://ballotpedia.org/Rustin_Provance,,6351,,,,,,ocd-division/country:us/state:wi/cd:3,,
Gwen Moore,Gwen,,Moore,,,,https://gwenmoore.house.gov/uploadedphotos/mediumresolution/51177792-95eb-4d32-8352-239472c77282.jpg,Democratic Party,U.S. House Wisconsin District 4,U.S. Representative,WI,Incumbent,Wisconsin Congressional District 4,,,Female,1951-04-18,,,,,,,,https://gwenmoore.house.gov,,https://gwenmooreforcongress.com/,https://www.twitter.com/RepGwenMoore,,https://www.twitter.com/Gwen4Congress,https://www.youtube.com/user/RepGwenMoore,,,https://www.instagram.com/RepGwenMoore/,,https://www.instagram.com/gwenmooreforcongress/,https://www.facebook.com/GwenSMoore,,https://www.facebook.com/GwenMooreforCongress/,,,,,"P.O. Box 16646, Milwaukee, WI 53216",2252 Rayburn House Office Building,,(414) 690-3576,202-225-4572,,,,,,,,,,,,,42548,400661,3457,20718,,20537,https://en.wikipedia.org/wiki/Gwen_Moore,/m/04cvds,https://ballotpedia.org/Gwen_Moore,https://api.propublica.org/congress/v1/members/M001160.json,3854,,,H4WI04183,,,ocd-division/country:us/state:wi/cd:4,,
