govpackpub_id,govpack_id,fec_id,usio_id,opensecrets_id,district_ocd_id,openstates_id,committee_id,Name,name_first,name_middle,name_last,nickname,name_prefix,name_suffix,party,state,status,district,ethnicity,race,gender,education,occupation,Office,email_official,email_other,email_campaign,Bio,date_of_birth,date_of_death,Image,website_campaign,website_official,website_personal,address_capitol,phone_capitol,fax_capitol,address_district,phone_district,fax_district,contact_form_url,address_campaign,phone_campaign,date_assumed_office,appointed_by,appointed_data,confirmed_date,term_end_data,congress_year,twitter_official,twitter_personal,twitter_campaign,instagram_official,instagram_personal,instagram_campaign,facebook_official,facebook_personal,facebook_campaign,linkedin,rumble,gab,RSS,thomas ID,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,google_entity_id,Ballotpedia URL,propublica URL,Ballotpedia Office ID,State
,,,,,ocd-division/country:us/state:ca/cd:1,,,Doug LaMalfa,Doug,,LaMalfa,,,,Republican Party,,,California District 1,,,Male,,,U.S. House California District 1,,,doug@douglamalfa.com,,,,,http://douglamalfa.com/,,,,,,,,,,"1900 Oro Dam Blvd. E, Suite 12-254, Oroville, CA 95966",530-712-3675,,,,,,,,,https://www.twitter.com/DougLaMalfa,,https://www.instagram.com/doug.lamalfa/,,,https://www.facebook.com/doug.lamalfa,https://www.facebook.com/LaMalfaUSRep,,,,,,,,,,15538,,,,,https://ballotpedia.org/Doug_LaMalfa,,4822,CA
,,,,,ocd-division/country:us/state:ca/cd:1,,,Max Steiner,Max,,Steiner,,,,Democratic Party,,,California District 1,,,Male,,,U.S. House California District 1,n/a,,info@maxsteinerforcongress.com,,,,,https://maxsteinerforcongress.com/,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,"499 S Capitol Street SW Suite 407, Washington, DC 20003",,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.twitter.com/heraldmax,https://www.twitter.com/MaxSteinerCA,n/a,,https://www.instagram.com/maxsteinerforcongress/,n/a,,https://www.facebook.com/MaxSteinerForCongress,https://www.linkedin.com/in/steinermax/,,,,,,,,,340083,,,,,https://ballotpedia.org/Max_Steiner,,4822,CA
,,,,,ocd-division/country:us/state:ca/cd:1,,,Doug LaMalfa,Doug,,LaMalfa,,,,Republican Party,,,California District 1,,,Male,,,U.S. House California District 1,,,doug@douglamalfa.com,,,,,http://douglamalfa.com/,,,,,,,,,,"1900 Oro Dam Blvd. E, Suite 12-254, Oroville, CA 95966",530-712-3675,,,,,,,,,https://www.twitter.com/DougLaMalfa,,https://www.instagram.com/doug.lamalfa/,,,https://www.facebook.com/doug.lamalfa,https://www.facebook.com/LaMalfaUSRep,,,,,,,,,,15538,,,,,https://ballotpedia.org/Doug_LaMalfa,,4822,CA
,,,,,ocd-division/country:us/state:ca/cd:1,,,Max Steiner,Max,,Steiner,,,,Democratic Party,,,California District 1,,,Male,,,U.S. House California District 1,n/a,,info@maxsteinerforcongress.com,,,,,https://maxsteinerforcongress.com/,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,"499 S Capitol Street SW Suite 407, Washington, DC 20003",,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.twitter.com/heraldmax,https://www.twitter.com/MaxSteinerCA,n/a,,https://www.instagram.com/maxsteinerforcongress/,n/a,,https://www.facebook.com/MaxSteinerForCongress,https://www.linkedin.com/in/steinermax/,,,,,,,,,340083,,,,,https://ballotpedia.org/Max_Steiner,,4822,CA
,,,,,ocd-division/country:us/state:ca/cd:10,,,Mark DeSaulnier,Mark,,DeSaulnier,,,,Democratic Party,,,California District 10,,,Male,,,U.S. House California District 10,,,teammarkdesaulnier@gmail.com,,,,,https://desaulnierforcongress.com,,,,,,,,,,,925-957-1123,,,,,,,,,https://www.twitter.com/MarkDeSaulnier,,,,,https://www.facebook.com/mark.desaulnier.37,https://www.facebook.com/MarkDeSaulnier,,,,,,,,,,36850,,,,,https://ballotpedia.org/Mark_DeSaulnier,,1456,CA
,,,,,ocd-division/country:us/state:ca/cd:10,,,Michael Ernest Kerr,Michael,Ernest,Kerr,,,,Green Party,,,California District 10,,,Male,,,U.S. House California District 10,n/a,,MichaelKerrForCongress@yahoo.com,,,,,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,925-219-6518,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.twitter.com/mekorganic,,n/a,https://www.instagram.com/mekorganic/,,n/a,,,,,,,,,,,,321574,,,,,https://ballotpedia.org/Michael_Ernest_Kerr,,1456,CA
,,,,,ocd-division/country:us/state:ca/cd:10,,,Mark DeSaulnier,Mark,,DeSaulnier,,,,Democratic Party,,,California District 10,,,Male,,,U.S. House California District 10,,,teammarkdesaulnier@gmail.com,,,,,https://desaulnierforcongress.com,,,,,,,,,,,925-957-1123,,,,,,,,,https://www.twitter.com/MarkDeSaulnier,,,,,https://www.facebook.com/mark.desaulnier.37,https://www.facebook.com/MarkDeSaulnier,,,,,,,,,,36850,,,,,https://ballotpedia.org/Mark_DeSaulnier,,1456,CA
,,,,,ocd-division/country:us/state:ca/cd:10,,,Michael Ernest Kerr,Michael,Ernest,Kerr,,,,Green Party,,,California District 10,,,Male,,,U.S. House California District 10,n/a,,MichaelKerrForCongress@yahoo.com,,,,,,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,,925-219-6518,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.twitter.com/mekorganic,,n/a,https://www.instagram.com/mekorganic/,,n/a,,,,,,,,,,,,321574,,,,,https://ballotpedia.org/Michael_Ernest_Kerr,,1456,CA
,,,,,ocd-division/country:us/state:ca/cd:11,,,John Dennis,John,,Dennis,,,,Republican Party,,,California District 11,,,Male,,,U.S. House California District 11,n/a,,info@johndennis.com,,,,,https://www.johndennisforcongress.com/,n/a,,n/a,n/a,n/a,n/a,n/a,n/a,,"1592 Union Street Box 347, San Francisco, CA 94123",,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,https://www.twitter.com/RealJohnDennis,n/a,,https://www.instagram.com/realjohndennis/,n/a,https://www.facebook.com/JohnhDennis,https://www.facebook.com/johndennis2020,https://www.linkedin.com/in/john-dennis-aa1b876/,,,,,,,,,27601,,,,,https://ballotpedia.org/John_Dennis_(California),,6338,CA
,,,,,ocd-division/country:us/state:ca/cd:11,,,Nancy Pelosi,Nancy,,Pelosi,,,,Democratic Party,,,California District 11,,,Female,,,U.S. House California District 11,,,teampelosi@gmail.com,,,,,https://www.pelosiforcongress.org,,,,,,,,,,"1459 18th St #359, San Francisco, CA 94107",,,,,,,,,,https://www.twitter.com/TeamPelosi,,,https://www.instagram.com/team_pelosi/,,,https://www.facebook.com/pelosiforcongress/,,,,,,,,,,41614,,,,,https://ballotpedia.org/Nancy_Pelosi,,6338,CA
