govpackpub_id,govpack_id,fec_id,usio_id,opensecrets_id,district_ocd_id,openstates_id,committee_id,Name,name_first,name_middle,name_last,nickname,name_prefix,name_suffix,party,state,status,district,ethnicity,race,gender,education,occupation,Office,email_official,email_other,email_campaign,Bio,date_of_birth,date_of_death,Image,website_campaign,website_official,website_personal,address_capitol,phone_capitol,fax_capitol,address_district,phone_district,fax_district,contact_form_url,address_campaign,phone_campaign,date_assumed_office,appointed_by,appointed_data,confirmed_date,term_end_data,congress_year,twitter_official,twitter_personal,twitter_campaign,instagram_official,instagram_personal,instagram_campaign,facebook_official,facebook_personal,facebook_campaign,linkedin,rumble,gab,RSS,thomas ID,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,google_entity_id,Ballotpedia URL,propublica URL,Ballotpedia Office ID
,,,,,,,,John M. O'Connor,John,M.,O'Connor,,,,Republican Party,OK,,,,,,,,OK State Attorney General,,,Team@OConnorForAG.com,,,,,https://oconnorforag.com/,,,,,,,,,,"PO Box 521254 Tulsa, OK 74152",(918) 217-4368,,,,,,, https://www.twitter.com/Okla_OAG,,,,,,https://www.facebook.com/AttorneyGeneralofOklahoma,,https://www.facebook.com/OConnorForAG,,,,,,,,,,,,,,,,,
,,,,,,,,Gentner F. Drummond,Gentner,F.,Drummond,,,,Republican Party,OK,,,,,,,,OK State Attorney General,,,Gentner@drummondok.com,,,,,https://drummondok.com/,,,,,,,,,,"1500 South Utica Ave Suite 400 Tulsa, OK 74104",(918) 938-3709,,,,,,,,, https://www.twitter.com/gentnerdrummond,,,,,https://www.facebook.com/gentner.drummond,https://www.facebook.com/DrummondOK,,,,,,,,,,,,,,,,,
,,,,,,,,Joy Hofmeister,Joy,,Hofmeister,,,,Democratic Party,OK,,,,,,,,Governor of Oklahoma,,,info@joyforok.com,,,,https://secureservercdn.net/50.62.172.157/gz5.8d3.myftpupload.com/wp-content/uploads/2021/11/004-JH-400x516.jpg,https://joyforok.com/,,,,,,,,,,"PO Box 54533 Oklahoma City, OK 73154",,,,,,,,,, https://www.twitter.com/joy4ok,,,https://www.instagram.com/joyhofmeister/,,https://www.facebook.com/profile.php?id=100010993590155,https://www.facebook.com/joyforoklahoma,,,,,,,,,,,,,,,,,
,,,,,,,,Connie Johnson,Connie,,Johnson,,,,Democratic Party,OK,,,,,,,,Governor of Oklahoma,,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Johnson_c.jpg/440px-Johnson_c.jpg,https://connieforoklahoma.com/,,,,,,,,,,,,,,,,,,, https://www.twitter.com/GovConnie, https://www.twitter.com/GovConnie,,,https://www.instagram.com/GovConnie/,,https://www.facebook.com/constance.n.johnson.33,,,,,,,,,,,,,,,,,,
,,,,,,,,Moira McCabe,Moira,,McCabe,,,,Republican Party,OK,,,,,,,,Governor of Oklahoma,,,moira4oklahoma@gmail.com,,,,"https://static.wixstatic.com/media/014909_0c77948452b8421fb753a4730eb49238~mv2.jpg/v1/fill/w_1960,h_822,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/20211214_181548_edited_edited_edited.jpg",https://www.moiramccabe4oklahoma.com/,,,,,,,,,,,,,,,,,,, https://www.twitter.com/moira_mccabe81,,,https://www.instagram.com/moira4okla/,https://www.instagram.com/moira4okla/,,https://www.facebook.com/moira.mccabe81,https://www.facebook.com/MoiraMcCabe4Oklahoma,,,,,,,,,,,,,,,,,
,,,,,,,,Mark Sherwood,Mark,,Sherwood,,,,Republican Party,OK,,,,,,,,Governor of Oklahoma,,,campaign@sherwood2022.com,,,,,https://www.sherwood2022.com/,,,,,,,,,,,(918) 946-9957,,,,,,,, https://www.twitter.com/marksherwood4e, https://www.twitter.com/Sherwood2022,,https://www.instagram.com/drs_mark_and_michele_/,https://www.instagram.com/sherwood_2022/,,https://www.facebook.com/marksherwood4E,https://www.facebook.com/Sherwood2022,,,,,,,,,,,,,,,,,
,,,,,,,,Kevin Stitt,Kevin,,Stitt,,,,Republican Party,OK,,,,,,,,Governor of Oklahoma,,,donelle@stittforgovernor.com,,,,https://stittforgovernor.com/wp-content/uploads/2022/04/Hero-Image-1-3000x1313.png,https://stittforgovernor.com/,,,,,,,,,,"PO Box 13738 Oklahoma City, OK 73113",,,,,,,, https://www.twitter.com/GovStitt,, https://www.twitter.com/Stitt4Gov,https://www.instagram.com/stittforgovernor/,,,https://www.facebook.com/GovStitt,,https://www.facebook.com/StittForGovernor,,,,,,,,,,,,,,,,,
,,,,,,,,Joel Kintsel,Joel,,Kintsel,,,,Republican Party,OK,,,,,,,,Governor of Oklahoma,,,joel@joelkintsel.com,,,,"https://static.wixstatic.com/media/8e917f_1c85c1f6f14942da81f20849d81d0486~mv2.png/v1/fill/w_540,h_485,al_c,lg_1,q_85,enc_auto/JoelHeadshot2.png",https://www.joelkintsel.com/,,,,,,,,,,,(405) 998-5701,,,,,,,,,,,,,,https://www.facebook.com/profile.php?id=100080047373603,https://www.facebook.com/KintselforGovernor,,,,,,,,,,,,,,,,,
,,,,,,,,William E. Crozier,William,E.,Crozier,,,,Republican Party,OK,,,,,,,,OK State Superintendent of Public Instruction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Ryan Walters,Ryan,,Walters,,,,Republican Party,OK,,,,,,,,OK State Superintendent of Public Instruction,,,ryan@ryanwaltersforoklahoma.com,,,,,https://ryanwaltersforoklahoma.com/,,,,,,,,,,,,,,,,,,, https://www.twitter.com/ryanmwalters,,,,,,,https://www.facebook.com/RyanWalters4OK,,,,,,,,,,,,,,,,,
